"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef","species"
"1","LQHP","2.5","fc.LQHP_rm.2.5",0.664695714072749,0.987,0.100757393021413,0.0584170193486576,0.620919987272689,0.107656159234186,0.6325,0.52273415805742,0.118664281454979,0.096504094767656,0.009391771019678,0.017230127956567,157911.93345016,739.803584370529,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000225783815472971,87,"Bombina orientalis"
"2","LQHP","4","fc.LQHP_rm.4",0.634314297201673,0.883,0.137098379103273,0.04256850056263,0.617461535215374,0.124295782271808,0.59225,0.539290506128191,0.0990966177341499,0.137219316670237,0,0,73403.6348216321,280.328216526876,0.000000000000000000000000000000000000000000000000000000000000134122370402709,49,"Bufo gargarizans"
"3","LQHPT","2.5","fc.LQHPT_rm.2.5",0.879194936708861,0.996,0.0811075810034838,0.0826739326209493,0.837111809630131,0.109103549769427,0.77925,0.275306344520669,0.136075949367089,0.17467284257563,0.00791139240506329,0.00949367088607595,13821.9845966991,64.7113520888943,0.00000000000000887377546801875,66,"Bufo stejnegeri"
"4","L","4","fc.L_rm.4",0.571059154491762,0.78,0.120864542445669,0.0555436099622509,0.587015594744618,0.149640712403835,0.65975,0.331724157496355,0.102705365629375,0.139954854924936,0.000103605470368835,0.000207210940737671,228768.266845982,873.189376342663,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000245095929655905,2,"Dryophytes japonicus"
"5","L","4","fc.L_rm.4",0.628184900990099,0.921,0.172971187701515,0.0715109846690779,0.576955640375792,0.142640998544712,0.3215,0.716464700223721,0.122513244026184,0.230001097932635,0.0807365439093484,0.161473087818697,33343.9144325135,503.739794308407,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000411427681532137,4,"Glandirana emeljanovi"
"6","LQ","4","fc.LQ_rm.4",0.593323120012277,0.993,0.163897290447301,0.0596603652034548,0.624842424946425,0.157282305405835,0.445,0.454455718414897,0.108962553713935,0.15223114949603,0,0,154349.475189955,997.974951819022,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019610680924727,4,"Hynobius leechii"
"7","L","4","fc.L_rm.4",0.938764208633094,0.916,0.0834116514522617,0.0347464619560847,0.914821786390955,0.0912294303390913,0.77875,0.0470699833581162,0.196946169772257,0.305023562876074,0.0142857142857143,0.0285714285714286,5569.07796313581,148.295803741072,0.00000000000000000000000000000000428956071549159,5,"Hynobius quelpaertensis"
"8","LQ","1.5","fc.LQ_rm.1.5",0.979423076923077,0.913,0.0103220590447457,0.0110875262859364,0.97218890720367,0.0132267131215972,0.44675,0.507057113811321,0.075,0.15,0.05,0.1,735.072014433315,11.4071639108564,0.00331357967444028,10,"Hynobius unisacculus"
"9","LQHP","1","fc.LQHP_rm.1",0.990304166666667,0.893,0.00734061447753873,0.00337965142181963,0.988359479995202,0.00495385209961251,0.831,0.0906127290542928,0.0833333333333333,0.1,0.0166666666666667,0.0333333333333333,1093.0648350405,46.2606783922067,0.0000000000713162038509161,25,"Hynobius yangi"
"10","LQ","1","fc.LQ_rm.1",0.892307633587786,0.967,0.0975484644442718,0.0696549634588884,0.851452129620974,0.101566297214537,0.724,0.341009286286068,0.205492424242424,0.193302472719818,0.0078125,0.015625,2810.17655179186,6.58729969119804,0.0226602447751573,10,"Kaloula borealis"
"11","LQHP","2","fc.LQHP_rm.2",0.944492805755396,0.977,0.011739057806596,0.00568889378271604,0.93268812210746,0.0172500388634012,0.84775,0.165574504881237,0.0722689075630252,0.0504761593871637,0.00735294117647059,0.0147058823529412,2924.15560060236,105.589611413844,0.000000000000000000000010851501634831,47,"Karsenia koreana"
