"","scientific_name","lat","long","source"
"1","Bufo stejnegeri",35.762386,128.431671,"GBIF"
"2","Bufo stejnegeri",35.654023,128.403791,"GBIF"
"3","Bufo stejnegeri",35.65897,128.493095,"GBIF"
"4","Bufo stejnegeri",37.831056,127.599624,"GBIF"
"5","Bufo stejnegeri",37.825517,127.419351,"GBIF"
"6","Bufo stejnegeri",37.951911,127.553182,"GBIF"
"7","Bufo stejnegeri",37.981585,127.423858,"GBIF"
"8","Bufo stejnegeri",37.986899,127.521641,"GBIF"
"9","Bufo stejnegeri",37.884651,127.430814,"GBIF"
"10","Bufo stejnegeri",37.906873,127.424068,"GBIF"
"11","Bufo stejnegeri",35.604352,128.439739,"GBIF"
"12","Bufo stejnegeri",35.921257,127.429122,"GBIF"
"13","Bufo stejnegeri",38.002424,127.824328,"GBIF"
"14","Bufo stejnegeri",35.678509,129.00775,"GBIF"
"15","Bufo stejnegeri",35.941851,127.411328,"GBIF"
"16","Bufo stejnegeri",35.253998,127.586581,"GBIF"
"17","Bufo stejnegeri",35.886299,127.358385,"GBIF"
"18","Bufo stejnegeri",35.938886,127.422881,"GBIF"
"19","Bufo stejnegeri",37.915555,127.996252,"GBIF"
"20","Bufo stejnegeri",37.829464,127.914617,"GBIF"
"21","Bufo stejnegeri",37.980059,127.835658,"GBIF"
"22","Bufo stejnegeri",37.875651,127.876831,"GBIF"
"23","Bufo stejnegeri",37.48788,128.053102,"GBIF"
"24","Bufo stejnegeri",37.404241,128.177087,"GBIF"
"25","Bufo stejnegeri",37.42707,128.195538,"GBIF"
"26","Bufo stejnegeri",37.512083,128.159192,"GBIF"
"27","Bufo stejnegeri",37.407908,128.169832,"GBIF"
"28","Bufo stejnegeri",37.404846,128.026971,"GBIF"
"29","Bufo stejnegeri",37.966615,127.579811,"GBIF"
"30","Bufo stejnegeri",37.966603,127.579759,"GBIF"
"31","Bufo stejnegeri",37.966576,127.579742,"GBIF"
"32","Bufo stejnegeri",37.966599,127.579741,"GBIF"
"33","Bufo stejnegeri",37.96657,127.579777,"GBIF"
"34","Bufo stejnegeri",37.966597,127.579778,"GBIF"
"35","Bufo stejnegeri",37.96656,127.579577,"GBIF"
"36","Bufo stejnegeri",37.964569,127.582623,"GBIF"
"37","Bufo stejnegeri",37.947095,127.535734,"GBIF"
"38","Bufo stejnegeri",37.949545,127.535018,"GBIF"
"39","Bufo stejnegeri",37.966751,127.525948,"GBIF"
"40","Bufo stejnegeri",35.921369,127.428959,"GBIF"
"41","Bufo stejnegeri",37.96135,127.660257,"GBIF"
"42","Bufo stejnegeri",37.45774,129.013802,"GBIF"
"43","Bufo stejnegeri",37.445296,129.00352,"GBIF"
"44","Bufo stejnegeri",37.450931,129.010776,"GBIF"
"45","Bufo stejnegeri",38.181013,127.954053,"GBIF"
"46","Bufo stejnegeri",38.180066,127.502028,"GBIF"
"47","Bufo stejnegeri",37.986447,127.882672,"GBIF"
"48","Bufo stejnegeri",38.294605,128.36349,"GBIF"
"49","Bufo stejnegeri",37.134394,128.720601,"GBIF"
"50","Bufo stejnegeri",37.134444,128.723889,"GBIF"
"51","Bufo stejnegeri",37.143056,128.7125,"GBIF"
"52","Bufo stejnegeri",37.134444,128.720556,"GBIF"
"53","Bufo stejnegeri",37.134722,128.720278,"GBIF"
"54","Bufo stejnegeri",37.120833,128.745556,"GBIF"
"55","Bufo stejnegeri",37.121597,128.746811,"GBIF"
"56","Bufo stejnegeri",37.109722,128.861667,"GBIF"
"57","Bufo stejnegeri",37.136635,128.71629,"GBIF"
"58","Bufo stejnegeri",37.137111,128.71885,"GBIF"
"59","Bufo stejnegeri",37.13807,128.71851,"GBIF"
"60","Bufo stejnegeri",37.133895,128.722111,"GBIF"
"61","Bufo stejnegeri",37.136084,128.721296,"GBIF"
"62","Bufo stejnegeri",37.133187,128.724924,"GBIF"
"63","Bufo stejnegeri",37.134043,128.723122,"GBIF"
"64","Bufo stejnegeri",37.132013,128.723699,"GBIF"
"65","Bufo stejnegeri",37.131981,128.724489,"GBIF"
"66","Bufo stejnegeri",37.131769,128.726485,"GBIF"
"67","Bufo stejnegeri",37.129926,128.727004,"GBIF"
"68","Bufo stejnegeri",37.095416,128.874093,"GBIF"
"69","Bufo stejnegeri",37.316389,128.811667,"GBIF"
"70","Bufo stejnegeri",37.285833,128.844722,"GBIF"
"71","Bufo stejnegeri",37.261111,128.969167,"GBIF"
"72","Bufo stejnegeri",37.601389,128.590556,"GBIF"
"73","Bufo stejnegeri",37.595833,128.6325,"GBIF"
"74","Bufo stejnegeri",37.542574,128.678782,"GBIF"
"75","Bufo stejnegeri",37.542778,128.678611,"GBIF"
"76","Bufo stejnegeri",37.541944,128.678889,"GBIF"
"77","Bufo stejnegeri",37.534444,128.683333,"GBIF"
"78","Bufo stejnegeri",37.535833,128.6825,"GBIF"
"79","Bufo stejnegeri",37.525278,128.698889,"GBIF"
"80","Bufo stejnegeri",37.511944,128.714722,"GBIF"
"81","Bufo stejnegeri",37.514444,128.713056,"GBIF"
"82","Bufo stejnegeri",37.509167,128.713056,"GBIF"
"83","Bufo stejnegeri",37.495833,128.7225,"GBIF"
"84","Bufo stejnegeri",37.495278,128.718611,"GBIF"
"85","Bufo stejnegeri",37.496389,128.723611,"GBIF"
"86","Bufo stejnegeri",37.492222,128.721389,"GBIF"
"87","Bufo stejnegeri",37.491944,128.720833,"GBIF"
"88","Bufo stejnegeri",37.491944,128.720278,"GBIF"
"89","Bufo stejnegeri",38.185,127.466667,"GBIF"
"90","Bufo stejnegeri",38.016667,127.521667,"GBIF"
"91","Bufo stejnegeri",37.96152,127.527393,"GBIF"
"92","Bufo stejnegeri",37.962222,127.527778,"GBIF"
"93","Bufo stejnegeri",37.960278,127.5275,"GBIF"
"94","Bufo stejnegeri",37.954444,127.528889,"GBIF"
"95","Bufo stejnegeri",37.932778,127.551389,"GBIF"
"96","Bufo stejnegeri",37.932789,127.549392,"GBIF"
"97","Bufo stejnegeri",37.932778,127.549167,"GBIF"
"98","Bufo stejnegeri",37.932222,127.551667,"GBIF"
"99","Bufo stejnegeri",37.615556,128.547222,"GBIF"
"100","Bufo stejnegeri",37.6,128.557778,"GBIF"
"101","Bufo stejnegeri",37.567222,128.558056,"GBIF"
"102","Bufo stejnegeri",37.558056,128.562778,"GBIF"
"103","Bufo stejnegeri",37.553611,128.564722,"GBIF"
"104","Bufo stejnegeri",37.528611,128.564722,"GBIF"
"105","Bufo stejnegeri",37.525,128.566667,"GBIF"
"106","Bufo stejnegeri",37.51692,128.563903,"GBIF"
"107","Bufo stejnegeri",37.517098,128.563894,"GBIF"
"108","Bufo stejnegeri",37.5075,128.563889,"GBIF"
"109","Bufo stejnegeri",37.507778,128.565833,"GBIF"
