"","scientific_name","lat","long","source"
"1","Gekko japonicus",33.550385,130.859844,"GBIF"
"2","Gekko japonicus",33.377407,130.211336,"GBIF"
"3","Gekko japonicus",33.750411,130.468925,"GBIF"
"4","Gekko japonicus",33.750106,130.46787,"GBIF"
"5","Gekko japonicus",33.482401,130.337767,"GBIF"
"6","Gekko japonicus",33.728745,130.470096,"GBIF"
"7","Gekko japonicus",35.128764,129.087235,"GBIF"
"8","Gekko japonicus",35.114459,128.96786,"GBIF"
"9","Gekko japonicus",35.111496,128.966602,"GBIF"
"10","Gekko japonicus",33.557026,130.391851,"GBIF"
"11","Gekko japonicus",33.527713,130.746522,"GBIF"
"12","Gekko japonicus",33.578614,130.335486,"GBIF"
"13","Gekko japonicus",35.114436,128.966642,"GBIF"
"14","Gekko japonicus",35.219608,129.074625,"GBIF"
"15","Gekko japonicus",35.048878,128.971888,"GBIF"
"16","Gekko japonicus",35.114444,129.024167,"GBIF"
"17","Gekko japonicus",35.086998,129.004464,"GBIF"
"18","Gekko japonicus",35.048919,128.971694,"GBIF"
"19","Gekko japonicus",35.048904,128.971683,"GBIF"
"20","Gekko japonicus",35.048056,128.968056,"GBIF"
"21","Gekko japonicus",35.048889,128.971944,"GBIF"
"22","Gekko japonicus",35.203905,128.573714,"GBIF"
"23","Gekko japonicus",35.203544,128.573711,"GBIF"
"24","Gekko japonicus",34.787937,126.389903,"GBIF"
"25","Gekko japonicus",34.787913,126.389903,"GBIF"
"26","Gekko japonicus",34.791159,126.391128,"GBIF"
"27","Gekko japonicus",34.791582,126.39107,"GBIF"
"28","Gekko japonicus",35.106667,129.034167,"GBIF"
"29","Gekko japonicus",35.107577,129.025579,"GBIF"
"30","Gekko japonicus",35.113056,129.031111,"GBIF"
"31","Gekko japonicus",35.113056,129.036944,"GBIF"
"32","Gekko japonicus",34.642247,129.326248,"GBIF"
"33","Gekko japonicus",34.201923,129.291431,"GBIF"
"34","Gekko japonicus",34.639252,129.398178,"GBIF"
"35","Gekko japonicus",34.788449,126.38872,"GBIF"
"36","Gekko japonicus",34.788466,126.388752,"GBIF"
"37","Gekko japonicus",34.788484,126.38873,"GBIF"
"38","Gekko japonicus",34.78851,126.388725,"GBIF"
"39","Gekko japonicus",35.208845,129.091179,"GBIF"
"40","Gekko japonicus",35.201795,129.093658,"GBIF"
"41","Gekko japonicus",35.202111,129.092258,"GBIF"
"42","Gekko japonicus",35.209968,129.091917,"GBIF"
"43","Gekko japonicus",35.079926,129.021288,"GBIF"
"44","Gekko japonicus",35.097453,129.010595,"GBIF"
"45","Gekko japonicus",35.102143,128.994535,"GBIF"
"46","Gekko japonicus",35.092241,128.964224,"GBIF"
"47","Gekko japonicus",34.78929,126.390275,"GBIF"
"48","Gekko japonicus",34.789294,126.390426,"GBIF"
"49","Gekko japonicus",34.789082,126.39125,"GBIF"
"50","Gekko japonicus",35.113888,128.967224,"GBIF"
"51","Gekko japonicus",35.19392,128.981348,"GBIF"
"52","Gekko japonicus",33.585968,130.383368,"GBIF"
"53","Gekko japonicus",33.571474,130.243154,"GBIF"
"54","Gekko japonicus",35.108675,128.973999,"GBIF"
"55","Gekko japonicus",35.125244,129.020348,"GBIF"
"56","Gekko japonicus",35.124682,129.021721,"GBIF"
"57","Gekko japonicus",35.108289,128.997871,"GBIF"
"58","Gekko japonicus",35.14209,129.092102,"GBIF"
"59","Gekko japonicus",35.122304,129.020873,"GBIF"
"60","Gekko japonicus",35.149109,129.092789,"GBIF"
"61","Gekko japonicus",35.203594,128.572963,"GBIF"
