"","scientific_name","lat","long","source"
"1","Gloydius brevicauda",35.882764,126.627087,"GBIF"
"2","Gloydius brevicauda",35.790849,128.496754,"GBIF"
"3","Gloydius brevicauda",35.519529,127.667375,"GBIF"
"4","Gloydius brevicauda",38.127483,127.747323,"GBIF"
"5","Gloydius brevicauda",37.480703,126.832328,"GBIF"
"6","Gloydius brevicauda",35.085445,126.116696,"GBIF"
"7","Gloydius brevicauda",35.70531,127.861852,"GBIF"
"8","Gloydius brevicauda",36.792097,127.072258,"GBIF"
"9","Gloydius brevicauda",36.28752,127.335296,"GBIF"
"10","Gloydius brevicauda",36.613288,127.462994,"GBIF"
"11","Gloydius brevicauda",36.791397,127.075714,"GBIF"
"12","Gloydius brevicauda",36.792822,127.070131,"GBIF"
"13","Gloydius brevicauda",36.218008,127.340099,"GBIF"
"14","Gloydius brevicauda",36.792188,127.071839,"GBIF"
"15","Gloydius brevicauda",36.791772,127.076531,"GBIF"
"16","Gloydius brevicauda",36.791405,127.077361,"GBIF"
"17","Gloydius brevicauda",35.692915,127.867862,"GBIF"
"18","Gloydius brevicauda",36.792775,127.070167,"GBIF"
"19","Gloydius brevicauda",36.792345,127.070542,"GBIF"
"20","Gloydius brevicauda",36.791422,127.077111,"GBIF"
"21","Gloydius brevicauda",35.419016,126.779466,"GBIF"
"22","Gloydius brevicauda",37.134506,125.831715,"GBIF"
"23","Gloydius brevicauda",37.01721,125.989779,"GBIF"
"24","Gloydius brevicauda",34.748922,126.145576,"GBIF"
"25","Gloydius brevicauda",37.955082,127.744936,"GBIF"
"26","Gloydius brevicauda",36.794078,127.21358,"GBIF"
"27","Gloydius brevicauda",35.984262,129.397505,"GBIF"
"28","Gloydius brevicauda",36.433963,128.60527,"GBIF"
"29","Gloydius brevicauda",37.25838,127.967335,"GBIF"
"30","Gloydius brevicauda",36.943913,128.147136,"GBIF"
"31","Gloydius brevicauda",35.679295,127.388429,"GBIF"
"32","Gloydius brevicauda",36.794445,127.085992,"GBIF"
"33","Gloydius brevicauda",36.278948,127.355635,"GBIF"
"34","Gloydius brevicauda",36.794708,127.231797,"GBIF"
"35","Gloydius brevicauda",34.976404,126.147025,"GBIF"
"36","Gloydius brevicauda",34.98269,126.166706,"GBIF"
"37","Gloydius brevicauda",38.135102,128.066646,"GBIF"
"38","Gloydius brevicauda",35.900013,128.540157,"GBIF"
"39","Gloydius brevicauda",37.129012,127.638899,"GBIF"
"40","Gloydius brevicauda",36.665225,127.506701,"GBIF"
"41","Gloydius brevicauda",38.062655,127.645942,"GBIF"
"42","Gloydius brevicauda",37.667973,126.198447,"GBIF"
"43","Gloydius brevicauda",37.458133,128.145837,"GBIF"
"44","Gloydius brevicauda",36.780858,126.153645,"GBIF"
"45","Gloydius brevicauda",36.604489,126.136853,"GBIF"
"46","Gloydius brevicauda",36.7815,126.10151,"GBIF"
"47","Gloydius brevicauda",37.968484,127.81761,"GBIF"
"48","Gloydius brevicauda",36.673575,128.15199,"GBIF"
"49","Gloydius brevicauda",36.616776,126.15214,"GBIF"
"50","Gloydius brevicauda",36.756034,126.038417,"GBIF"
"51","Gloydius brevicauda",36.738973,126.183325,"GBIF"
"52","Gloydius brevicauda",35.585471,126.817263,"GBIF"
"53","Gloydius brevicauda",38.062663,127.74794,"GBIF"
"54","Gloydius brevicauda",35.740172,126.603959,"GBIF"
"55","Gloydius brevicauda",36.79133,127.076514,"GBIF"
"56","Gloydius brevicauda",38.071062,127.731476,"GBIF"
"57","Gloydius brevicauda",36.70702,127.016328,"GBIF"
"58","Gloydius brevicauda",36.791395,127.077003,"GBIF"
"59","Gloydius brevicauda",36.79142,127.077111,"GBIF"
"60","Gloydius brevicauda",36.791412,127.077003,"GBIF"
"61","Gloydius brevicauda",37.123701,127.639898,"GBIF"
"62","Gloydius brevicauda",36.58359,127.422203,"GBIF"
"63","Gloydius brevicauda",36.22845,126.085117,"GBIF"
"64","Gloydius brevicauda",35.63786,126.955776,"GBIF"
"65","Gloydius brevicauda",37.168037,126.31358,"GBIF"
"66","Gloydius brevicauda",36.842779,127.464079,"GBIF"
"67","Gloydius brevicauda",37.590385,126.837229,"GBIF"
"68","Gloydius brevicauda",36.613249,127.463035,"GBIF"
"69","Gloydius brevicauda",38.022174,127.883015,"GBIF"
"70","Gloydius brevicauda",36.613525,127.462313,"GBIF"
"71","Gloydius brevicauda",38.146533,127.963065,"GBIF"
"72","Gloydius brevicauda",35.836234,127.494427,"GBIF"
"73","Gloydius brevicauda",36.985817,127.198353,"GBIF"
"74","Gloydius brevicauda",37.456123,128.143048,"GBIF"
"75","Gloydius brevicauda",36.563156,128.23566,"GBIF"
"76","Gloydius brevicauda",37.091389,127.589722,"GBIF"
"77","Gloydius brevicauda",36.698033,126.580063,"GBIF"
"78","Gloydius brevicauda",36.937778,128.145,"GBIF"
"79","Gloydius brevicauda",36.430556,126.401667,"GBIF"
"80","Gloydius brevicauda",37.758889,126.622222,"GBIF"
"81","Gloydius brevicauda",37.118056,128.545278,"GBIF"
"82","Gloydius brevicauda",37.744917,126.610235,"GBIF"
"83","Gloydius brevicauda",37.169284,126.303085,"GBIF"
"84","Gloydius brevicauda",37.450833,128.664167,"GBIF"
"85","Gloydius brevicauda",37.271995,127.434822,"GBIF"
"86","Gloydius brevicauda",37.375,128.611667,"GBIF"
"87","Gloydius brevicauda",35.370244,128.896991,"GBIF"
"88","Gloydius brevicauda",37.371242,126.717848,"GBIF"
"89","Gloydius brevicauda",37.250416,126.324239,"GBIF"
"90","Gloydius brevicauda",36.853783,127.962919,"GBIF"
"91","Gloydius brevicauda",36.560292,127.295665,"GBIF"
"92","Gloydius brevicauda",37.458008,128.14227,"GBIF"
"93","Gloydius brevicauda",36.084045,128.386842,"GBIF"
"94","Gloydius brevicauda",36.545273,128.718658,"GBIF"
"95","Gloydius brevicauda",36.399074,127.41359,"GBIF"
"96","Gloydius brevicauda",36.031523,126.724843,"GBIF"
"97","Gloydius brevicauda",37.490649,126.578143,"GBIF"
"98","Gloydius brevicauda",37.898888,126.765831,"GBIF"
"99","Gloydius brevicauda",36.746308,126.580833,"GBIF"
"100","Gloydius brevicauda",36.748702,126.57634,"GBIF"
"101","Gloydius brevicauda",36.816113,126.928337,"GBIF"
"102","Gloydius brevicauda",34.918037,126.209843,"GBIF"
"103","Gloydius brevicauda",34.917762,126.209758,"GBIF"
"104","Gloydius brevicauda",36.723482,126.132155,"GBIF"
"105","Gloydius brevicauda",36.846659,129.181366,"GBIF"
"106","Gloydius brevicauda",36.50457,127.484322,"GBIF"
"107","Gloydius brevicauda",36.651043,126.633654,"GBIF"
"108","Gloydius brevicauda",36.993066,129.40042,"GBIF"
"109","Gloydius brevicauda",36.403794,127.37124,"GBIF"
"110","Gloydius brevicauda",36.404215,127.371819,"GBIF"
"111","Gloydius brevicauda",35.831314,128.481936,"GBIF"
"112","Gloydius brevicauda",37.078394,125.951774,"GBIF"
"113","Gloydius brevicauda",36.747481,126.591082,"GBIF"
"114","Gloydius brevicauda",36.6943,126.162357,"GBIF"
"115","Gloydius brevicauda",36.742805,126.583571,"GBIF"
"116","Gloydius brevicauda",36.700494,126.559238,"GBIF"
"117","Gloydius brevicauda",36.747138,127.699928,"GBIF"
"118","Gloydius brevicauda",35.79087,128.448188,"GBIF"
"119","Gloydius brevicauda",35.79096,128.448579,"GBIF"
"120","Gloydius brevicauda",35.79086,128.448185,"GBIF"
"121","Gloydius brevicauda",36.141756,127.274551,"GBIF"
"122","Gloydius brevicauda",36.72179,126.129506,"GBIF"
"123","Gloydius brevicauda",37.479368,127.043365,"GBIF"
"124","Gloydius brevicauda",36.686454,126.564045,"GBIF"
"125","Gloydius brevicauda",36.199923,127.440247,"GBIF"
"126","Gloydius brevicauda",36.741558,126.587402,"GBIF"
"127","Gloydius brevicauda",36.706687,126.61417,"GBIF"
"128","Gloydius brevicauda",37.234702,126.991053,"GBIF"
"129","Gloydius brevicauda",36.689896,126.566191,"GBIF"
"130","Gloydius brevicauda",36.423493,127.157307,"GBIF"
"131","Gloydius brevicauda",35.52287,129.40143,"GBIF"
"132","Gloydius brevicauda",37.493542,126.5161,"GBIF"
"133","Gloydius brevicauda",36.9,127.166667,"GBIF"
