"","scientific_name","lat","long","source"
"1","Hynobius geojeensis",34.813005,128.618373,"GBIF"
"2","Hynobius geojeensis",34.813029,128.618377,"GBIF"
"3","Hynobius geojeensis",34.813048,128.618316,"GBIF"
"4","Hynobius geojeensis",34.812986,128.618391,"GBIF"
"5","Hynobius geojeensis",34.813511,128.618291,"GBIF"
"6","Hynobius geojeensis",34.812914,128.618478,"GBIF"
"7","Hynobius geojeensis",34.813047,128.618322,"GBIF"
"8","Hynobius geojeensis",34.812827,128.618302,"GBIF"
"9","Hynobius geojeensis",34.812662,128.618329,"GBIF"
"10","Hynobius geojeensis",34.812707,128.618442,"GBIF"
"11","Hynobius geojeensis",34.812783,128.618564,"GBIF"
"12","Hynobius geojeensis",34.812713,128.618484,"GBIF"
"13","Hynobius geojeensis",34.812728,128.618316,"GBIF"
"14","Hynobius geojeensis",34.812554,128.61802,"GBIF"
"15","Hynobius geojeensis",34.813107,128.618193,"GBIF"
"16","Hynobius geojeensis",34.813139,128.618165,"GBIF"
"17","Hynobius geojeensis",34.813054,128.618177,"GBIF"
"18","Hynobius geojeensis",34.812228,128.618305,"GBIF"
"19","Hynobius geojeensis",34.812439,128.618102,"GBIF"
"20","Hynobius geojeensis",34.812104,128.618342,"GBIF"
"21","Hynobius geojeensis",34.813226,128.619166,"GBIF"
"22","Hynobius geojeensis",34.812536,128.618446,"GBIF"
"23","Hynobius geojeensis",34.812569,128.618466,"GBIF"
"24","Hynobius geojeensis",34.753272,128.603374,"GBIF"
"25","Hynobius geojeensis",34.752901,128.603314,"GBIF"
"26","Hynobius geojeensis",34.753248,128.603366,"GBIF"
"27","Hynobius geojeensis",34.75326,128.603336,"GBIF"
"28","Hynobius geojeensis",34.753304,128.604779,"GBIF"
"29","Hynobius geojeensis",34.812485,128.618438,"GBIF"
"30","Hynobius geojeensis",34.753042,128.603325,"GBIF"
"31","Hynobius geojeensis",34.766718,128.618041,"GBIF"
"32","Hynobius geojeensis",34.815,128.617778,"GBIF"
"33","Hynobius geojeensis",34.730556,128.635556,"GBIF"
"34","Hynobius geojeensis",34.729722,128.6275,"GBIF"
"35","Hynobius geojeensis",34.736944,128.636389,"GBIF"
"36","Hynobius geojeensis",34.813056,128.620278,"GBIF"
"37","Hynobius geojeensis",34.816944,128.614167,"GBIF"
"38","Hynobius geojeensis",34.813056,128.62,"GBIF"
"39","Hynobius geojeensis",34.813056,128.619167,"GBIF"
"40","Hynobius geojeensis",34.813157,128.620246,"GBIF"
"41","Hynobius geojeensis",34.8175,128.613056,"GBIF"
"42","Hynobius geojeensis",34.815833,128.614722,"GBIF"
"43","Hynobius geojeensis",34.816111,128.615833,"GBIF"
"44","Hynobius geojeensis",34.816389,128.615278,"GBIF"
"45","Hynobius geojeensis",34.8125,128.618889,"GBIF"
"46","Hynobius geojeensis",34.811944,128.618333,"GBIF"
"47","Hynobius geojeensis",34.813078,128.618272,"GBIF"
"48","Hynobius geojeensis",34.812544,128.618386,"GBIF"
"49","Hynobius geojeensis",34.81276,128.618028,"GBIF"
"50","Hynobius geojeensis",34.812792,128.618122,"GBIF"
"51","Hynobius geojeensis",34.812512,128.619204,"GBIF"
"52","Hynobius geojeensis",34.813615,128.618806,"GBIF"
"53","Hynobius geojeensis",34.812616,128.619225,"GBIF"
"54","Hynobius geojeensis",34.813016,128.619266,"GBIF"
"55","Hynobius geojeensis",34.79407,128.636169,"GBIF"
"56","Hynobius geojeensis",34.813275,128.617619,"GBIF"
"57","Hynobius geojeensis",34.823087,128.695929,"GBIF"
"58","Hynobius geojeensis",34.823933,128.697002,"GBIF"
"59","Hynobius geojeensis",34.812905,128.618639,"GBIF"
"60","Hynobius geojeensis",34.789092,128.630065,"GBIF"
"61","Hynobius geojeensis",34.811302,128.618875,"GBIF"
