"","scientific_name","lat","long","source"
"1","Hynobius leechii",37.59946,126.993996,"GBIF"
"2","Hynobius leechii",35.522859,126.783561,"GBIF"
"3","Hynobius leechii",35.783472,128.48948,"GBIF"
"4","Hynobius leechii",35.783452,128.489231,"GBIF"
"5","Hynobius leechii",35.784325,128.488954,"GBIF"
"6","Hynobius leechii",35.784379,128.489003,"GBIF"
"7","Hynobius leechii",35.784514,128.488919,"GBIF"
"8","Hynobius leechii",35.784403,128.488883,"GBIF"
"9","Hynobius leechii",35.784645,128.488887,"GBIF"
"10","Hynobius leechii",35.784715,128.488815,"GBIF"
"11","Hynobius leechii",35.784627,128.488795,"GBIF"
"12","Hynobius leechii",35.784893,128.488487,"GBIF"
"13","Hynobius leechii",36.372979,127.439655,"GBIF"
"14","Hynobius leechii",36.373004,127.439902,"GBIF"
"15","Hynobius leechii",35.795153,128.488405,"GBIF"
"16","Hynobius leechii",35.795158,128.488534,"GBIF"
"17","Hynobius leechii",35.795153,128.488457,"GBIF"
"18","Hynobius leechii",35.795135,128.48858,"GBIF"
"19","Hynobius leechii",35.794731,128.488454,"GBIF"
"20","Hynobius leechii",35.510417,126.882113,"GBIF"
"21","Hynobius leechii",35.78733,128.500382,"GBIF"
"22","Hynobius leechii",35.787325,128.50039,"GBIF"
"23","Hynobius leechii",35.792129,128.499282,"GBIF"
"24","Hynobius leechii",35.7871,128.50044,"GBIF"
"25","Hynobius leechii",35.787122,128.500477,"GBIF"
"26","Hynobius leechii",35.787119,128.500452,"GBIF"
"27","Hynobius leechii",35.787098,128.500455,"GBIF"
"28","Hynobius leechii",36.613737,127.468693,"GBIF"
"29","Hynobius leechii",35.29018,129.1814,"GBIF"
"30","Hynobius leechii",35.308691,129.066717,"GBIF"
"31","Hynobius leechii",35.795154,128.48857,"GBIF"
"32","Hynobius leechii",35.795181,128.488563,"GBIF"
"33","Hynobius leechii",35.795163,128.488551,"GBIF"
"34","Hynobius leechii",35.795157,128.488536,"GBIF"
"35","Hynobius leechii",35.795157,128.48853,"GBIF"
"36","Hynobius leechii",35.795163,128.488531,"GBIF"
"37","Hynobius leechii",35.795169,128.488536,"GBIF"
"38","Hynobius leechii",37.33962,127.015214,"GBIF"
"39","Hynobius leechii",35.807561,128.572813,"GBIF"
"40","Hynobius leechii",35.808231,128.569046,"GBIF"
"41","Hynobius leechii",35.863473,128.510891,"GBIF"
"42","Hynobius leechii",35.863216,128.510981,"GBIF"
"43","Hynobius leechii",35.863491,128.510987,"GBIF"
"44","Hynobius leechii",35.863108,128.511213,"GBIF"
"45","Hynobius leechii",35.86338,128.51102,"GBIF"
"46","Hynobius leechii",35.863595,128.511052,"GBIF"
"47","Hynobius leechii",35.863473,128.511053,"GBIF"
"48","Hynobius leechii",35.863531,128.511127,"GBIF"
"49","Hynobius leechii",35.863937,128.510732,"GBIF"
"50","Hynobius leechii",35.864282,128.510734,"GBIF"
"51","Hynobius leechii",35.863693,128.511274,"GBIF"
"52","Hynobius leechii",35.863662,128.510914,"GBIF"
"53","Hynobius leechii",35.864176,128.510954,"GBIF"
"54","Hynobius leechii",35.864485,128.510793,"GBIF"
"55","Hynobius leechii",35.864293,128.510928,"GBIF"
"56","Hynobius leechii",35.86435,128.512998,"GBIF"
"57","Hynobius leechii",35.864616,128.513022,"GBIF"
"58","Hynobius leechii",35.865039,128.513222,"GBIF"
"59","Hynobius leechii",35.863294,128.511086,"GBIF"
"60","Hynobius leechii",35.863283,128.511073,"GBIF"
"61","Hynobius leechii",35.863282,128.511069,"GBIF"
"62","Hynobius leechii",35.864671,128.510829,"GBIF"
"63","Hynobius leechii",35.865499,128.510694,"GBIF"
"64","Hynobius leechii",35.863717,128.510876,"GBIF"
