"","scientific_name","lat","long","source"
"1","Hynobius notialis",35.191589,128.215101,"GBIF"
"2","Hynobius notialis",35.191573,128.215073,"GBIF"
"3","Hynobius notialis",35.191482,128.215081,"GBIF"
"4","Hynobius notialis",35.191486,128.215252,"GBIF"
"5","Hynobius notialis",35.191774,128.214545,"GBIF"
"6","Hynobius notialis",35.191513,128.214901,"GBIF"
"7","Hynobius notialis",35.191478,128.214888,"GBIF"
"8","Hynobius notialis",34.747912,128.018422,"GBIF"
"9","Hynobius notialis",34.747917,128.01862,"GBIF"
"10","Hynobius notialis",35.191302,128.214626,"GBIF"
"11","Hynobius notialis",35.192069,128.215872,"GBIF"
"12","Hynobius notialis",35.190719,128.214094,"GBIF"
"13","Hynobius notialis",35.191712,128.215078,"GBIF"
"14","Hynobius notialis",35.191698,128.21519,"GBIF"
"15","Hynobius notialis",35.249083,128.037848,"GBIF"
"16","Hynobius notialis",35.253205,128.029313,"GBIF"
"17","Hynobius notialis",35.122084,127.831467,"GBIF"
"18","Hynobius notialis",35.193612,128.217222,"GBIF"
"19","Hynobius notialis",35.099167,128.207222,"GBIF"
"20","Hynobius notialis",35.098452,128.208866,"GBIF"
"21","Hynobius notialis",35.133333,128.223333,"GBIF"
"22","Hynobius notialis",35.094167,128.195833,"GBIF"
"23","Hynobius notialis",35.098611,128.208333,"GBIF"
"24","Hynobius notialis",35.094444,128.196111,"GBIF"
"25","Hynobius notialis",35.133487,128.22323,"GBIF"
"26","Hynobius notialis",34.887997,128.519572,"GBIF"
"27","Hynobius notialis",34.977756,128.422845,"GBIF"
"28","Hynobius notialis",34.926985,128.581025,"GBIF"
"29","Hynobius notialis",34.956695,128.430452,"GBIF"
"30","Hynobius notialis",34.828833,128.459689,"GBIF"
"31","Hynobius notialis",34.94209,128.574772,"GBIF"
"32","Hynobius notialis",35.300835,127.810837,"GBIF"
"33","Hynobius notialis",35.171864,128.203959,"GBIF"
"34","Hynobius notialis",35.0985,128.208755,"GBIF"
"35","Hynobius notialis",35.122776,128.266388,"GBIF"
"36","Hynobius notialis",34.849709,128.540125,"GBIF"
"37","Hynobius notialis",34.862229,128.529932,"GBIF"
"38","Hynobius notialis",34.873257,128.547935,"GBIF"
"39","Hynobius notialis",34.850606,128.409587,"GBIF"
"40","Hynobius notialis",34.851658,128.449858,"GBIF"
"41","Hynobius notialis",34.614757,128.014323,"GBIF"
"42","Hynobius notialis",34.694489,128.154721,"GBIF"
"43","Hynobius notialis",34.939985,128.709983,"GBIF"
"44","Hynobius notialis",34.820013,128.414994,"GBIF"
"45","Hynobius notialis",34.950363,128.670802,"GBIF"
"46","Hynobius notialis",34.812183,128.408461,"GBIF"
