"","scientific_name","lat","long","source"
"1","Hynobius unisacculus",34.684541,127.7544,"GBIF"
"2","Hynobius unisacculus",34.712493,127.671708,"GBIF"
"3","Hynobius unisacculus",34.761379,127.679297,"GBIF"
"4","Hynobius unisacculus",34.657988,127.788771,"GBIF"
"5","Hynobius unisacculus",34.651654,127.679006,"GBIF"
"6","Hynobius unisacculus",34.728126,127.600058,"GBIF"
"7","Hynobius unisacculus",34.710835,127.604657,"GBIF"
"8","Hynobius unisacculus",34.736314,127.790819,"GBIF"
"9","Hynobius unisacculus",34.881378,127.776987,"GBIF"
"10","Hynobius unisacculus",34.867974,127.678852,"GBIF"
"11","Hynobius unisacculus",34.807591,127.753501,"GBIF"
"12","Hynobius unisacculus",34.97181,127.793578,"GBIF"
"13","Hynobius unisacculus",34.949628,127.286896,"GBIF"
"14","Hynobius unisacculus",34.845485,127.254044,"GBIF"
"15","Hynobius unisacculus",34.886893,127.399906,"GBIF"
"16","Hynobius unisacculus",34.825162,127.386273,"GBIF"
"17","Hynobius unisacculus",34.935735,127.251853,"GBIF"
"18","Hynobius unisacculus",34.93437,127.380267,"GBIF"
"19","Hynobius unisacculus",34.996353,127.358588,"GBIF"
"20","Hynobius unisacculus",34.992012,127.22744,"GBIF"
"21","Hynobius unisacculus",34.941873,127.273904,"GBIF"
"22","Hynobius unisacculus",34.595473,127.544956,"GBIF"
"23","Hynobius unisacculus",34.433329,127.557791,"GBIF"
"24","Hynobius unisacculus",34.541411,127.546852,"GBIF"
"25","Hynobius unisacculus",34.86548,127.2423,"GBIF"
"26","Hynobius unisacculus",34.804957,127.250159,"GBIF"
"27","Hynobius unisacculus",34.802801,127.245821,"GBIF"
"28","Hynobius unisacculus",34.870224,127.224904,"GBIF"
"29","Hynobius unisacculus",34.956133,127.233406,"GBIF"
"30","Hynobius unisacculus",34.405069,127.517612,"GBIF"
"31","Hynobius unisacculus",34.413121,127.26707,"GBIF"
"32","Hynobius unisacculus",34.416766,127.257648,"GBIF"
"33","Hynobius unisacculus",34.467468,127.330081,"GBIF"
"34","Hynobius unisacculus",34.555348,127.216436,"GBIF"
"35","Hynobius unisacculus",34.520481,127.251475,"GBIF"
"36","Hynobius unisacculus",34.499744,127.387164,"GBIF"
"37","Hynobius unisacculus",34.583945,127.371447,"GBIF"
"38","Hynobius unisacculus",34.468736,127.314447,"GBIF"
"39","Hynobius unisacculus",34.595057,127.285061,"GBIF"
"40","Hynobius unisacculus",34.502438,127.29349,"GBIF"
"41","Hynobius unisacculus",34.530424,127.358549,"GBIF"
"42","Hynobius unisacculus",34.545914,127.370969,"GBIF"
"43","Hynobius unisacculus",34.488924,127.205333,"GBIF"
"44","Hynobius unisacculus",34.465486,127.282539,"GBIF"
"45","Hynobius unisacculus",34.449327,127.12963,"GBIF"
"46","Hynobius unisacculus",34.532437,127.074198,"GBIF"
"47","Hynobius unisacculus",34.564049,127.149142,"GBIF"
"48","Hynobius unisacculus",34.482131,127.009556,"GBIF"
"49","Hynobius unisacculus",34.841404,127.271875,"GBIF"
"50","Hynobius unisacculus",34.621083,127.349647,"GBIF"
"51","Hynobius unisacculus",34.715248,127.634017,"GBIF"
"52","Hynobius unisacculus",34.539257,127.301209,"GBIF"
"53","Hynobius unisacculus",34.435858,127.509439,"GBIF"
"54","Hynobius unisacculus",34.987583,127.353938,"GBIF"
"55","Hynobius unisacculus",34.65675,127.137091,"GBIF"
"56","Hynobius unisacculus",34.562883,127.198372,"GBIF"
"57","Hynobius unisacculus",34.740275,127.214157,"GBIF"
"58","Hynobius unisacculus",34.410771,127.498234,"GBIF"
"59","Hynobius unisacculus",34.589062,127.324316,"GBIF"
"60","Hynobius unisacculus",34.426467,127.551942,"GBIF"
"61","Hynobius unisacculus",34.467346,127.579127,"GBIF"
"62","Hynobius unisacculus",34.507388,127.43405,"GBIF"
"63","Hynobius unisacculus",34.42986,127.49953,"GBIF"
"64","Hynobius unisacculus",34.42826,127.49953,"GBIF"
