"","scientific_name","lat","long","source"
"1","Hynobius yangi",35.122762,129.081171,"GBIF"
"2","Hynobius yangi",35.017326,129.059994,"GBIF"
"3","Hynobius yangi",35.105737,129.056561,"GBIF"
"4","Hynobius yangi",35.042897,129.030187,"GBIF"
"5","Hynobius yangi",35.193816,129.114495,"GBIF"
"6","Hynobius yangi",35.169323,129.123322,"GBIF"
"7","Hynobius yangi",35.000626,129.063213,"GBIF"
"8","Hynobius yangi",35.036306,129.111274,"GBIF"
"9","Hynobius yangi",35.069812,129.161723,"GBIF"
"10","Hynobius yangi",35.175556,129.138584,"GBIF"
"11","Hynobius yangi",35.037235,129.036114,"GBIF"
"12","Hynobius yangi",35.196391,129.177082,"GBIF"
"13","Hynobius yangi",35.089967,129.037826,"GBIF"
"14","Hynobius yangi",35.131911,129.142489,"GBIF"
"15","Hynobius yangi",35.068963,129.130158,"GBIF"
"16","Hynobius yangi",35.145033,129.067283,"GBIF"
"17","Hynobius yangi",35.130576,129.00727,"GBIF"
"18","Hynobius yangi",35.032049,129.122627,"GBIF"
"19","Hynobius yangi",35.090215,129.025645,"GBIF"
"20","Hynobius yangi",35.049215,129.002405,"GBIF"
"21","Hynobius yangi",35.17377,129.115575,"GBIF"
"22","Hynobius yangi",35.159532,129.13615,"GBIF"
"23","Hynobius yangi",35.101952,129.130895,"GBIF"
"24","Hynobius yangi",35.10368,129.001109,"GBIF"
"25","Hynobius yangi",35.137054,129.100759,"GBIF"
"26","Hynobius yangi",35.13499,129.012395,"GBIF"
"27","Hynobius yangi",35.181419,129.174254,"GBIF"
"28","Hynobius yangi",35.143122,129.123396,"GBIF"
"29","Hynobius yangi",35.161731,129.113599,"GBIF"
"30","Hynobius yangi",35.066589,129.126167,"GBIF"
"31","Hynobius yangi",35.191477,129.070186,"GBIF"
"32","Hynobius yangi",35.396486,129.03351,"GBIF"
"33","Hynobius yangi",35.221577,129.086374,"GBIF"
"34","Hynobius yangi",35.222189,129.067407,"GBIF"
"35","Hynobius yangi",35.321286,129.150358,"GBIF"
"36","Hynobius yangi",35.325874,129.184733,"GBIF"
"37","Hynobius yangi",35.325965,129.070472,"GBIF"
"38","Hynobius yangi",35.391158,129.081492,"GBIF"
"39","Hynobius yangi",35.207486,129.03812,"GBIF"
"40","Hynobius yangi",35.30385,129.117632,"GBIF"
"41","Hynobius yangi",35.042087,129.1386,"GBIF"
"42","Hynobius yangi",35.433053,129.149763,"GBIF"
"43","Hynobius yangi",35.538568,129.06193,"GBIF"
"44","Hynobius yangi",35.429282,129.002651,"GBIF"
"45","Hynobius yangi",35.306664,129.171459,"GBIF"
"46","Hynobius yangi",35.371787,129.090533,"GBIF"
"47","Hynobius yangi",35.387173,129.019574,"GBIF"
"48","Hynobius yangi",35.358755,129.089722,"GBIF"
"49","Hynobius yangi",35.287178,129.149622,"GBIF"
"50","Hynobius yangi",35.354602,129.131977,"GBIF"
"51","Hynobius yangi",35.276891,129.043347,"GBIF"
"52","Hynobius yangi",35.383292,129.012761,"GBIF"
"53","Hynobius yangi",35.256664,129.18831,"GBIF"
"54","Hynobius yangi",35.096433,129.179362,"GBIF"
"55","Hynobius yangi",35.265356,129.239558,"GBIF"
"56","Hynobius yangi",35.379296,129.354668,"GBIF"
"57","Hynobius yangi",35.259298,129.239353,"GBIF"
"58","Hynobius yangi",35.345902,129.264368,"GBIF"
"59","Hynobius yangi",35.235987,129.202956,"GBIF"
"60","Hynobius yangi",35.388975,129.299939,"GBIF"
"61","Hynobius yangi",35.234941,129.214926,"GBIF"
"62","Hynobius yangi",35.171537,129.186823,"GBIF"
"63","Hynobius yangi",35.064298,129.130812,"GBIF"
"64","Hynobius yangi",35.255876,129.361448,"GBIF"
"65","Hynobius yangi",35.216711,129.267037,"GBIF"
"66","Hynobius yangi",35.052254,129.165288,"GBIF"
"67","Hynobius yangi",35.562507,129.329246,"GBIF"
"68","Hynobius yangi",35.366073,129.281738,"GBIF"
"69","Hynobius yangi",35.397185,129.225497,"GBIF"
"70","Hynobius yangi",35.27202,129.202344,"GBIF"
"71","Hynobius yangi",35.347036,129.383874,"GBIF"
"72","Hynobius yangi",35.338722,129.328813,"GBIF"
"73","Hynobius yangi",35.393577,129.086923,"GBIF"
"74","Hynobius yangi",35.18085,129.111694,"GBIF"
"75","Hynobius yangi",35.304632,128.782613,"GBIF"
"76","Hynobius yangi",35.312227,129.319174,"GBIF"
"77","Hynobius yangi",35.231837,129.018381,"GBIF"
"78","Hynobius yangi",35.337968,129.315874,"GBIF"
"79","Hynobius yangi",35.24045,129.312258,"GBIF"
"80","Hynobius yangi",35.529583,129.292015,"GBIF"
"81","Hynobius yangi",35.561821,129.364793,"GBIF"
"82","Hynobius yangi",35.235697,129.246738,"GBIF"
"83","Hynobius yangi",35.379609,129.322899,"GBIF"
"84","Hynobius yangi",35.390688,129.381472,"GBIF"
"85","Hynobius yangi",35.377345,129.212779,"GBIF"
"86","Hynobius yangi",35.05129,129.059928,"GBIF"
"87","Hynobius yangi",35.215964,129.242402,"GBIF"
"88","Hynobius yangi",35.357253,129.354276,"GBIF"
"89","Hynobius yangi",35.226483,129.215884,"GBIF"
"90","Hynobius yangi",35.347516,129.244819,"GBIF"
"91","Hynobius yangi",35.320309,129.24196,"GBIF"
"92","Hynobius yangi",35.352073,129.267385,"GBIF"
"93","Hynobius yangi",35.316667,129.283333,"GBIF"
