"","scientific_name","lat","long","source"
"1","Kaloula borealis",36.798095,127.088281,"GBIF"
"2","Kaloula borealis",36.798363,127.087922,"GBIF"
"3","Kaloula borealis",36.785717,127.105339,"GBIF"
"4","Kaloula borealis",36.785717,127.10537,"GBIF"
"5","Kaloula borealis",36.785738,127.105483,"GBIF"
"6","Kaloula borealis",36.786267,127.104653,"GBIF"
"7","Kaloula borealis",36.785725,127.104728,"GBIF"
"8","Kaloula borealis",36.785753,127.105331,"GBIF"
"9","Kaloula borealis",36.785747,127.105339,"GBIF"
"10","Kaloula borealis",36.786362,127.104133,"GBIF"
"11","Kaloula borealis",36.78573,127.105256,"GBIF"
"12","Kaloula borealis",36.785713,127.105186,"GBIF"
"13","Kaloula borealis",36.785313,127.105447,"GBIF"
"14","Kaloula borealis",36.785328,127.10547,"GBIF"
"15","Kaloula borealis",36.786638,127.104003,"GBIF"
"16","Kaloula borealis",36.786478,127.103881,"GBIF"
"17","Kaloula borealis",36.786622,127.103958,"GBIF"
"18","Kaloula borealis",36.786413,127.104286,"GBIF"
"19","Kaloula borealis",36.786287,127.10402,"GBIF"
"20","Kaloula borealis",36.78572,127.105331,"GBIF"
"21","Kaloula borealis",36.845825,127.18557,"GBIF"
"22","Kaloula borealis",36.78578,127.105203,"GBIF"
"23","Kaloula borealis",36.78592,127.105133,"GBIF"
"24","Kaloula borealis",36.785942,127.104964,"GBIF"
"25","Kaloula borealis",36.785453,127.10575,"GBIF"
"26","Kaloula borealis",36.786253,127.103775,"GBIF"
"27","Kaloula borealis",36.859222,127.205475,"GBIF"
"28","Kaloula borealis",36.78582,127.1054,"GBIF"
"29","Kaloula borealis",36.785767,127.105117,"GBIF"
"30","Kaloula borealis",36.786353,127.10437,"GBIF"
"31","Kaloula borealis",36.786255,127.104522,"GBIF"
"32","Kaloula borealis",36.785738,127.105295,"GBIF"
"33","Kaloula borealis",36.785795,127.104508,"GBIF"
"34","Kaloula borealis",36.786638,127.104453,"GBIF"
"35","Kaloula borealis",36.799105,127.089767,"GBIF"
"36","Kaloula borealis",36.785645,127.10457,"GBIF"
"37","Kaloula borealis",36.786422,127.104156,"GBIF"
"38","Kaloula borealis",36.785963,127.104583,"GBIF"
