"","scientific_name","lat","long","source"
"1","Rana coreana",35.099633,128.31755,"GBIF"
"2","Rana coreana",35.511709,126.895253,"GBIF"
"3","Rana coreana",36.663759,127.539996,"GBIF"
"4","Rana coreana",36.775236,126.299171,"GBIF"
"5","Rana coreana",35.818757,128.48952,"GBIF"
"6","Rana coreana",35.824381,128.488343,"GBIF"
"7","Rana coreana",35.824314,128.488333,"GBIF"
"8","Rana coreana",36.783471,126.284138,"GBIF"
"9","Rana coreana",36.763072,126.283589,"GBIF"
"10","Rana coreana",37.750504,126.722438,"GBIF"
"11","Rana coreana",37.75186,126.720872,"GBIF"
"12","Rana coreana",36.893903,126.27359,"GBIF"
"13","Rana coreana",36.793816,126.256532,"GBIF"
"14","Rana coreana",34.969793,127.631894,"GBIF"
"15","Rana coreana",37.281772,127.066139,"GBIF"
"16","Rana coreana",36.770986,126.283589,"GBIF"
"17","Rana coreana",36.782837,126.282315,"GBIF"
"18","Rana coreana",36.781405,126.285322,"GBIF"
"19","Rana coreana",36.78303,126.282138,"GBIF"
"20","Rana coreana",36.78287,126.282276,"GBIF"
"21","Rana coreana",36.789256,126.284615,"GBIF"
"22","Rana coreana",36.798738,126.257497,"GBIF"
"23","Rana coreana",36.791952,126.284248,"GBIF"
"24","Rana coreana",36.78923,126.284782,"GBIF"
"25","Rana coreana",36.78131,126.284882,"GBIF"
"26","Rana coreana",36.782807,126.282224,"GBIF"
"27","Rana coreana",36.749878,126.407363,"GBIF"
"28","Rana coreana",36.789225,126.285069,"GBIF"
"29","Rana coreana",37.750514,126.722305,"GBIF"
"30","Rana coreana",37.750797,126.722158,"GBIF"
"31","Rana coreana",36.794615,126.25643,"GBIF"
"32","Rana coreana",35.835721,126.939937,"GBIF"
"33","Rana coreana",36.789393,126.28503,"GBIF"
"34","Rana coreana",36.776525,126.287318,"GBIF"
"35","Rana coreana",36.789188,126.284445,"GBIF"
"36","Rana coreana",36.789762,126.285282,"GBIF"
"37","Rana coreana",37.402395,126.805437,"GBIF"
"38","Rana coreana",37.40248,126.806687,"GBIF"
"39","Rana coreana",37.401763,126.806878,"GBIF"
"40","Rana coreana",36.776347,126.287707,"GBIF"
"41","Rana coreana",36.776254,126.287475,"GBIF"
"42","Rana coreana",36.776228,126.287713,"GBIF"
"43","Rana coreana",36.796335,126.254331,"GBIF"
"44","Rana coreana",34.813851,128.619751,"GBIF"
"45","Rana coreana",36.776662,126.283891,"GBIF"
"46","Rana coreana",36.776587,126.284134,"GBIF"
"47","Rana coreana",37.40368,126.806464,"GBIF"
"48","Rana coreana",36.79656,126.286229,"GBIF"
"49","Rana coreana",36.769228,126.283589,"GBIF"
"50","Rana coreana",37.428889,127.025833,"GBIF"
"51","Rana coreana",36.776446,126.282234,"GBIF"
"52","Rana coreana",36.798486,126.286234,"GBIF"
"53","Rana coreana",34.869476,127.519882,"GBIF"
"54","Rana coreana",34.869518,127.519807,"GBIF"
"55","Rana coreana",36.61551,127.449606,"GBIF"
"56","Rana coreana",36.615896,127.467973,"GBIF"
"57","Rana coreana",36.781197,126.284813,"GBIF"
"58","Rana coreana",36.782715,126.282184,"GBIF"
"59","Rana coreana",36.78824,126.285389,"GBIF"
"60","Rana coreana",36.789083,126.284422,"GBIF"
"61","Rana coreana",36.789047,126.28448,"GBIF"
"62","Rana coreana",37.401509,127.069815,"GBIF"
"63","Rana coreana",37.433666,127.081245,"GBIF"
"64","Rana coreana",37.435909,127.079011,"GBIF"
"65","Rana coreana",37.353299,127.084938,"GBIF"
"66","Rana coreana",37.353778,127.083512,"GBIF"
"67","Rana coreana",37.353889,127.083773,"GBIF"
"68","Rana coreana",37.378645,127.060105,"GBIF"
"69","Rana coreana",37.376684,127.06105,"GBIF"
"70","Rana coreana",37.364186,127.052101,"GBIF"
"71","Rana coreana",37.364911,127.05455,"GBIF"
"72","Rana coreana",36.781152,126.285231,"GBIF"
"73","Rana coreana",36.775861,126.286405,"GBIF"
"74","Rana coreana",36.776634,126.287492,"GBIF"
"75","Rana coreana",37.442917,127.101911,"GBIF"
"76","Rana coreana",37.284227,126.923779,"GBIF"
"77","Rana coreana",36.77615,126.286473,"GBIF"
"78","Rana coreana",36.613413,127.465307,"GBIF"
"79","Rana coreana",36.613507,127.462376,"GBIF"
"80","Rana coreana",36.776241,126.28676,"GBIF"
"81","Rana coreana",36.615911,127.449964,"GBIF"
"82","Rana coreana",37.434347,127.080919,"GBIF"
"83","Rana coreana",37.434168,127.08094,"GBIF"
"84","Rana coreana",37.435245,127.080007,"GBIF"
"85","Rana coreana",37.435904,127.079074,"GBIF"
"86","Rana coreana",37.40204,127.067424,"GBIF"
"87","Rana coreana",37.353753,127.083703,"GBIF"
"88","Rana coreana",37.353993,127.083727,"GBIF"
"89","Rana coreana",36.664953,127.505873,"GBIF"
"90","Rana coreana",38.28815,127.213919,"GBIF"
"91","Rana coreana",38.287729,127.21387,"GBIF"
"92","Rana coreana",36.796309,126.286099,"GBIF"
"93","Rana coreana",36.776149,126.285014,"GBIF"
"94","Rana coreana",36.776185,126.285004,"GBIF"
"95","Rana coreana",36.777682,126.283352,"GBIF"
"96","Rana coreana",36.779567,126.285757,"GBIF"
"97","Rana coreana",36.779795,126.285127,"GBIF"
"98","Rana coreana",36.61625,127.464026,"GBIF"
"99","Rana coreana",38.044445,128.688055,"GBIF"
