"","scientific_name","lat","long","source"
"1","Scincella vandenburghi",33.227881,126.252268,"GBIF"
"2","Scincella vandenburghi",33.459988,126.939353,"GBIF"
"3","Scincella vandenburghi",36.203651,127.453036,"GBIF"
"4","Scincella vandenburghi",33.284492,126.284871,"GBIF"
"5","Scincella vandenburghi",37.424648,127.093874,"GBIF"
"6","Scincella vandenburghi",36.62234,126.311583,"GBIF"
"7","Scincella vandenburghi",33.452306,126.919044,"GBIF"
"8","Scincella vandenburghi",36.190667,127.332876,"GBIF"
"9","Scincella vandenburghi",37.661957,127.078302,"GBIF"
"10","Scincella vandenburghi",37.94535,127.084672,"GBIF"
"11","Scincella vandenburghi",33.518626,126.546988,"GBIF"
"12","Scincella vandenburghi",33.283275,126.273767,"GBIF"
"13","Scincella vandenburghi",34.800186,128.672287,"GBIF"
"14","Scincella vandenburghi",34.704829,125.2056,"GBIF"
"15","Scincella vandenburghi",34.790054,126.408395,"GBIF"
"16","Scincella vandenburghi",37.902653,127.825396,"GBIF"
"17","Scincella vandenburghi",33.512897,126.718384,"GBIF"
"18","Scincella vandenburghi",36.201311,127.342224,"GBIF"
"19","Scincella vandenburghi",36.66041,126.62234,"GBIF"
"20","Scincella vandenburghi",36.20129,127.342919,"GBIF"
"21","Scincella vandenburghi",33.507211,126.892361,"GBIF"
"22","Scincella vandenburghi",33.520183,126.551909,"GBIF"
"23","Scincella vandenburghi",37.4005,126.676699,"GBIF"
"24","Scincella vandenburghi",36.655464,126.618615,"GBIF"
"25","Scincella vandenburghi",36.661939,126.624713,"GBIF"
"26","Scincella vandenburghi",36.691467,126.583497,"GBIF"
"27","Scincella vandenburghi",34.077296,125.114255,"GBIF"
"28","Scincella vandenburghi",35.932541,127.206634,"GBIF"
"29","Scincella vandenburghi",37.945355,127.084508,"GBIF"
"30","Scincella vandenburghi",33.502082,126.538557,"GBIF"
"31","Scincella vandenburghi",33.499441,126.656425,"GBIF"
"32","Scincella vandenburghi",37.749425,127.167817,"GBIF"
"33","Scincella vandenburghi",37.749458,127.167887,"GBIF"
"34","Scincella vandenburghi",37.775956,127.971243,"GBIF"
"35","Scincella vandenburghi",35.75964,127.413081,"GBIF"
"36","Scincella vandenburghi",35.759918,127.413038,"GBIF"
"37","Scincella vandenburghi",35.760197,127.413081,"GBIF"
"38","Scincella vandenburghi",37.934049,127.091132,"GBIF"
"39","Scincella vandenburghi",33.21008,126.258112,"GBIF"
"40","Scincella vandenburghi",35.932537,127.206613,"GBIF"
"41","Scincella vandenburghi",36.369946,127.23605,"GBIF"
"42","Scincella vandenburghi",33.436264,126.629865,"GBIF"
"43","Scincella vandenburghi",33.436397,126.630386,"GBIF"
"44","Scincella vandenburghi",33.519344,126.553479,"GBIF"
"45","Scincella vandenburghi",36.417024,126.859357,"GBIF"
"46","Scincella vandenburghi",33.422527,126.771882,"GBIF"
"47","Scincella vandenburghi",36.281191,127.361077,"GBIF"
"48","Scincella vandenburghi",33.242028,126.608828,"GBIF"
"49","Scincella vandenburghi",33.242499,126.54795,"GBIF"
"50","Scincella vandenburghi",33.436578,126.630822,"GBIF"
"51","Scincella vandenburghi",34.68487,125.198382,"GBIF"
"52","Scincella vandenburghi",33.431907,126.611698,"GBIF"
"53","Scincella vandenburghi",33.520994,126.556949,"GBIF"
"54","Scincella vandenburghi",35.932502,127.206622,"GBIF"
"55","Scincella vandenburghi",36.556462,127.587005,"GBIF"
"56","Scincella vandenburghi",33.514642,126.711392,"GBIF"
"57","Scincella vandenburghi",33.518729,126.714409,"GBIF"
"58","Scincella vandenburghi",33.51863,126.714521,"GBIF"
"59","Scincella vandenburghi",33.518643,126.714503,"GBIF"
"60","Scincella vandenburghi",33.52209,126.544435,"GBIF"
"61","Scincella vandenburghi",33.937599,126.320761,"GBIF"
"62","Scincella vandenburghi",33.454642,126.717925,"GBIF"
"63","Scincella vandenburghi",33.453117,126.722365,"GBIF"
"64","Scincella vandenburghi",37.162103,126.310429,"GBIF"
"65","Scincella vandenburghi",33.487319,126.486153,"GBIF"
"66","Scincella vandenburghi",33.478192,126.506612,"GBIF"
"67","Scincella vandenburghi",33.313968,126.571562,"GBIF"
"68","Scincella vandenburghi",33.98512,126.924028,"GBIF"
"69","Scincella vandenburghi",33.287607,126.281916,"GBIF"
"70","Scincella vandenburghi",33.292303,126.281665,"GBIF"
"71","Scincella vandenburghi",33.431622,126.889357,"GBIF"
"72","Scincella vandenburghi",35.2881,127.439308,"GBIF"
"73","Scincella vandenburghi",37.946359,127.07855,"GBIF"
"74","Scincella vandenburghi",36.689792,126.58632,"GBIF"
"75","Scincella vandenburghi",33.445841,126.616674,"GBIF"
"76","Scincella vandenburghi",34.213262,126.56467,"GBIF"
"77","Scincella vandenburghi",35.518565,126.877776,"GBIF"
"78","Scincella vandenburghi",37.371696,126.445301,"GBIF"
"79","Scincella vandenburghi",37.21433,126.174795,"GBIF"
"80","Scincella vandenburghi",35.692473,126.575431,"GBIF"
"81","Scincella vandenburghi",36.782661,126.277816,"GBIF"
"82","Scincella vandenburghi",36.658617,128.176805,"GBIF"
"83","Scincella vandenburghi",36.694127,128.047885,"GBIF"
"84","Scincella vandenburghi",37.0479,127.398571,"GBIF"
"85","Scincella vandenburghi",33.290521,126.28339,"GBIF"
"86","Scincella vandenburghi",33.322463,126.185456,"GBIF"
"87","Scincella vandenburghi",33.305228,126.290475,"GBIF"
"88","Scincella vandenburghi",33.305239,126.2905,"GBIF"
"89","Scincella vandenburghi",37.866702,127.744456,"GBIF"
"90","Scincella vandenburghi",37.705749,128.028206,"GBIF"
"91","Scincella vandenburghi",34.686515,125.426604,"GBIF"
"92","Scincella vandenburghi",34.687039,125.426704,"GBIF"
"93","Scincella vandenburghi",33.119264,126.268251,"GBIF"
"94","Scincella vandenburghi",33.297432,126.287711,"GBIF"
"95","Scincella vandenburghi",33.539398,126.597442,"GBIF"
"96","Scincella vandenburghi",33.320189,126.53297,"GBIF"
"97","Scincella vandenburghi",36.700602,126.500072,"GBIF"
"98","Scincella vandenburghi",37.168329,126.310455,"GBIF"
"99","Scincella vandenburghi",37.218943,126.161771,"GBIF"
"100","Scincella vandenburghi",37.904444,127.071111,"GBIF"
"101","Scincella vandenburghi",37.945569,127.083085,"GBIF"
"102","Scincella vandenburghi",37.271995,127.434822,"GBIF"
"103","Scincella vandenburghi",37.272307,127.434822,"GBIF"
"104","Scincella vandenburghi",34.533902,127.37021,"GBIF"
"105","Scincella vandenburghi",34.68424,125.196377,"GBIF"
"106","Scincella vandenburghi",36.18861,127.333611,"GBIF"
"107","Scincella vandenburghi",36.691762,126.583397,"GBIF"
"108","Scincella vandenburghi",36.74148,126.588123,"GBIF"
"109","Scincella vandenburghi",33.291164,126.285808,"GBIF"
"110","Scincella vandenburghi",33.291209,126.285293,"GBIF"
"111","Scincella vandenburghi",35.056161,129.08435,"GBIF"
"112","Scincella vandenburghi",34.228515,129.326923,"GBIF"
"113","Scincella vandenburghi",34.378456,129.270085,"GBIF"
"114","Scincella vandenburghi",34.209357,129.396302,"GBIF"
"115","Scincella vandenburghi",33.363266,126.354645,"GBIF"
"116","Scincella vandenburghi",36.740283,126.602872,"GBIF"
"117","Scincella vandenburghi",36.735345,126.599562,"GBIF"
"118","Scincella vandenburghi",36.734842,126.599352,"GBIF"
"119","Scincella vandenburghi",36.738125,126.601405,"GBIF"
"120","Scincella vandenburghi",34.753475,126.65904,"GBIF"
"121","Scincella vandenburghi",34.753279,126.659183,"GBIF"
"122","Scincella vandenburghi",37.759998,127.171509,"GBIF"
"123","Scincella vandenburghi",35.12866,126.938139,"GBIF"
"124","Scincella vandenburghi",36.385482,127.268762,"GBIF"
"125","Scincella vandenburghi",36.747248,126.607563,"GBIF"
"126","Scincella vandenburghi",36.627362,127.674568,"GBIF"
"127","Scincella vandenburghi",36.217224,127.340553,"GBIF"
"128","Scincella vandenburghi",34.735132,126.638905,"GBIF"
"129","Scincella vandenburghi",35.86946,127.284019,"GBIF"
"130","Scincella vandenburghi",36.195356,127.33562,"GBIF"
"131","Scincella vandenburghi",36.192016,127.333689,"GBIF"
"132","Scincella vandenburghi",35.195221,126.544411,"GBIF"
"133","Scincella vandenburghi",34.73694,126.641228,"GBIF"
"134","Scincella vandenburghi",36.055279,127.278336,"GBIF"
"135","Scincella vandenburghi",36.817187,128.231478,"GBIF"
"136","Scincella vandenburghi",36.843911,128.168221,"GBIF"
"137","Scincella vandenburghi",36.745831,126.583577,"GBIF"
"138","Scincella vandenburghi",36.745109,126.583335,"GBIF"
"139","Scincella vandenburghi",36.74617,126.445494,"GBIF"
"140","Scincella vandenburghi",36.746364,126.445561,"GBIF"
"141","Scincella vandenburghi",36.199499,127.344621,"GBIF"
"142","Scincella vandenburghi",34.675027,125.370481,"GBIF"
"143","Scincella vandenburghi",33.291182,126.284166,"GBIF"
"144","Scincella vandenburghi",36.202813,127.343978,"GBIF"
"145","Scincella vandenburghi",35.98134,127.289143,"GBIF"
"146","Scincella vandenburghi",36.688386,127.035811,"GBIF"
"147","Scincella vandenburghi",34.737257,126.633503,"GBIF"
"148","Scincella vandenburghi",36.742667,126.583486,"GBIF"
"149","Scincella vandenburghi",35.755637,127.383127,"GBIF"
"150","Scincella vandenburghi",37.179147,126.255302,"GBIF"
"151","Scincella vandenburghi",35.649842,127.308539,"GBIF"
"152","Scincella vandenburghi",33.356194,126.306222,"GBIF"
"153","Scincella vandenburghi",33.305306,126.289667,"GBIF"
"154","Scincella vandenburghi",36.903722,127.850417,"GBIF"
"155","Scincella vandenburghi",36.865931,127.773347,"GBIF"
"156","Scincella vandenburghi",36.71175,127.713972,"GBIF"
"157","Scincella vandenburghi",36.633969,127.677472,"GBIF"
"158","Scincella vandenburghi",35.563392,127.096283,"GBIF"
"159","Scincella vandenburghi",36.650039,128.036564,"GBIF"
"160","Scincella vandenburghi",33.488472,126.651333,"GBIF"
"161","Scincella vandenburghi",33.447642,126.711842,"GBIF"
"162","Scincella vandenburghi",33.392408,126.636289,"GBIF"
"163","Scincella vandenburghi",35.642064,126.674031,"GBIF"
"164","Scincella vandenburghi",35.651481,126.954072,"GBIF"
"165","Scincella vandenburghi",35.693961,126.908028,"GBIF"
"166","Scincella vandenburghi",33.368394,126.691231,"GBIF"
"167","Scincella vandenburghi",35.468967,126.682089,"GBIF"
"168","Scincella vandenburghi",35.385522,126.718144,"GBIF"
"169","Scincella vandenburghi",35.436233,127.279531,"GBIF"
"170","Scincella vandenburghi",33.270425,126.6301,"GBIF"
"171","Scincella vandenburghi",35.535644,126.807883,"GBIF"
"172","Scincella vandenburghi",35.462292,126.482172,"GBIF"
"173","Scincella vandenburghi",35.407194,126.449708,"GBIF"
"174","Scincella vandenburghi",36.697542,127.301844,"GBIF"
"175","Scincella vandenburghi",33.397758,126.7316,"GBIF"
"176","Scincella vandenburghi",35.402572,127.828581,"GBIF"
"177","Scincella vandenburghi",35.590969,126.971433,"GBIF"
"178","Scincella vandenburghi",35.460044,126.604631,"GBIF"
"179","Scincella vandenburghi",33.488683,126.653647,"GBIF"
"180","Scincella vandenburghi",35.657167,127.08925,"GBIF"
"181","Scincella vandenburghi",36.933519,128.133892,"GBIF"
"182","Scincella vandenburghi",36.729372,128.348947,"GBIF"
"183","Scincella vandenburghi",37.825264,128.145778,"GBIF"
"184","Scincella vandenburghi",35.553925,126.641861,"GBIF"
"185","Scincella vandenburghi",35.385897,126.547014,"GBIF"
"186","Scincella vandenburghi",35.589722,126.549425,"GBIF"
"187","Scincella vandenburghi",35.515844,126.561422,"GBIF"
"188","Scincella vandenburghi",35.533269,126.617928,"GBIF"
"189","Scincella vandenburghi",34.735899,126.640005,"GBIF"
"190","Scincella vandenburghi",34.778615,126.68144,"GBIF"
"191","Scincella vandenburghi",36.374476,127.195458,"GBIF"
"192","Scincella vandenburghi",35.071054,127.698121,"GBIF"
"193","Scincella vandenburghi",35.592622,126.901086,"GBIF"
"194","Scincella vandenburghi",35.478381,126.548089,"GBIF"
"195","Scincella vandenburghi",35.611514,126.776814,"GBIF"
"196","Scincella vandenburghi",35.427189,126.700281,"GBIF"
"197","Scincella vandenburghi",35.440142,126.717367,"GBIF"
"198","Scincella vandenburghi",35.746086,126.638025,"GBIF"
"199","Scincella vandenburghi",35.681997,126.988486,"GBIF"
"200","Scincella vandenburghi",35.682181,126.858544,"GBIF"
"201","Scincella vandenburghi",35.529756,126.778097,"GBIF"
"202","Scincella vandenburghi",36.653481,128.042892,"GBIF"
"203","Scincella vandenburghi",35.474861,127.188767,"GBIF"
"204","Scincella vandenburghi",36.552406,127.009374,"GBIF"
"205","Scincella vandenburghi",34.748524,126.662321,"GBIF"
"206","Scincella vandenburghi",36.37438,126.897385,"GBIF"
"207","Scincella vandenburghi",36.364632,127.311689,"GBIF"
"208","Scincella vandenburghi",35.736311,127.201258,"GBIF"
"209","Scincella vandenburghi",36.37497,126.90608,"GBIF"
"210","Scincella vandenburghi",34.743333,126.140536,"GBIF"
"211","Scincella vandenburghi",35.930833,128.112222,"GBIF"
"212","Scincella vandenburghi",34.553947,126.068153,"GBIF"
"213","Scincella vandenburghi",34.537242,126.056508,"GBIF"
"214","Scincella vandenburghi",33.966719,126.286416,"GBIF"
"215","Scincella vandenburghi",33.953222,126.312372,"GBIF"
"216","Scincella vandenburghi",33.952069,126.307944,"GBIF"
"217","Scincella vandenburghi",34.649278,126.133692,"GBIF"
"218","Scincella vandenburghi",34.634933,126.149736,"GBIF"
"219","Scincella vandenburghi",34.162419,126.556317,"GBIF"
"220","Scincella vandenburghi",34.204392,126.591936,"GBIF"
"221","Scincella vandenburghi",34.1988,126.509814,"GBIF"
"222","Scincella vandenburghi",34.185564,126.479453,"GBIF"
"223","Scincella vandenburghi",37.164744,127.780439,"GBIF"
"224","Scincella vandenburghi",35.203614,126.146889,"GBIF"
"225","Scincella vandenburghi",33.951214,126.336786,"GBIF"
"226","Scincella vandenburghi",34.190831,126.5064,"GBIF"
"227","Scincella vandenburghi",36.676206,126.570026,"GBIF"
"228","Scincella vandenburghi",36.755035,128.28866,"GBIF"
"229","Scincella vandenburghi",36.739916,126.592283,"GBIF"
"230","Scincella vandenburghi",34.594756,126.03685,"GBIF"
"231","Scincella vandenburghi",34.567434,126.022374,"GBIF"
"232","Scincella vandenburghi",34.308211,126.726283,"GBIF"
"233","Scincella vandenburghi",34.37735,126.725717,"GBIF"
"234","Scincella vandenburghi",34.460006,126.684761,"GBIF"
"235","Scincella vandenburghi",34.457308,126.491014,"GBIF"
"236","Scincella vandenburghi",34.331569,126.5355,"GBIF"
"237","Scincella vandenburghi",33.964902,126.29388,"GBIF"
"238","Scincella vandenburghi",34.631992,126.938003,"GBIF"
"239","Scincella vandenburghi",35.90395,126.891744,"GBIF"
"240","Scincella vandenburghi",35.928753,127.207706,"GBIF"
"241","Scincella vandenburghi",36.152833,127.84225,"GBIF"
"242","Scincella vandenburghi",35.856269,126.321175,"GBIF"
"243","Scincella vandenburghi",35.855619,126.321203,"GBIF"
"244","Scincella vandenburghi",35.839164,127.239114,"GBIF"
"245","Scincella vandenburghi",34.449475,127.190639,"GBIF"
"246","Scincella vandenburghi",34.435375,127.12735,"GBIF"
"247","Scincella vandenburghi",34.475169,126.7885,"GBIF"
"248","Scincella vandenburghi",34.388931,126.768181,"GBIF"
"249","Scincella vandenburghi",34.450528,127.038936,"GBIF"
"250","Scincella vandenburghi",34.413275,127.062258,"GBIF"
"251","Scincella vandenburghi",34.490989,126.960192,"GBIF"
"252","Scincella vandenburghi",34.4374,126.880433,"GBIF"
"253","Scincella vandenburghi",33.242114,126.608617,"GBIF"
"254","Scincella vandenburghi",33.395583,126.382528,"GBIF"
"255","Scincella vandenburghi",33.4315,126.435611,"GBIF"
"256","Scincella vandenburghi",33.444778,126.465417,"GBIF"
"257","Scincella vandenburghi",33.48175,126.39225,"GBIF"
"258","Scincella vandenburghi",33.277639,126.484306,"GBIF"
"259","Scincella vandenburghi",35.816544,127.222456,"GBIF"
"260","Scincella vandenburghi",34.232478,127.237406,"GBIF"
"261","Scincella vandenburghi",34.241117,127.253567,"GBIF"
"262","Scincella vandenburghi",34.229894,127.254936,"GBIF"
"263","Scincella vandenburghi",34.349761,126.837031,"GBIF"
"264","Scincella vandenburghi",34.340058,126.859017,"GBIF"
"265","Scincella vandenburghi",34.300708,126.756442,"GBIF"
"266","Scincella vandenburghi",34.314986,126.854736,"GBIF"
"267","Scincella vandenburghi",34.370664,126.923486,"GBIF"
"268","Scincella vandenburghi",34.328897,126.990508,"GBIF"
"269","Scincella vandenburghi",34.321294,126.967875,"GBIF"
"270","Scincella vandenburghi",33.521667,126.898889,"GBIF"
"271","Scincella vandenburghi",33.514444,126.967778,"GBIF"
"272","Scincella vandenburghi",33.495,126.946667,"GBIF"
"273","Scincella vandenburghi",33.460556,126.94,"GBIF"
"274","Scincella vandenburghi",33.482222,126.885833,"GBIF"
"275","Scincella vandenburghi",33.497778,126.946944,"GBIF"
"276","Scincella vandenburghi",35.602025,126.294,"GBIF"
"277","Scincella vandenburghi",35.603217,126.293278,"GBIF"
"278","Scincella vandenburghi",35.591808,126.283036,"GBIF"
"279","Scincella vandenburghi",35.60275,126.294125,"GBIF"
"280","Scincella vandenburghi",35.591797,126.281258,"GBIF"
"281","Scincella vandenburghi",35.764669,127.221867,"GBIF"
"282","Scincella vandenburghi",33.5325,126.802222,"GBIF"
"283","Scincella vandenburghi",33.485556,126.805556,"GBIF"
"284","Scincella vandenburghi",33.469722,126.851389,"GBIF"
"285","Scincella vandenburghi",33.409722,126.768333,"GBIF"
"286","Scincella vandenburghi",33.486111,126.807222,"GBIF"
"287","Scincella vandenburghi",33.435833,126.818889,"GBIF"
"288","Scincella vandenburghi",33.355278,126.804722,"GBIF"
"289","Scincella vandenburghi",33.319722,126.760833,"GBIF"
"290","Scincella vandenburghi",33.363056,126.850556,"GBIF"
"291","Scincella vandenburghi",33.343611,126.845833,"GBIF"
"292","Scincella vandenburghi",37.412378,128.818322,"GBIF"
"293","Scincella vandenburghi",33.445667,126.713833,"GBIF"
"294","Scincella vandenburghi",33.405433,126.647797,"GBIF"
"295","Scincella vandenburghi",33.443333,126.856389,"GBIF"
"296","Scincella vandenburghi",33.396111,126.799444,"GBIF"
"297","Scincella vandenburghi",33.444167,126.860833,"GBIF"
"298","Scincella vandenburghi",33.515556,126.968056,"GBIF"
"299","Scincella vandenburghi",33.460556,126.940278,"GBIF"
"300","Scincella vandenburghi",33.494722,126.963056,"GBIF"
"301","Scincella vandenburghi",33.436944,126.900833,"GBIF"
"302","Scincella vandenburghi",33.425833,126.931389,"GBIF"
"303","Scincella vandenburghi",33.395278,126.882778,"GBIF"
"304","Scincella vandenburghi",33.239833,126.425583,"GBIF"
"305","Scincella vandenburghi",33.274583,126.404944,"GBIF"
"306","Scincella vandenburghi",37.441914,128.635711,"GBIF"
"307","Scincella vandenburghi",33.550833,126.804167,"GBIF"
"308","Scincella vandenburghi",33.525278,126.841667,"GBIF"
"309","Scincella vandenburghi",33.475833,126.8225,"GBIF"
"310","Scincella vandenburghi",33.463889,126.77,"GBIF"
"311","Scincella vandenburghi",33.419444,126.774444,"GBIF"
"312","Scincella vandenburghi",33.453333,126.756667,"GBIF"
"313","Scincella vandenburghi",33.370833,126.766667,"GBIF"
"314","Scincella vandenburghi",33.361111,126.849722,"GBIF"
"315","Scincella vandenburghi",33.343333,126.846111,"GBIF"
"316","Scincella vandenburghi",33.328889,126.780278,"GBIF"
"317","Scincella vandenburghi",33.315556,126.810278,"GBIF"
"318","Scincella vandenburghi",33.371111,126.772778,"GBIF"
"319","Scincella vandenburghi",33.355,126.808056,"GBIF"
"320","Scincella vandenburghi",33.330833,126.777778,"GBIF"
"321","Scincella vandenburghi",33.321389,126.760833,"GBIF"
"322","Scincella vandenburghi",33.315,126.815556,"GBIF"
"323","Scincella vandenburghi",33.513797,126.630528,"GBIF"
"324","Scincella vandenburghi",33.516528,126.651097,"GBIF"
"325","Scincella vandenburghi",33.245553,126.540306,"GBIF"
"326","Scincella vandenburghi",36.211628,127.340598,"GBIF"
