"","scientific_name","lat","long","source"
"1","Bombina orientalis",35.709962,128.041366,"GBIF"
"2","Bombina orientalis",35.795098,128.488576,"GBIF"
"3","Bombina orientalis",35.795095,128.488576,"GBIF"
"4","Bombina orientalis",35.795135,128.488644,"GBIF"
"5","Bombina orientalis",35.795156,128.488641,"GBIF"
"6","Bombina orientalis",35.795135,128.488605,"GBIF"
"7","Bombina orientalis",37.456958,128.142923,"GBIF"
"8","Bombina orientalis",36.727006,128.843658,"GBIF"
"9","Bombina orientalis",36.540331,128.552753,"GBIF"
"10","Bombina orientalis",36.19381,127.333895,"GBIF"
"11","Bombina orientalis",36.191014,127.333245,"GBIF"
"12","Bombina orientalis",36.201329,127.3433,"GBIF"
"13","Bombina orientalis",35.932446,127.20669,"GBIF"
"14","Bombina orientalis",36.396545,129.155766,"GBIF"
"15","Bombina orientalis",36.301874,127.335015,"GBIF"
"16","Bombina orientalis",37.440912,127.052809,"GBIF"
"17","Bombina orientalis",35.781619,128.491306,"GBIF"
"18","Bombina orientalis",35.790701,128.496773,"GBIF"
"19","Bombina orientalis",35.925391,128.634113,"GBIF"
"20","Bombina orientalis",34.793525,126.411048,"GBIF"
"21","Bombina orientalis",38.31723,128.405153,"GBIF"
"22","Bombina orientalis",38.337468,128.484201,"GBIF"
"23","Bombina orientalis",35.710101,128.041602,"GBIF"
"24","Bombina orientalis",37.839178,127.466163,"GBIF"
"25","Bombina orientalis",38.163816,127.818099,"GBIF"
"26","Bombina orientalis",35.781543,128.491302,"GBIF"
"27","Bombina orientalis",35.793784,128.480228,"GBIF"
"28","Bombina orientalis",35.783378,128.489191,"GBIF"
"29","Bombina orientalis",35.791857,128.48138,"GBIF"
"30","Bombina orientalis",35.794243,128.480557,"GBIF"
"31","Bombina orientalis",35.791683,128.481456,"GBIF"
"32","Bombina orientalis",35.795199,128.488688,"GBIF"
"33","Bombina orientalis",35.795253,128.48865,"GBIF"
"34","Bombina orientalis",35.795271,128.488655,"GBIF"
"35","Bombina orientalis",35.127154,128.980211,"GBIF"
"36","Bombina orientalis",35.111132,128.9767,"GBIF"
"37","Bombina orientalis",35.283148,127.675811,"GBIF"
"38","Bombina orientalis",35.392225,127.716527,"GBIF"
"39","Bombina orientalis",35.808159,128.513232,"GBIF"
"40","Bombina orientalis",35.807013,128.512643,"GBIF"
"41","Bombina orientalis",35.390143,127.754518,"GBIF"
"42","Bombina orientalis",37.945465,127.083696,"GBIF"
"43","Bombina orientalis",37.457251,128.146115,"GBIF"
"44","Bombina orientalis",35.219279,127.780933,"GBIF"
"45","Bombina orientalis",35.298322,127.690496,"GBIF"
"46","Bombina orientalis",38.188051,128.475573,"GBIF"
"47","Bombina orientalis",37.91653,127.821414,"GBIF"
"48","Bombina orientalis",35.790109,128.4872,"GBIF"
"49","Bombina orientalis",35.790127,128.487181,"GBIF"
"50","Bombina orientalis",35.783736,128.488917,"GBIF"
"51","Bombina orientalis",35.783359,128.489282,"GBIF"
"52","Bombina orientalis",35.788101,128.491609,"GBIF"
"53","Bombina orientalis",35.788174,128.491492,"GBIF"
"54","Bombina orientalis",35.787663,128.491457,"GBIF"
"55","Bombina orientalis",35.787641,128.49146,"GBIF"
"56","Bombina orientalis",35.816795,129.216417,"GBIF"
"57","Bombina orientalis",35.791429,128.490952,"GBIF"
"58","Bombina orientalis",35.791253,128.491529,"GBIF"
"59","Bombina orientalis",35.798306,128.491398,"GBIF"
"60","Bombina orientalis",37.454432,126.941299,"GBIF"
"61","Bombina orientalis",35.239397,128.605942,"GBIF"
"62","Bombina orientalis",35.239667,128.605836,"GBIF"
"63","Bombina orientalis",35.239706,128.605956,"GBIF"
"64","Bombina orientalis",35.191132,128.214425,"GBIF"
"65","Bombina orientalis",36.201357,127.343192,"GBIF"
"66","Bombina orientalis",35.307005,128.993225,"GBIF"
"67","Bombina orientalis",33.249955,126.417647,"GBIF"
"68","Bombina orientalis",35.464614,129.009444,"GBIF"
"69","Bombina orientalis",35.46437,129.010402,"GBIF"
"70","Bombina orientalis",35.46356,129.007314,"GBIF"
"71","Bombina orientalis",35.917049,128.516972,"GBIF"
"72","Bombina orientalis",35.191563,128.214725,"GBIF"
"73","Bombina orientalis",35.424818,128.120395,"GBIF"
"74","Bombina orientalis",35.431984,128.12621,"GBIF"
"75","Bombina orientalis",35.191712,128.215168,"GBIF"
"76","Bombina orientalis",35.253298,128.028265,"GBIF"
"77","Bombina orientalis",34.812815,128.618423,"GBIF"
"78","Bombina orientalis",35.447771,128.970006,"GBIF"
"79","Bombina orientalis",36.191979,127.333012,"GBIF"
"80","Bombina orientalis",36.19108,127.333179,"GBIF"
"81","Bombina orientalis",35.571752,126.856142,"GBIF"
"82","Bombina orientalis",36.190886,127.333177,"GBIF"
"83","Bombina orientalis",37.458693,128.144566,"GBIF"
"84","Bombina orientalis",37.743994,126.948136,"GBIF"
"85","Bombina orientalis",37.743858,126.948197,"GBIF"
"86","Bombina orientalis",36.19079,127.332977,"GBIF"
"87","Bombina orientalis",36.416845,128.28599,"GBIF"
"88","Bombina orientalis",36.195019,127.334553,"GBIF"
"89","Bombina orientalis",36.195028,127.334788,"GBIF"
"90","Bombina orientalis",37.306126,128.347922,"GBIF"
"91","Bombina orientalis",35.484925,129.432708,"GBIF"
"92","Bombina orientalis",37.869316,127.844788,"GBIF"
"93","Bombina orientalis",35.115905,126.934662,"GBIF"
"94","Bombina orientalis",35.846383,127.885063,"GBIF"
"95","Bombina orientalis",35.794369,128.488379,"GBIF"
"96","Bombina orientalis",35.794612,128.488451,"GBIF"
"97","Bombina orientalis",35.667125,127.853909,"GBIF"
"98","Bombina orientalis",35.794948,128.488618,"GBIF"
"99","Bombina orientalis",36.703321,127.025504,"GBIF"
"100","Bombina orientalis",38.050354,128.215072,"GBIF"
"101","Bombina orientalis",38.013015,128.220677,"GBIF"
"102","Bombina orientalis",37.555508,126.984916,"GBIF"
"103","Bombina orientalis",35.795045,128.491376,"GBIF"
"104","Bombina orientalis",35.794956,128.491215,"GBIF"
"105","Bombina orientalis",35.685755,127.939888,"GBIF"
"106","Bombina orientalis",35.79485,128.491488,"GBIF"
"107","Bombina orientalis",35.794844,128.491468,"GBIF"
"108","Bombina orientalis",35.790831,128.497103,"GBIF"
"109","Bombina orientalis",35.793721,128.495787,"GBIF"
"110","Bombina orientalis",37.309816,128.235244,"GBIF"
"111","Bombina orientalis",35.794876,128.491457,"GBIF"
"112","Bombina orientalis",35.794922,128.496418,"GBIF"
