"","scientific_name","lat","long","source"
"1","Bufo gargarizans",36.616155,127.467023,"GBIF"
"2","Bufo gargarizans",35.711249,127.935925,"GBIF"
"3","Bufo gargarizans",37.356349,127.113618,"GBIF"
"4","Bufo gargarizans",37.311456,127.024239,"GBIF"
"5","Bufo gargarizans",37.311338,127.024125,"GBIF"
"6","Bufo gargarizans",35.146317,127.68515,"GBIF"
"7","Bufo gargarizans",36.378495,127.434005,"GBIF"
"8","Bufo gargarizans",36.378545,127.434105,"GBIF"
"9","Bufo gargarizans",36.769976,126.321723,"GBIF"
"10","Bufo gargarizans",36.76582,126.318884,"GBIF"
"11","Bufo gargarizans",36.789206,126.284454,"GBIF"
"12","Bufo gargarizans",35.793683,128.493509,"GBIF"
"13","Bufo gargarizans",35.793662,128.493509,"GBIF"
"14","Bufo gargarizans",36.781352,126.291838,"GBIF"
"15","Bufo gargarizans",36.750295,126.407631,"GBIF"
"16","Bufo gargarizans",36.750432,126.407211,"GBIF"
"17","Bufo gargarizans",36.803486,126.251123,"GBIF"
"18","Bufo gargarizans",36.771531,126.283913,"GBIF"
"19","Bufo gargarizans",37.38927,127.24592,"GBIF"
"20","Bufo gargarizans",35.865617,128.748448,"GBIF"
"21","Bufo gargarizans",37.417109,127.150588,"GBIF"
"22","Bufo gargarizans",36.66376,127.539634,"GBIF"
"23","Bufo gargarizans",36.771184,126.285376,"GBIF"
"24","Bufo gargarizans",36.789245,126.284654,"GBIF"
"25","Bufo gargarizans",36.214333,127.269586,"GBIF"
"26","Bufo gargarizans",37.465971,126.883999,"GBIF"
"27","Bufo gargarizans",36.759346,126.29419,"GBIF"
"28","Bufo gargarizans",35.700581,127.125612,"GBIF"
"29","Bufo gargarizans",35.509411,126.901612,"GBIF"
"30","Bufo gargarizans",35.392165,128.26894,"GBIF"
"31","Bufo gargarizans",35.750867,128.091917,"GBIF"
"32","Bufo gargarizans",35.994649,128.680995,"GBIF"
"33","Bufo gargarizans",35.999636,128.620772,"GBIF"
"34","Bufo gargarizans",37.865606,127.730945,"GBIF"
"35","Bufo gargarizans",35.81948,127.175365,"GBIF"
"36","Bufo gargarizans",35.819842,127.176414,"GBIF"
"37","Bufo gargarizans",35.820003,127.176891,"GBIF"
"38","Bufo gargarizans",35.819269,127.177461,"GBIF"
"39","Bufo gargarizans",35.818956,127.177664,"GBIF"
