"","scientific_name","lat","long","source"
"1","Glandirana emeljanovi",34.813074,128.618312,"GBIF"
"2","Glandirana emeljanovi",34.812955,128.618427,"GBIF"
"3","Glandirana emeljanovi",34.813311,128.618285,"GBIF"
"4","Glandirana emeljanovi",35.191495,128.214934,"GBIF"
"5","Glandirana emeljanovi",35.789874,128.484876,"GBIF"
"6","Glandirana emeljanovi",35.29487,129.070121,"GBIF"
"7","Glandirana emeljanovi",35.295078,129.070037,"GBIF"
"8","Glandirana emeljanovi",37.65578,126.950578,"GBIF"
"9","Glandirana emeljanovi",35.921259,127.42915,"GBIF"
"10","Glandirana emeljanovi",35.115815,128.987644,"GBIF"
"11","Glandirana emeljanovi",38.098972,127.83718,"GBIF"
"12","Glandirana emeljanovi",36.724357,129.255266,"GBIF"
"13","Glandirana emeljanovi",35.23695,127.643088,"GBIF"
"14","Glandirana emeljanovi",35.787099,128.489485,"GBIF"
"15","Glandirana emeljanovi",36.178912,128.609076,"GBIF"
"16","Glandirana emeljanovi",34.812651,128.618252,"GBIF"
"17","Glandirana emeljanovi",35.191363,128.214696,"GBIF"
"18","Glandirana emeljanovi",35.885361,127.359377,"GBIF"
"19","Glandirana emeljanovi",35.319893,128.196457,"GBIF"
"20","Glandirana emeljanovi",35.396151,128.255609,"GBIF"
"21","Glandirana emeljanovi",35.395795,128.254756,"GBIF"
"22","Glandirana emeljanovi",35.395038,128.253411,"GBIF"
"23","Glandirana emeljanovi",35.395028,128.253346,"GBIF"
"24","Glandirana emeljanovi",35.431983,128.126211,"GBIF"
"25","Glandirana emeljanovi",34.813226,128.619166,"GBIF"
"26","Glandirana emeljanovi",36.194334,127.334098,"GBIF"
"27","Glandirana emeljanovi",35.319835,128.196425,"GBIF"
"28","Glandirana emeljanovi",35.39579,128.254615,"GBIF"
"29","Glandirana emeljanovi",37.45766,126.94744,"GBIF"
"30","Glandirana emeljanovi",36.213444,127.336895,"GBIF"
"31","Glandirana emeljanovi",36.195064,127.334798,"GBIF"
"32","Glandirana emeljanovi",37.812611,127.70658,"GBIF"
"33","Glandirana emeljanovi",38.135942,128.236666,"GBIF"
"34","Glandirana emeljanovi",37.852369,127.767761,"GBIF"
"35","Glandirana emeljanovi",37.852418,127.772013,"GBIF"
"36","Glandirana emeljanovi",37.852415,127.772031,"GBIF"
"37","Glandirana emeljanovi",35.787767,128.503381,"GBIF"
"38","Glandirana emeljanovi",37.545702,127.03858,"GBIF"
"39","Glandirana emeljanovi",37.546945,127.037949,"GBIF"
"40","Glandirana emeljanovi",35.787735,128.503426,"GBIF"
"41","Glandirana emeljanovi",35.787902,128.503156,"GBIF"
"42","Glandirana emeljanovi",35.787804,128.503449,"GBIF"
"43","Glandirana emeljanovi",35.788949,128.500798,"GBIF"
"44","Glandirana emeljanovi",35.791376,128.497063,"GBIF"
"45","Glandirana emeljanovi",35.792824,128.495567,"GBIF"
"46","Glandirana emeljanovi",38.183374,128.171796,"GBIF"
"47","Glandirana emeljanovi",37.854424,126.811523,"GBIF"
"48","Glandirana emeljanovi",37.407884,126.90683,"GBIF"
"49","Glandirana emeljanovi",34.783288,128.626183,"GBIF"
"50","Glandirana emeljanovi",37.819083,127.590638,"GBIF"
"51","Glandirana emeljanovi",35.783143,128.489186,"GBIF"
"52","Glandirana emeljanovi",35.783302,128.489244,"GBIF"
"53","Glandirana emeljanovi",35.78292,128.489405,"GBIF"
"54","Glandirana emeljanovi",36.675608,127.229728,"GBIF"
"55","Glandirana emeljanovi",37.848781,127.753992,"GBIF"
"56","Glandirana emeljanovi",35.312106,129.061094,"GBIF"
"57","Glandirana emeljanovi",36.172952,128.727199,"GBIF"
"58","Glandirana emeljanovi",35.793311,128.493059,"GBIF"
"59","Glandirana emeljanovi",38.096111,127.758634,"GBIF"
"60","Glandirana emeljanovi",35.790401,128.486914,"GBIF"
"61","Glandirana emeljanovi",35.790284,128.487013,"GBIF"
"62","Glandirana emeljanovi",35.790147,128.487123,"GBIF"
"63","Glandirana emeljanovi",35.790167,128.487211,"GBIF"
"64","Glandirana emeljanovi",37.25695,126.926365,"GBIF"
"65","Glandirana emeljanovi",37.753515,127.126263,"GBIF"
"66","Glandirana emeljanovi",35.790113,128.487146,"GBIF"
"67","Glandirana emeljanovi",37.349196,126.913292,"GBIF"
"68","Glandirana emeljanovi",37.257023,126.92642,"GBIF"
"69","Glandirana emeljanovi",35.839695,127.161499,"GBIF"
"70","Glandirana emeljanovi",38.104911,127.665443,"GBIF"
"71","Glandirana emeljanovi",36.856822,127.211738,"GBIF"
"72","Glandirana emeljanovi",37.803241,127.624983,"GBIF"
"73","Glandirana emeljanovi",35.287838,127.438035,"GBIF"
"74","Glandirana emeljanovi",36.791437,127.077522,"GBIF"
"75","Glandirana emeljanovi",36.791447,127.077675,"GBIF"
"76","Glandirana emeljanovi",37.754226,128.90395,"GBIF"
"77","Glandirana emeljanovi",35.652033,127.456246,"GBIF"
"78","Glandirana emeljanovi",35.303349,129.07256,"GBIF"
"79","Glandirana emeljanovi",35.790317,128.486767,"GBIF"
"80","Glandirana emeljanovi",35.790297,128.486743,"GBIF"
"81","Glandirana emeljanovi",35.79028,128.486772,"GBIF"
"82","Glandirana emeljanovi",37.743888,128.869445,"GBIF"
"83","Glandirana emeljanovi",37.743333,128.869722,"GBIF"
"84","Glandirana emeljanovi",37.743888,128.869722,"GBIF"
"85","Glandirana emeljanovi",37.741112,128.868612,"GBIF"
"86","Glandirana emeljanovi",37.845555,128.808333,"GBIF"
"87","Glandirana emeljanovi",37.849445,128.799722,"GBIF"
"88","Glandirana emeljanovi",35.425,128.120833,"GBIF"
"89","Glandirana emeljanovi",37.350558,126.917869,"GBIF"
"90","Glandirana emeljanovi",37.682191,127.952333,"GBIF"
"91","Glandirana emeljanovi",36.70552,127.028542,"GBIF"
"92","Glandirana emeljanovi",37.932355,127.566422,"GBIF"
"93","Glandirana emeljanovi",35.658738,127.943676,"GBIF"
"94","Glandirana emeljanovi",36.837038,127.200233,"GBIF"
"95","Glandirana emeljanovi",37.466094,127.531388,"GBIF"
"96","Glandirana emeljanovi",36.726377,128.12202,"GBIF"
"97","Glandirana emeljanovi",36.642369,128.082251,"GBIF"
"98","Glandirana emeljanovi",36.697313,128.179237,"GBIF"
"99","Glandirana emeljanovi",38.181072,127.953961,"GBIF"
"100","Glandirana emeljanovi",38.181165,127.954207,"GBIF"
"101","Glandirana emeljanovi",37.355797,126.911365,"GBIF"
"102","Glandirana emeljanovi",37.3224,127.005411,"GBIF"
"103","Glandirana emeljanovi",38.014272,127.880161,"GBIF"
"104","Glandirana emeljanovi",37.803933,127.625515,"GBIF"
"105","Glandirana emeljanovi",34.740833,126.544167,"GBIF"
"106","Glandirana emeljanovi",34.730556,128.627222,"GBIF"
"107","Glandirana emeljanovi",34.812361,128.618458,"GBIF"
"108","Glandirana emeljanovi",34.8175,128.613056,"GBIF"
"109","Glandirana emeljanovi",37.880168,127.674157,"GBIF"
"110","Glandirana emeljanovi",37.879723,127.676237,"GBIF"
"111","Glandirana emeljanovi",36.439009,129.062355,"GBIF"
"112","Glandirana emeljanovi",36.992298,127.284619,"GBIF"
"113","Glandirana emeljanovi",37.754165,127.12586,"GBIF"
"114","Glandirana emeljanovi",37.973889,127.594167,"GBIF"
"115","Glandirana emeljanovi",37.975278,127.595278,"GBIF"
"116","Glandirana emeljanovi",37.975556,127.596111,"GBIF"
"117","Glandirana emeljanovi",37.996404,127.050194,"GBIF"
"118","Glandirana emeljanovi",37.18973,127.744072,"GBIF"
"119","Glandirana emeljanovi",37.189722,127.743889,"GBIF"
"120","Glandirana emeljanovi",38.065,127.018056,"GBIF"
"121","Glandirana emeljanovi",38.065556,127.018056,"GBIF"
"122","Glandirana emeljanovi",38.065833,127.018056,"GBIF"
"123","Glandirana emeljanovi",38.066111,127.018056,"GBIF"
"124","Glandirana emeljanovi",36.697787,127.093316,"GBIF"
"125","Glandirana emeljanovi",38.0225,127.027222,"GBIF"
"126","Glandirana emeljanovi",38.065015,127.017645,"GBIF"
"127","Glandirana emeljanovi",36.499437,128.28717,"GBIF"
"128","Glandirana emeljanovi",36.501667,128.289722,"GBIF"
"129","Glandirana emeljanovi",36.490833,128.286944,"GBIF"
"130","Glandirana emeljanovi",36.490916,128.28689,"GBIF"
"131","Glandirana emeljanovi",36.490917,128.286889,"GBIF"
"132","Glandirana emeljanovi",37.166129,127.66134,"GBIF"
"133","Glandirana emeljanovi",37.113528,127.55288,"GBIF"
"134","Glandirana emeljanovi",37.140575,127.617559,"GBIF"
"135","Glandirana emeljanovi",37.803922,127.62909,"GBIF"
"136","Glandirana emeljanovi",37.296046,127.566148,"GBIF"
"137","Glandirana emeljanovi",37.293958,127.577844,"GBIF"
"138","Glandirana emeljanovi",36.497665,128.278571,"GBIF"
"139","Glandirana emeljanovi",36.498976,128.278399,"GBIF"
"140","Glandirana emeljanovi",36.49801,128.277627,"GBIF"
"141","Glandirana emeljanovi",36.499735,128.276425,"GBIF"
"142","Glandirana emeljanovi",37.825922,127.587501,"GBIF"
"143","Glandirana emeljanovi",37.825129,127.58856,"GBIF"
"144","Glandirana emeljanovi",37.825112,127.588326,"GBIF"
"145","Glandirana emeljanovi",37.824968,127.588389,"GBIF"
"146","Glandirana emeljanovi",37.824874,127.588418,"GBIF"
"147","Glandirana emeljanovi",37.823759,127.588217,"GBIF"
"148","Glandirana emeljanovi",37.823665,127.587982,"GBIF"
"149","Glandirana emeljanovi",36.822867,128.094776,"GBIF"
"150","Glandirana emeljanovi",36.823198,128.094663,"GBIF"
"151","Glandirana emeljanovi",36.822778,128.094444,"GBIF"
"152","Glandirana emeljanovi",36.823056,128.095,"GBIF"
"153","Glandirana emeljanovi",36.825833,128.085833,"GBIF"
"154","Glandirana emeljanovi",36.823333,128.095278,"GBIF"
"155","Glandirana emeljanovi",37.472222,128.265278,"GBIF"
"156","Glandirana emeljanovi",37.471944,128.266667,"GBIF"
"157","Glandirana emeljanovi",37.466389,128.270556,"GBIF"
"158","Glandirana emeljanovi",37.488005,128.240447,"GBIF"
"159","Glandirana emeljanovi",37.489303,128.238983,"GBIF"
"160","Glandirana emeljanovi",37.954535,127.653525,"GBIF"
"161","Glandirana emeljanovi",37.348889,128.753611,"GBIF"
"162","Glandirana emeljanovi",37.348611,128.754722,"GBIF"
"163","Glandirana emeljanovi",37.3475,128.768889,"GBIF"
"164","Glandirana emeljanovi",37.348889,128.765556,"GBIF"
"165","Glandirana emeljanovi",37.361111,128.778611,"GBIF"
"166","Glandirana emeljanovi",37.355278,128.789444,"GBIF"
"167","Glandirana emeljanovi",37.353333,128.790278,"GBIF"
"168","Glandirana emeljanovi",37.111667,128.669167,"GBIF"
"169","Glandirana emeljanovi",37.676111,126.965556,"GBIF"
"170","Glandirana emeljanovi",35.666111,127.996944,"GBIF"
"171","Glandirana emeljanovi",35.665,127.995556,"GBIF"
"172","Glandirana emeljanovi",35.731944,127.924167,"GBIF"
"173","Glandirana emeljanovi",37.276563,127.801886,"GBIF"
"174","Glandirana emeljanovi",37.282778,127.807222,"GBIF"
"175","Glandirana emeljanovi",37.282778,127.8075,"GBIF"
