"","scientific_name","lat","long","source"
"1","Hynobius quelpaertensis",35.122491,126.530229,"GBIF"
"2","Hynobius quelpaertensis",35.009856,126.889978,"GBIF"
"3","Hynobius quelpaertensis",35.104372,126.81738,"GBIF"
"4","Hynobius quelpaertensis",35.125309,126.971431,"GBIF"
"5","Hynobius quelpaertensis",35.186402,126.920208,"GBIF"
"6","Hynobius quelpaertensis",35.036357,126.884065,"GBIF"
"7","Hynobius quelpaertensis",35.054648,126.879168,"GBIF"
"8","Hynobius quelpaertensis",35.189953,126.9353,"GBIF"
"9","Hynobius quelpaertensis",35.143437,126.905826,"GBIF"
"10","Hynobius quelpaertensis",35.101326,126.867983,"GBIF"
"11","Hynobius quelpaertensis",33.445274,126.457827,"GBIF"
"12","Hynobius quelpaertensis",33.427149,126.610843,"GBIF"
"13","Hynobius quelpaertensis",33.57829,126.63115,"GBIF"
"14","Hynobius quelpaertensis",33.472963,126.794589,"GBIF"
"15","Hynobius quelpaertensis",33.457641,126.742436,"GBIF"
"16","Hynobius quelpaertensis",33.472052,126.564643,"GBIF"
"17","Hynobius quelpaertensis",33.542666,126.45486,"GBIF"
"18","Hynobius quelpaertensis",33.418077,126.540558,"GBIF"
"19","Hynobius quelpaertensis",33.453869,126.454366,"GBIF"
"20","Hynobius quelpaertensis",33.59241,126.551819,"GBIF"
"21","Hynobius quelpaertensis",33.508133,126.587163,"GBIF"
"22","Hynobius quelpaertensis",33.595225,126.44493,"GBIF"
"23","Hynobius quelpaertensis",33.497504,126.578048,"GBIF"
"24","Hynobius quelpaertensis",33.418199,126.446885,"GBIF"
"25","Hynobius quelpaertensis",34.483517,126.614045,"GBIF"
"26","Hynobius quelpaertensis",35.143022,126.43957,"GBIF"
"27","Hynobius quelpaertensis",35.099207,126.483979,"GBIF"
"28","Hynobius quelpaertensis",35.080337,126.557504,"GBIF"
"29","Hynobius quelpaertensis",35.095671,126.543012,"GBIF"
"30","Hynobius quelpaertensis",35.123132,126.584497,"GBIF"
"31","Hynobius quelpaertensis",35.033311,126.413245,"GBIF"
"32","Hynobius quelpaertensis",33.449955,126.562765,"GBIF"
"33","Hynobius quelpaertensis",33.528304,126.734314,"GBIF"
"34","Hynobius quelpaertensis",33.311935,126.470519,"GBIF"
"35","Hynobius quelpaertensis",33.582613,126.700021,"GBIF"
"36","Hynobius quelpaertensis",34.871447,126.078329,"GBIF"
"37","Hynobius quelpaertensis",34.989928,126.099982,"GBIF"
"38","Hynobius quelpaertensis",33.448203,126.529631,"GBIF"
"39","Hynobius quelpaertensis",33.577818,126.629545,"GBIF"
"40","Hynobius quelpaertensis",33.529453,126.683603,"GBIF"
"41","Hynobius quelpaertensis",35.353206,126.983996,"GBIF"
"42","Hynobius quelpaertensis",34.923534,126.15519,"GBIF"
"43","Hynobius quelpaertensis",35.134298,126.199425,"GBIF"
"44","Hynobius quelpaertensis",35.178996,126.102076,"GBIF"
"45","Hynobius quelpaertensis",33.577242,126.555848,"GBIF"
"46","Hynobius quelpaertensis",33.226718,126.575391,"GBIF"
"47","Hynobius quelpaertensis",33.309138,126.592921,"GBIF"
"48","Hynobius quelpaertensis",33.442426,126.684755,"GBIF"
"49","Hynobius quelpaertensis",33.444108,126.662367,"GBIF"
"50","Hynobius quelpaertensis",34.179736,126.575341,"GBIF"
"51","Hynobius quelpaertensis",34.034289,126.461107,"GBIF"
"52","Hynobius quelpaertensis",34.322097,126.536461,"GBIF"
"53","Hynobius quelpaertensis",34.35812,126.461752,"GBIF"
"54","Hynobius quelpaertensis",34.287293,126.576984,"GBIF"
"55","Hynobius quelpaertensis",34.258349,126.50149,"GBIF"
"56","Hynobius quelpaertensis",34.378256,126.536493,"GBIF"
"57","Hynobius quelpaertensis",34.366104,126.59415,"GBIF"
"58","Hynobius quelpaertensis",34.263907,126.40449,"GBIF"
"59","Hynobius quelpaertensis",34.326382,126.579052,"GBIF"
"60","Hynobius quelpaertensis",34.335701,126.414338,"GBIF"
"61","Hynobius quelpaertensis",34.362334,126.528399,"GBIF"
"62","Hynobius quelpaertensis",34.388154,126.621518,"GBIF"
"63","Hynobius quelpaertensis",34.391285,126.514437,"GBIF"
"64","Hynobius quelpaertensis",34.196553,126.52126,"GBIF"
"65","Hynobius quelpaertensis",34.178313,126.680507,"GBIF"
"66","Hynobius quelpaertensis",35.062358,126.961732,"GBIF"
"67","Hynobius quelpaertensis",35.106933,126.452175,"GBIF"
"68","Hynobius quelpaertensis",35.060092,126.512807,"GBIF"
"69","Hynobius quelpaertensis",35.005304,126.431376,"GBIF"
"70","Hynobius quelpaertensis",35.148102,126.487219,"GBIF"
"71","Hynobius quelpaertensis",35.051596,126.561003,"GBIF"
"72","Hynobius quelpaertensis",33.227849,126.290108,"GBIF"
"73","Hynobius quelpaertensis",35.702321,126.714499,"GBIF"
"74","Hynobius quelpaertensis",34.501971,126.693158,"GBIF"
"75","Hynobius quelpaertensis",35.14882,126.425798,"GBIF"
"76","Hynobius quelpaertensis",33.224741,126.404087,"GBIF"
"77","Hynobius quelpaertensis",33.493637,126.664179,"GBIF"
"78","Hynobius quelpaertensis",33.239187,126.516129,"GBIF"
"79","Hynobius quelpaertensis",33.219418,126.452556,"GBIF"
"80","Hynobius quelpaertensis",33.334384,126.475592,"GBIF"
"81","Hynobius quelpaertensis",33.292612,126.489163,"GBIF"
"82","Hynobius quelpaertensis",33.463852,126.694774,"GBIF"
"83","Hynobius quelpaertensis",33.580506,126.659086,"GBIF"
"84","Hynobius quelpaertensis",33.438986,126.709522,"GBIF"
"85","Hynobius quelpaertensis",33.485237,126.708673,"GBIF"
"86","Hynobius quelpaertensis",33.46192,126.255195,"GBIF"
"87","Hynobius quelpaertensis",33.322386,126.289693,"GBIF"
"88","Hynobius quelpaertensis",33.350315,126.297015,"GBIF"
"89","Hynobius quelpaertensis",35.150987,126.581605,"GBIF"
"90","Hynobius quelpaertensis",35.03396,126.593874,"GBIF"
"91","Hynobius quelpaertensis",35.006138,126.415308,"GBIF"
"92","Hynobius quelpaertensis",35.190948,126.468584,"GBIF"
"93","Hynobius quelpaertensis",34.429287,127.142858,"GBIF"
"94","Hynobius quelpaertensis",34.448565,127.01537,"GBIF"
"95","Hynobius quelpaertensis",33.299664,126.514687,"GBIF"
"96","Hynobius quelpaertensis",33.406582,126.420792,"GBIF"
"97","Hynobius quelpaertensis",33.598414,126.414591,"GBIF"
"98","Hynobius quelpaertensis",33.340247,126.594613,"GBIF"
"99","Hynobius quelpaertensis",34.753483,126.991212,"GBIF"
"100","Hynobius quelpaertensis",33.3528,126.480814,"GBIF"
"101","Hynobius quelpaertensis",33.224892,126.403994,"GBIF"
"102","Hynobius quelpaertensis",33.498895,126.640519,"GBIF"
"103","Hynobius quelpaertensis",33.552038,126.793075,"GBIF"
"104","Hynobius quelpaertensis",33.516146,126.767928,"GBIF"
"105","Hynobius quelpaertensis",33.47347,126.660958,"GBIF"
"106","Hynobius quelpaertensis",33.312524,126.325934,"GBIF"
"107","Hynobius quelpaertensis",33.41335,126.440776,"GBIF"
"108","Hynobius quelpaertensis",33.537614,126.601457,"GBIF"
"109","Hynobius quelpaertensis",33.449015,126.282943,"GBIF"
