"","scientific_name","lat","long","source"
"1","Rana uenoi",35.612561,126.599866,"GBIF"
"2","Rana uenoi",37.805408,128.043244,"GBIF"
"3","Rana uenoi",35.522613,126.783353,"GBIF"
"4","Rana uenoi",35.785616,128.488104,"GBIF"
"5","Rana uenoi",35.237619,128.608644,"GBIF"
"6","Rana uenoi",35.237243,128.608444,"GBIF"
"7","Rana uenoi",35.236627,128.608231,"GBIF"
"8","Rana uenoi",35.580944,127.870684,"GBIF"
"9","Rana uenoi",35.605129,127.919686,"GBIF"
"10","Rana uenoi",35.191564,128.21504,"GBIF"
"11","Rana uenoi",35.304245,129.072419,"GBIF"
"12","Rana uenoi",35.304243,129.07241,"GBIF"
"13","Rana uenoi",35.44143,129.332765,"GBIF"
"14","Rana uenoi",36.663699,127.539891,"GBIF"
"15","Rana uenoi",35.321866,128.195448,"GBIF"
"16","Rana uenoi",35.32184,128.195445,"GBIF"
"17","Rana uenoi",35.321834,128.195458,"GBIF"
"18","Rana uenoi",35.18305,129.166248,"GBIF"
"19","Rana uenoi",35.185485,129.164829,"GBIF"
"20","Rana uenoi",35.18557,129.16486,"GBIF"
"21","Rana uenoi",35.185548,129.164835,"GBIF"
"22","Rana uenoi",35.815964,128.707642,"GBIF"
"23","Rana uenoi",35.815967,128.70763,"GBIF"
"24","Rana uenoi",35.785197,128.488211,"GBIF"
"25","Rana uenoi",35.785153,128.488198,"GBIF"
"26","Rana uenoi",35.785143,128.488202,"GBIF"
"27","Rana uenoi",35.7849,128.488512,"GBIF"
"28","Rana uenoi",35.7835,128.489175,"GBIF"
"29","Rana uenoi",35.783405,128.489251,"GBIF"
"30","Rana uenoi",36.328597,127.482567,"GBIF"
"31","Rana uenoi",36.32595,127.48413,"GBIF"
"32","Rana uenoi",36.329595,127.483095,"GBIF"
"33","Rana uenoi",33.519993,126.556778,"GBIF"
"34","Rana uenoi",35.789112,128.487927,"GBIF"
"35","Rana uenoi",35.788738,128.488073,"GBIF"
"36","Rana uenoi",35.789065,128.487884,"GBIF"
