"","scientific_name","lat","long","source"
"1","Hebius vibakari",33.228168,126.254157,"GBIF"
"2","Hebius vibakari",33.246478,126.557397,"GBIF"
"3","Hebius vibakari",33.230113,126.305552,"GBIF"
"4","Hebius vibakari",35.781679,128.492003,"GBIF"
"5","Hebius vibakari",35.834308,128.157358,"GBIF"
"6","Hebius vibakari",33.506526,126.533628,"GBIF"
"7","Hebius vibakari",33.506417,126.532898,"GBIF"
"8","Hebius vibakari",33.503237,126.890187,"GBIF"
"9","Hebius vibakari",36.682522,127.868342,"GBIF"
"10","Hebius vibakari",36.724463,126.587877,"GBIF"
"11","Hebius vibakari",33.284492,126.284871,"GBIF"
"12","Hebius vibakari",36.792325,127.211392,"GBIF"
"13","Hebius vibakari",33.520058,126.551846,"GBIF"
"14","Hebius vibakari",36.715518,127.175023,"GBIF"
"15","Hebius vibakari",35.618835,126.587789,"GBIF"
"16","Hebius vibakari",37.840952,128.551131,"GBIF"
"17","Hebius vibakari",34.072891,125.095651,"GBIF"
"18","Hebius vibakari",33.406218,126.260155,"GBIF"
"19","Hebius vibakari",35.20867,128.1892,"GBIF"
"20","Hebius vibakari",33.504322,126.635025,"GBIF"
"21","Hebius vibakari",37.954335,127.158415,"GBIF"
"22","Hebius vibakari",37.167413,125.953448,"GBIF"
"23","Hebius vibakari",37.050572,125.864942,"GBIF"
"24","Hebius vibakari",37.019443,125.969448,"GBIF"
"25","Hebius vibakari",37.011058,125.909968,"GBIF"
"26","Hebius vibakari",33.517469,126.555587,"GBIF"
"27","Hebius vibakari",33.279815,126.362238,"GBIF"
"28","Hebius vibakari",37.458438,128.142149,"GBIF"
"29","Hebius vibakari",37.459917,128.143182,"GBIF"
"30","Hebius vibakari",36.356104,127.22998,"GBIF"
"31","Hebius vibakari",37.754075,127.168288,"GBIF"
"32","Hebius vibakari",37.751647,127.166825,"GBIF"
"33","Hebius vibakari",37.752264,127.164298,"GBIF"
"34","Hebius vibakari",33.518985,126.558184,"GBIF"
"35","Hebius vibakari",33.504724,126.531891,"GBIF"
"36","Hebius vibakari",35.242995,127.489653,"GBIF"
"37","Hebius vibakari",33.471195,126.425676,"GBIF"
"38","Hebius vibakari",33.318911,126.185935,"GBIF"
"39","Hebius vibakari",33.500653,126.889786,"GBIF"
"40","Hebius vibakari",33.254991,126.350758,"GBIF"
"41","Hebius vibakari",33.500891,126.888969,"GBIF"
"42","Hebius vibakari",33.26012,126.260014,"GBIF"
"43","Hebius vibakari",33.506484,126.891831,"GBIF"
"44","Hebius vibakari",36.782095,127.28068,"GBIF"
"45","Hebius vibakari",33.218638,126.252845,"GBIF"
"46","Hebius vibakari",33.319611,126.181288,"GBIF"
"47","Hebius vibakari",33.307052,126.180555,"GBIF"
"48","Hebius vibakari",33.29008,126.2851,"GBIF"
"49","Hebius vibakari",33.292474,126.281592,"GBIF"
"50","Hebius vibakari",33.463269,126.52192,"GBIF"
"51","Hebius vibakari",33.297064,126.58848,"GBIF"
"52","Hebius vibakari",33.291965,126.281556,"GBIF"
"53","Hebius vibakari",36.186053,127.333837,"GBIF"
"54","Hebius vibakari",33.301905,126.575879,"GBIF"
"55","Hebius vibakari",33.463428,126.521989,"GBIF"
"56","Hebius vibakari",36.778835,126.085269,"GBIF"
"57","Hebius vibakari",36.656646,126.061809,"GBIF"
"58","Hebius vibakari",36.712673,126.098497,"GBIF"
"59","Hebius vibakari",36.769846,126.00576,"GBIF"
"60","Hebius vibakari",36.634427,126.061622,"GBIF"
"61","Hebius vibakari",36.786782,126.161018,"GBIF"
"62","Hebius vibakari",36.631529,126.014912,"GBIF"
"63","Hebius vibakari",36.741371,126.181723,"GBIF"
"64","Hebius vibakari",36.610745,126.046549,"GBIF"
"65","Hebius vibakari",36.79933,126.023866,"GBIF"
"66","Hebius vibakari",36.728282,126.002481,"GBIF"
"67","Hebius vibakari",35.448322,127.69457,"GBIF"
"68","Hebius vibakari",36.27533,127.253308,"GBIF"
"69","Hebius vibakari",35.204301,127.970399,"GBIF"
"70","Hebius vibakari",37.684334,128.025866,"GBIF"
"71","Hebius vibakari",33.479809,126.504165,"GBIF"
"72","Hebius vibakari",36.858903,127.212325,"GBIF"
"73","Hebius vibakari",36.757027,126.107113,"GBIF"
"74","Hebius vibakari",33.307895,129.662496,"GBIF"
"75","Hebius vibakari",37.169066,126.303333,"GBIF"
"76","Hebius vibakari",37.169077,126.302733,"GBIF"
"77","Hebius vibakari",36.28781,127.335089,"GBIF"
"78","Hebius vibakari",33.286972,126.282376,"GBIF"
"79","Hebius vibakari",33.286548,126.196241,"GBIF"
"80","Hebius vibakari",37.454794,128.141042,"GBIF"
"81","Hebius vibakari",37.188086,125.982354,"GBIF"
"82","Hebius vibakari",37.826795,127.798251,"GBIF"
"83","Hebius vibakari",33.468994,126.90549,"GBIF"
"84","Hebius vibakari",36.723694,127.078398,"GBIF"
"85","Hebius vibakari",33.503319,126.890217,"GBIF"
"86","Hebius vibakari",33.236502,126.434975,"GBIF"
"87","Hebius vibakari",33.481562,126.50091,"GBIF"
"88","Hebius vibakari",33.503931,126.95602,"GBIF"
"89","Hebius vibakari",35.176072,129.191,"GBIF"
"90","Hebius vibakari",35.176781,129.192481,"GBIF"
"91","Hebius vibakari",35.176815,129.19164,"GBIF"
"92","Hebius vibakari",35.176224,129.19172,"GBIF"
"93","Hebius vibakari",37.493446,128.457044,"GBIF"
"94","Hebius vibakari",37.458652,128.143418,"GBIF"
"95","Hebius vibakari",36.690519,127.235909,"GBIF"
"96","Hebius vibakari",37.458169,128.145981,"GBIF"
"97","Hebius vibakari",37.231111,128.930278,"GBIF"
"98","Hebius vibakari",35.794283,129.08905,"GBIF"
"99","Hebius vibakari",33.442969,126.761345,"GBIF"
"100","Hebius vibakari",33.256868,126.513779,"GBIF"
"101","Hebius vibakari",36.499444,127.856667,"GBIF"
"102","Hebius vibakari",37.168887,126.309895,"GBIF"
"103","Hebius vibakari",37.116003,126.27544,"GBIF"
"104","Hebius vibakari",37.104255,126.268242,"GBIF"
"105","Hebius vibakari",37.002698,126.329104,"GBIF"
"106","Hebius vibakari",37.168643,126.308844,"GBIF"
"107","Hebius vibakari",37.168078,126.309016,"GBIF"
"108","Hebius vibakari",35.169723,129.189438,"GBIF"
"109","Hebius vibakari",35.170765,129.189581,"GBIF"
"110","Hebius vibakari",35.170583,129.190196,"GBIF"
"111","Hebius vibakari",33.436202,126.73868,"GBIF"
"112","Hebius vibakari",37.475421,126.924908,"GBIF"
"113","Hebius vibakari",35.168888,129.188049,"GBIF"
"114","Hebius vibakari",36.805882,126.156113,"GBIF"
"115","Hebius vibakari",37.840557,128.523056,"GBIF"
"116","Hebius vibakari",37.086993,125.95479,"GBIF"
"117","Hebius vibakari",37.085819,125.957872,"GBIF"
"118","Hebius vibakari",37.079482,125.947758,"GBIF"
"119","Hebius vibakari",36.734443,126.599528,"GBIF"
"120","Hebius vibakari",36.734358,126.599232,"GBIF"
"121","Hebius vibakari",35.169445,129.189163,"GBIF"
"122","Hebius vibakari",37.0725,125.970556,"GBIF"
"123","Hebius vibakari",37.071944,125.946111,"GBIF"
"124","Hebius vibakari",37.000518,126.262025,"GBIF"
"125","Hebius vibakari",36.741738,126.587357,"GBIF"
"126","Hebius vibakari",37.458202,128.147686,"GBIF"
"127","Hebius vibakari",36.660678,128.129142,"GBIF"
"128","Hebius vibakari",36.742525,126.586757,"GBIF"
"129","Hebius vibakari",37.457906,128.14815,"GBIF"
"130","Hebius vibakari",36.741092,126.583978,"GBIF"
"131","Hebius vibakari",33.492281,126.436705,"GBIF"
"132","Hebius vibakari",37.167552,126.305958,"GBIF"
"133","Hebius vibakari",37.168303,126.298593,"GBIF"
"134","Hebius vibakari",35.170277,129.19194,"GBIF"
"135","Hebius vibakari",35.169754,129.189653,"GBIF"
"136","Hebius vibakari",35.169906,129.189612,"GBIF"
"137","Hebius vibakari",35.169882,129.189525,"GBIF"
"138","Hebius vibakari",35.170353,129.188772,"GBIF"
"139","Hebius vibakari",35.170834,129.188339,"GBIF"
"140","Hebius vibakari",36.19227,127.333581,"GBIF"
"141","Hebius vibakari",37.490718,126.578234,"GBIF"
"142","Hebius vibakari",37.459803,128.143501,"GBIF"
"143","Hebius vibakari",36.794796,127.210705,"GBIF"
"144","Hebius vibakari",36.654149,128.447069,"GBIF"
"145","Hebius vibakari",36.660295,126.640885,"GBIF"
"146","Hebius vibakari",34.727867,126.732101,"GBIF"
"147","Hebius vibakari",37.078027,125.945978,"GBIF"
"148","Hebius vibakari",37.088186,125.953703,"GBIF"
"149","Hebius vibakari",36.686183,127.242862,"GBIF"
"150","Hebius vibakari",33.210694,126.263278,"GBIF"
"151","Hebius vibakari",36.742678,127.798214,"GBIF"
"152","Hebius vibakari",35.443117,127.4738,"GBIF"
"153","Hebius vibakari",33.437722,126.732639,"GBIF"
"154","Hebius vibakari",35.608531,127.448342,"GBIF"
"155","Hebius vibakari",33.35685,126.644311,"GBIF"
"156","Hebius vibakari",36.838792,128.005208,"GBIF"
"157","Hebius vibakari",36.901217,127.600553,"GBIF"
"158","Hebius vibakari",33.397758,126.7316,"GBIF"
"159","Hebius vibakari",36.681869,128.136719,"GBIF"
"160","Hebius vibakari",37.701825,128.4828,"GBIF"
"161","Hebius vibakari",36.196417,127.342561,"GBIF"
"162","Hebius vibakari",37.824069,128.465392,"GBIF"
"163","Hebius vibakari",37.934,128.267111,"GBIF"
"164","Hebius vibakari",37.943722,128.149111,"GBIF"
"165","Hebius vibakari",37.941806,128.347667,"GBIF"
"166","Hebius vibakari",37.88025,128.370194,"GBIF"
"167","Hebius vibakari",37.030056,128.076028,"GBIF"
"168","Hebius vibakari",37.206861,128.013806,"GBIF"
"169","Hebius vibakari",37.23425,128.208222,"GBIF"
"170","Hebius vibakari",33.446912,126.493492,"GBIF"
"171","Hebius vibakari",35.348417,126.031536,"GBIF"
"172","Hebius vibakari",36.338221,127.222881,"GBIF"
"173","Hebius vibakari",37.087013,125.953757,"GBIF"
"174","Hebius vibakari",35.275867,126.151083,"GBIF"
"175","Hebius vibakari",34.214092,126.587931,"GBIF"
"176","Hebius vibakari",38.214205,128.173547,"GBIF"
"177","Hebius vibakari",34.630875,126.024183,"GBIF"
"178","Hebius vibakari",34.577517,126.032422,"GBIF"
"179","Hebius vibakari",34.576781,126.051078,"GBIF"
"180","Hebius vibakari",35.849722,128.0175,"GBIF"
"181","Hebius vibakari",33.336056,126.269306,"GBIF"
"182","Hebius vibakari",33.356611,126.307278,"GBIF"
"183","Hebius vibakari",33.258556,126.278667,"GBIF"
"184","Hebius vibakari",33.437833,126.317028,"GBIF"
"185","Hebius vibakari",33.403694,126.350944,"GBIF"
"186","Hebius vibakari",34.449475,127.190639,"GBIF"
"187","Hebius vibakari",34.452222,127.150908,"GBIF"
"188","Hebius vibakari",34.495353,126.850317,"GBIF"
"189","Hebius vibakari",34.407903,126.794006,"GBIF"
"190","Hebius vibakari",34.433989,127.046975,"GBIF"
"191","Hebius vibakari",34.453875,127.107539,"GBIF"
"192","Hebius vibakari",33.455389,126.386278,"GBIF"
"193","Hebius vibakari",33.403556,126.431167,"GBIF"
"194","Hebius vibakari",33.341694,126.384222,"GBIF"
"195","Hebius vibakari",35.976642,126.610525,"GBIF"
"196","Hebius vibakari",34.232478,127.237406,"GBIF"
"197","Hebius vibakari",34.222928,127.233603,"GBIF"
"198","Hebius vibakari",34.229894,127.254936,"GBIF"
"199","Hebius vibakari",34.349017,126.827897,"GBIF"
"200","Hebius vibakari",34.340058,126.859017,"GBIF"
"201","Hebius vibakari",33.495,126.946667,"GBIF"
"202","Hebius vibakari",33.425,126.927778,"GBIF"
"203","Hebius vibakari",33.425833,126.931389,"GBIF"
"204","Hebius vibakari",33.429444,126.935556,"GBIF"
"205","Hebius vibakari",36.014116,127.886524,"GBIF"
"206","Hebius vibakari",37.364136,129.143225,"GBIF"
"207","Hebius vibakari",33.254364,126.568133,"GBIF"
"208","Hebius vibakari",33.550833,126.804167,"GBIF"
"209","Hebius vibakari",33.508611,126.858056,"GBIF"
"210","Hebius vibakari",33.548611,126.756111,"GBIF"
"211","Hebius vibakari",33.547778,126.804167,"GBIF"
"212","Hebius vibakari",33.504722,126.772639,"GBIF"
"213","Hebius vibakari",33.533056,126.804722,"GBIF"
"214","Hebius vibakari",33.524167,126.843889,"GBIF"
"215","Hebius vibakari",33.479722,126.863611,"GBIF"
"216","Hebius vibakari",33.392778,126.8575,"GBIF"
"217","Hebius vibakari",33.355,126.808056,"GBIF"
"218","Hebius vibakari",33.330833,126.777778,"GBIF"
"219","Hebius vibakari",33.391667,126.853889,"GBIF"
"220","Hebius vibakari",33.398056,126.773333,"GBIF"
"221","Hebius vibakari",37.134919,127.193717,"GBIF"
"222","Hebius vibakari",36.699255,126.581726,"GBIF"
"223","Hebius vibakari",36.707513,126.417446,"GBIF"
"224","Hebius vibakari",36.187698,127.335577,"GBIF"
"225","Hebius vibakari",33.522222,126.949167,"GBIF"
"226","Hebius vibakari",33.5225,126.952222,"GBIF"
"227","Hebius vibakari",33.432778,126.931944,"GBIF"
"228","Hebius vibakari",33.395278,126.884444,"GBIF"
"229","Hebius vibakari",33.482222,126.885833,"GBIF"
"230","Hebius vibakari",33.497778,126.946944,"GBIF"
"231","Hebius vibakari",33.460556,126.940278,"GBIF"
"232","Hebius vibakari",33.494722,126.963056,"GBIF"
"233","Hebius vibakari",33.436944,126.900833,"GBIF"
"234","Hebius vibakari",33.415,126.893889,"GBIF"
"235","Hebius vibakari",33.395278,126.882778,"GBIF"
"236","Hebius vibakari",36.115497,128.561081,"GBIF"
"237","Hebius vibakari",33.508889,126.822222,"GBIF"
"238","Hebius vibakari",33.519722,126.76,"GBIF"
"239","Hebius vibakari",33.475833,126.8225,"GBIF"
"240","Hebius vibakari",33.475,126.827778,"GBIF"
"241","Hebius vibakari",33.453333,126.756667,"GBIF"
"242","Hebius vibakari",33.435833,126.818889,"GBIF"
"243","Hebius vibakari",33.4375,126.900556,"GBIF"
"244","Hebius vibakari",33.371667,126.812778,"GBIF"
"245","Hebius vibakari",33.361111,126.849722,"GBIF"
"246","Hebius vibakari",33.371944,126.814167,"GBIF"
"247","Hebius vibakari",33.321389,126.760833,"GBIF"
"248","Hebius vibakari",33.315,126.815556,"GBIF"
"249","Hebius vibakari",33.464847,126.660278,"GBIF"
"250","Hebius vibakari",33.454011,126.661822,"GBIF"
"251","Hebius vibakari",33.434475,126.674772,"GBIF"
"252","Hebius vibakari",33.244331,126.554342,"GBIF"
"253","Hebius vibakari",33.242653,126.592214,"GBIF"
"254","Hebius vibakari",33.276436,126.709697,"GBIF"
"255","Hebius vibakari",33.335619,126.623903,"GBIF"
"256","Hebius vibakari",33.270122,126.610353,"GBIF"
"257","Hebius vibakari",33.288719,126.598403,"GBIF"
"258","Hebius vibakari",37.617278,128.646889,"GBIF"
"259","Hebius vibakari",37.599167,128.822222,"GBIF"
"260","Hebius vibakari",37.727639,128.558056,"GBIF"
"261","Hebius vibakari",37.686351,128.504681,"GBIF"
"262","Hebius vibakari",36.105705,127.299957,"GBIF"
"263","Hebius vibakari",34.986684,127.427599,"GBIF"
"264","Hebius vibakari",34.888819,127.842492,"GBIF"
"265","Hebius vibakari",34.894525,127.920875,"GBIF"
"266","Hebius vibakari",34.724897,127.889083,"GBIF"
"267","Hebius vibakari",36.380694,128.599556,"GBIF"
"268","Hebius vibakari",37.680498,128.524522,"GBIF"
"269","Hebius vibakari",37.720556,128.672222,"GBIF"
"270","Hebius vibakari",37.631878,128.658182,"GBIF"
"271","Hebius vibakari",37.63375,128.70375,"GBIF"
"272","Hebius vibakari",37.679352,128.924437,"GBIF"
"273","Hebius vibakari",37.646528,128.876389,"GBIF"
"274","Hebius vibakari",37.555833,129.010556,"GBIF"
"275","Hebius vibakari",36.413823,126.842995,"GBIF"
"276","Hebius vibakari",36.824196,126.726866,"GBIF"
"277","Hebius vibakari",37.190065,125.975675,"GBIF"
"278","Hebius vibakari",36.744524,126.588764,"GBIF"
"279","Hebius vibakari",36.723475,126.559067,"GBIF"
"280","Hebius vibakari",36.419111,128.523889,"GBIF"
"281","Hebius vibakari",36.422417,128.608639,"GBIF"
"282","Hebius vibakari",36.403306,128.536778,"GBIF"
"283","Hebius vibakari",37.301994,127.8129,"GBIF"
"284","Hebius vibakari",37.653333,128.788056,"GBIF"
"285","Hebius vibakari",37.525095,128.764067,"GBIF"
"286","Hebius vibakari",37.562222,128.895556,"GBIF"
"287","Hebius vibakari",34.737592,126.645841,"GBIF"
"288","Hebius vibakari",36.365833,128.51075,"GBIF"
"289","Hebius vibakari",34.759334,127.00578,"GBIF"
"290","Hebius vibakari",34.703666,128.024215,"GBIF"
"291","Hebius vibakari",34.698181,128.053292,"GBIF"
"292","Hebius vibakari",36.271944,128.514167,"GBIF"
"293","Hebius vibakari",37.213889,126.176111,"GBIF"
"294","Hebius vibakari",37.169167,126.301945,"GBIF"
"295","Hebius vibakari",37.177778,126.255556,"GBIF"
"296","Hebius vibakari",37.642444,127.609778,"GBIF"
"297","Hebius vibakari",37.177222,126.249722,"GBIF"
"298","Hebius vibakari",34.914533,126.465556,"GBIF"
"299","Hebius vibakari",35.194083,126.554528,"GBIF"
"300","Hebius vibakari",37.686472,127.500083,"GBIF"
"301","Hebius vibakari",37.171389,126.299445,"GBIF"
"302","Hebius vibakari",37.161111,126.321667,"GBIF"
"303","Hebius vibakari",37.934741,126.744779,"GBIF"
"304","Hebius vibakari",38.076957,127.481971,"GBIF"
