"","scientific_name","lat","long","source"
"1","Oocatochus rufodorsatus",35.755286,127.831572,"GBIF"
"2","Oocatochus rufodorsatus",37.753518,127.595049,"GBIF"
"3","Oocatochus rufodorsatus",37.893504,127.634174,"GBIF"
"4","Oocatochus rufodorsatus",37.925684,127.646417,"GBIF"
"5","Oocatochus rufodorsatus",37.928325,127.674406,"GBIF"
"6","Oocatochus rufodorsatus",37.970208,127.789103,"GBIF"
"7","Oocatochus rufodorsatus",37.903675,127.760966,"GBIF"
"8","Oocatochus rufodorsatus",36.441264,127.803431,"GBIF"
"9","Oocatochus rufodorsatus",37.852321,127.72473,"GBIF"
"10","Oocatochus rufodorsatus",37.841921,127.748512,"GBIF"
"11","Oocatochus rufodorsatus",37.831646,127.616857,"GBIF"
"12","Oocatochus rufodorsatus",37.992667,127.621851,"GBIF"
"13","Oocatochus rufodorsatus",35.719939,127.856447,"GBIF"
"14","Oocatochus rufodorsatus",35.69607,127.866075,"GBIF"
"15","Oocatochus rufodorsatus",35.721094,127.855159,"GBIF"
"16","Oocatochus rufodorsatus",36.849638,127.27842,"GBIF"
"17","Oocatochus rufodorsatus",35.915833,127.128738,"GBIF"
"18","Oocatochus rufodorsatus",35.730412,127.855772,"GBIF"
"19","Oocatochus rufodorsatus",35.73042,127.855813,"GBIF"
"20","Oocatochus rufodorsatus",35.6799,127.862777,"GBIF"
"21","Oocatochus rufodorsatus",37.00194,127.206911,"GBIF"
"22","Oocatochus rufodorsatus",36.663628,127.540118,"GBIF"
"23","Oocatochus rufodorsatus",35.670198,127.273208,"GBIF"
"24","Oocatochus rufodorsatus",35.70507,127.923833,"GBIF"
"25","Oocatochus rufodorsatus",36.710163,127.166959,"GBIF"
"26","Oocatochus rufodorsatus",36.786075,127.050789,"GBIF"
"27","Oocatochus rufodorsatus",35.706935,127.858977,"GBIF"
"28","Oocatochus rufodorsatus",35.716471,127.855969,"GBIF"
"29","Oocatochus rufodorsatus",37.88768,126.78126,"GBIF"
"30","Oocatochus rufodorsatus",35.666509,127.941445,"GBIF"
"31","Oocatochus rufodorsatus",36.278948,127.355635,"GBIF"
"32","Oocatochus rufodorsatus",36.974778,127.027367,"GBIF"
"33","Oocatochus rufodorsatus",35.705826,127.924322,"GBIF"
"34","Oocatochus rufodorsatus",36.89691,126.277368,"GBIF"
"35","Oocatochus rufodorsatus",35.706293,127.92463,"GBIF"
"36","Oocatochus rufodorsatus",35.706703,127.859547,"GBIF"
"37","Oocatochus rufodorsatus",35.685144,127.935819,"GBIF"
"38","Oocatochus rufodorsatus",33.309061,126.168009,"GBIF"
"39","Oocatochus rufodorsatus",34.954789,126.13445,"GBIF"
"40","Oocatochus rufodorsatus",37.135289,127.641615,"GBIF"
"41","Oocatochus rufodorsatus",37.664929,126.200091,"GBIF"
"42","Oocatochus rufodorsatus",35.777737,127.432073,"GBIF"
"43","Oocatochus rufodorsatus",37.844518,127.759945,"GBIF"
"44","Oocatochus rufodorsatus",35.672054,127.939969,"GBIF"
"45","Oocatochus rufodorsatus",37.125575,127.639828,"GBIF"
"46","Oocatochus rufodorsatus",35.672707,127.939654,"GBIF"
"47","Oocatochus rufodorsatus",35.706438,127.860139,"GBIF"
"48","Oocatochus rufodorsatus",35.734414,127.845193,"GBIF"
"49","Oocatochus rufodorsatus",35.73352,127.847248,"GBIF"
"50","Oocatochus rufodorsatus",35.73116,127.855648,"GBIF"
"51","Oocatochus rufodorsatus",36.599631,126.482703,"GBIF"
"52","Oocatochus rufodorsatus",37.540389,126.782114,"GBIF"
"53","Oocatochus rufodorsatus",35.705871,127.861434,"GBIF"
"54","Oocatochus rufodorsatus",35.704609,127.923584,"GBIF"
