"","scientific_name","lat","long","source"
"1","Orientocoluber spinalis",34.952752,126.11741,"GBIF"
"2","Orientocoluber spinalis",35.600894,126.280158,"GBIF"
"3","Orientocoluber spinalis",33.481934,126.985478,"GBIF"
"4","Orientocoluber spinalis",36.917486,128.050357,"GBIF"
"5","Orientocoluber spinalis",36.903763,128.078504,"GBIF"
"6","Orientocoluber spinalis",34.983347,126.135998,"GBIF"
"7","Orientocoluber spinalis",34.6,125.82,"GBIF"
"8","Orientocoluber spinalis",33.426229,126.835945,"GBIF"
"9","Orientocoluber spinalis",33.451504,126.870981,"GBIF"
"10","Orientocoluber spinalis",33.5,126.96,"GBIF"
"11","Orientocoluber spinalis",36.674687,126.077887,"GBIF"
"12","Orientocoluber spinalis",36.675833,126.069378,"GBIF"
"13","Orientocoluber spinalis",35.48,126.6,"GBIF"
"14","Orientocoluber spinalis",33.363283,126.357029,"GBIF"
"15","Orientocoluber spinalis",34.23,126.08,"GBIF"
"16","Orientocoluber spinalis",33.36,126.35,"GBIF"
"17","Orientocoluber spinalis",35.73,128.42,"GBIF"
"18","Orientocoluber spinalis",33.504329,126.956046,"GBIF"
"19","Orientocoluber spinalis",33.200233,126.269982,"GBIF"
"20","Orientocoluber spinalis",33.503893,126.956561,"GBIF"
"21","Orientocoluber spinalis",33.503875,126.94795,"GBIF"
"22","Orientocoluber spinalis",36.86,128.08,"GBIF"
"23","Orientocoluber spinalis",36.233546,126.088971,"GBIF"
"24","Orientocoluber spinalis",36.876389,128.0825,"GBIF"
"25","Orientocoluber spinalis",33.401995,126.710368,"GBIF"
"26","Orientocoluber spinalis",37.158081,126.034964,"GBIF"
"27","Orientocoluber spinalis",38.105648,127.708049,"GBIF"
"28","Orientocoluber spinalis",37.080642,125.947051,"GBIF"
"29","Orientocoluber spinalis",35.7766,128.421249,"GBIF"
"30","Orientocoluber spinalis",35.478381,126.548089,"GBIF"
"31","Orientocoluber spinalis",35.456953,126.567014,"GBIF"
"32","Orientocoluber spinalis",34.553947,126.068153,"GBIF"
"33","Orientocoluber spinalis",34.535678,126.044697,"GBIF"
"34","Orientocoluber spinalis",35.348417,126.031536,"GBIF"
"35","Orientocoluber spinalis",34.634933,126.149736,"GBIF"
"36","Orientocoluber spinalis",34.180297,126.561842,"GBIF"
"37","Orientocoluber spinalis",33.312168,126.386719,"GBIF"
"38","Orientocoluber spinalis",34.366689,126.513092,"GBIF"
"39","Orientocoluber spinalis",34.4278,127.039453,"GBIF"
"40","Orientocoluber spinalis",34.222928,127.233603,"GBIF"
"41","Orientocoluber spinalis",34.241117,127.253567,"GBIF"
"42","Orientocoluber spinalis",34.336603,126.845172,"GBIF"
"43","Orientocoluber spinalis",34.3239,126.842372,"GBIF"
"44","Orientocoluber spinalis",33.429444,126.935556,"GBIF"
"45","Orientocoluber spinalis",33.307325,126.570217,"GBIF"
"46","Orientocoluber spinalis",36.130389,128.695669,"GBIF"
"47","Orientocoluber spinalis",35.119528,126.540972,"GBIF"
"48","Orientocoluber spinalis",34.9167,126.439392,"GBIF"
"49","Orientocoluber spinalis",37.567583,127.798917,"GBIF"
"50","Orientocoluber spinalis",37.739333,127.687667,"GBIF"
"51","Orientocoluber spinalis",35.414561,128.870295,"GBIF"
"52","Orientocoluber spinalis",36.405327,126.844625,"GBIF"
"53","Orientocoluber spinalis",37.849917,127.288971,"GBIF"
"54","Orientocoluber spinalis",36.739434,126.583829,"GBIF"
"55","Orientocoluber spinalis",36.873696,129.160712,"GBIF"
"56","Orientocoluber spinalis",35.267194,126.925833,"GBIF"
"57","Orientocoluber spinalis",35.294584,127.099254,"GBIF"
"58","Orientocoluber spinalis",35.545497,126.636563,"GBIF"
"59","Orientocoluber spinalis",35.563308,127.914502,"GBIF"
