"","scientific_name","lat","long","source"
"1","Scincella huanrenensis",37.838865,128.53801,"GBIF"
"2","Scincella huanrenensis",37.923467,128.420993,"GBIF"
"3","Scincella huanrenensis",37.987331,128.40705,"GBIF"
"4","Scincella huanrenensis",37.875144,128.412136,"GBIF"
"5","Scincella huanrenensis",37.752564,128.531804,"GBIF"
"6","Scincella huanrenensis",37.521128,128.01672,"GBIF"
"7","Scincella huanrenensis",38.257328,127.067801,"GBIF"
"8","Scincella huanrenensis",38.076957,127.481971,"GBIF"
"9","Scincella huanrenensis",38.026957,127.442525,"GBIF"
"10","Scincella huanrenensis",38.055848,127.430026,"GBIF"
"11","Scincella huanrenensis",38.101959,127.447249,"GBIF"
"12","Scincella huanrenensis",37.797149,128.547944,"GBIF"
"13","Scincella huanrenensis",37.458766,128.382414,"GBIF"
"14","Scincella huanrenensis",38.149952,127.133547,"GBIF"
"15","Scincella huanrenensis",38.20675,127.11902,"GBIF"
"16","Scincella huanrenensis",38.136786,127.036806,"GBIF"
"17","Scincella huanrenensis",38.1707,127.239231,"GBIF"
"18","Scincella huanrenensis",38.230803,127.146961,"GBIF"
"19","Scincella huanrenensis",38.241329,127.069829,"GBIF"
"20","Scincella huanrenensis",38.173616,127.186208,"GBIF"
"21","Scincella huanrenensis",38.029633,127.184321,"GBIF"
"22","Scincella huanrenensis",37.741366,128.510427,"GBIF"
"23","Scincella huanrenensis",38.102569,127.204902,"GBIF"
"24","Scincella huanrenensis",37.77879,128.540911,"GBIF"
"25","Scincella huanrenensis",38.073583,128.366639,"GBIF"
"26","Scincella huanrenensis",37.74503,128.57142,"GBIF"
