"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.569453,126.94862,"ASIA","Gyeonggi-do",2023,5,20,"cdc,cdround","https://www.inaturalist.org/observations/169062540","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4145186625","169062540"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.555333,126.921397,"ASIA","Gyeonggi-do",2023,7,30,"cdc,cdround","https://www.inaturalist.org/observations/177086572","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4416812621","177086572"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",36.899012,127.008559,"ASIA","Gyeonggi-do",2022,5,10,"cdc,cdround","https://www.inaturalist.org/observations/116531810","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773793379","116531810"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",38.167163,127.004714,"ASIA","Gyeonggi-do",2022,5,28,"cdc,cdround","https://www.inaturalist.org/observations/130336023","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3892660660","130336023"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.771097,126.609431,"ASIA","Gyeonggi-do",2022,6,23,"cdc,cdround","https://www.inaturalist.org/observations/123077818","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858638825","123077818"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.75155,126.73263,"ASIA","Gyeonggi-do",2022,6,23,"cdc,cdround","https://www.inaturalist.org/observations/123080099","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858942946","123080099"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.463911,126.606685,"ASIA","Gyeonggi-do",2020,5,15,"cdc,cdround","https://www.inaturalist.org/observations/45978514","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2873960386","45978514"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.579858,126.617757,"ASIA","Gyeonggi-do",2020,5,15,"cdc,cdround","https://www.inaturalist.org/observations/45979605","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2873757383","45979605"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.496329,126.960758,"ASIA","Gyeonggi-do",2020,6,11,"cdc,cdround","https://www.inaturalist.org/observations/49131793","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2873959391","49131793"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.685001,126.60136,"ASIA","Gyeonggi-do",2020,6,17,"cdc,cdround","https://www.inaturalist.org/observations/49937230","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3327693352","49937230"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.744086,126.600966,"ASIA","Gyeonggi-do",2020,6,17,"cdc,cdround","https://www.inaturalist.org/observations/49937567","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3328023356","49937567"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.683087,126.729401,"ASIA","Gyeonggi-do",2020,6,17,"cdc,cdround","https://www.inaturalist.org/observations/49938070","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3327688352","49938070"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.782077,126.622929,"ASIA","Gyeonggi-do",2020,6,17,"cdc,cdround","https://www.inaturalist.org/observations/49939414","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3328016351","49939414"
