"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","preparations","type","locality","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",37.751588,127.167619,"ASIA","Gyeonggi-do",2024,4,27,"cdc,cdround","https://www.inaturalist.org/observations/212458889","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4855301867","212458889",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",34.51634,127.76412,"ASIA","Jeollanam-do",2024,5,2,"cdc,cdround","https://www.inaturalist.org/observations/212819053","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4855382936","212819053",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",37.821889,128.474223,"ASIA","Gangwon-do",2024,5,14,"cdc,cdround","https://www.inaturalist.org/observations/215915554","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4868067302","215915554",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",38.204747,127.947275,"ASIA","Gangwon-do",2024,6,9,"cdc,cdround","https://www.inaturalist.org/observations/221484830","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901326799","221484830",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",38.005359,127.771437,"ASIA","Gangwon-do",2024,6,9,"cdc,cdround","https://www.inaturalist.org/observations/221495570","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4891645861","221495570",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",36.668173,129.056279,"ASIA","Gyeongsangbuk-do",2024,6,10,"cdc,cdround","https://www.inaturalist.org/observations/221782130","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901752279","221782130",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",34.772247,127.861547,"ASIA","Gyeongsangnam-do",2024,6,3,"cdc,cdround","https://www.inaturalist.org/observations/222211993","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901979884","222211993",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",37.149971,128.317273,"ASIA","Gangwon-do",2023,5,20,"cdc,cdround","https://www.inaturalist.org/observations/162588470","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4121130864","162588470",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",37.832485,128.578878,"ASIA","Gangwon-do",2023,6,2,"cdc,cdround","https://www.inaturalist.org/observations/165093491","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4130083381","165093491",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",38.058584,127.988347,"ASIA","Gangwon-do",2023,6,14,"cdc,cdround","https://www.inaturalist.org/observations/167288233","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4137945366","167288233",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",37.97592,128.595684,"ASIA","Gangwon-do",2023,6,23,"cdc,cdround","https://www.inaturalist.org/observations/168940590","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4138144023","168940590",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",37.185085,125.813106,NA,"Incheon",2023,7,1,"cdround","https://www.inaturalist.org/observations/170400661","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4145434154","170400661",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",37.195019,125.862484,NA,"Incheon",2023,7,1,"cdround","https://www.inaturalist.org/observations/170411494","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4145528081","170411494",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",37.113768,125.91467,"ASIA","Incheon",2023,7,1,"cdc,cdround","https://www.inaturalist.org/observations/170411500","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4145229643","170411500",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",37.043096,125.932688,"ASIA","Incheon",2023,7,2,"cdc,cdround","https://www.inaturalist.org/observations/170599604","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4145722066","170599604",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",37.001099,125.916294,NA,"Incheon",2023,7,2,"cdround","https://www.inaturalist.org/observations/170601380","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4145334765","170601380",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",38.092895,127.699418,"ASIA","Gangwon-do",2023,7,6,"cdc,cdround","https://www.inaturalist.org/observations/171302690","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4153535680","171302690",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",37.695265,126.783534,"ASIA","Gyeonggi-do",2023,7,28,"cdc,cdround","https://www.inaturalist.org/observations/177148540","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4413499071","177148540",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",37.746027,126.684966,"ASIA","Gyeonggi-do",2023,8,7,"cdc,cdround","https://www.inaturalist.org/observations/177148521","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4400254882","177148521",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",37.75332,127.164511,"ASIA","Gyeonggi-do",2023,8,20,"cdc,cdround","https://www.inaturalist.org/observations/179282442","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4407088622","179282442",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",37.904043,128.480331,"ASIA","Gangwon-do",2023,8,27,"cdc,cdround","https://www.inaturalist.org/observations/180447291","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4405154823","180447291",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",34.729131,127.895811,"ASIA","Gyeongsangnam-do",2023,9,7,"cdc,cdround","https://www.inaturalist.org/observations/182200759","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4424142823","182200759",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",36.986718,128.07036,"ASIA","Chungcheongbuk-do",2023,9,10,"cdc,cdround","https://www.inaturalist.org/observations/182569977","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4414134778","182569977",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",37.86668,126.761476,"ASIA","Gyeonggi-do",2022,6,6,"cdc","https://www.inaturalist.org/observations/120475831","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859609582","120475831",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",38.036939,127.727998,"ASIA","Gangwon-do",2022,7,10,"cdc,cdround","https://www.inaturalist.org/observations/125551840","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874026602","125551840",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",36.756102,126.112992,"ASIA","Chungcheongnam-do",2022,8,7,"cdc,cdround","https://www.inaturalist.org/observations/129776376","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3888835921","129776376",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",36.706065,126.068863,"ASIA","Chungcheongnam-do",2022,8,7,"cdc,cdround","https://www.inaturalist.org/observations/129780907","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3902181279","129780907",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe schrenckii",35.659555,128.386317,"ASIA","Gyeongsangbuk-do",2022,9,7,"cdc,cdround","https://www.inaturalist.org/observations/134009693","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3903143766","134009693",NA,NA,NA,NA
