"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","preparations","type","locality","elevation"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",37.92887,127.70767,"ASIA","Gangwon-do",2024,4,13,"cdc,cdround","https://www.inaturalist.org/observations/206907564","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4847176863","206907564",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",37.942044,127.646489,"ASIA","Gangwon-do",2024,4,13,"cdc,cdround","https://www.inaturalist.org/observations/206909760","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4847013259","206909760",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",37.838625,127.622291,"ASIA","Gangwon-do",2024,6,2,"cdc,cdround","https://www.inaturalist.org/observations/219924758","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4875008381","219924758",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",36.845014,126.195215,"ASIA","Chungcheongnam-do",2024,6,6,"cdc,cdround","https://www.inaturalist.org/observations/221313277","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4892006682","221313277",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",36.845127,126.19788,"ASIA","Chungcheongnam-do",2024,6,17,"cdc,cdround","https://www.inaturalist.org/observations/223265867","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901486109","223265867",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",37.845935,127.790846,"ASIA","Gangwon-do",2024,6,23,"cdc,cdround","https://www.inaturalist.org/observations/224569355","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901668282","224569355",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",37.85295,127.602361,"ASIA","Gangwon-do",2024,6,23,"cdc,cdround","https://www.inaturalist.org/observations/224569371","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901766078","224569371",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",37.865987,127.607835,"ASIA","Gangwon-do",2024,6,23,"cdc,cdround","https://www.inaturalist.org/observations/224570030","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901672884","224570030",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",37.89708,127.650963,"ASIA","Gangwon-do",2024,6,23,"cdc,cdround","https://www.inaturalist.org/observations/224570792","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901735316","224570792",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",36.847271,126.202035,"ASIA","Chungcheongnam-do",2023,5,23,"cdc,cdround","https://www.inaturalist.org/observations/163277467","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4120874401","163277467",NA,NA,NA,NA
