"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","preparations","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",33.550385,130.859844,"ASIA","Fukuoka",2024,4,20,"cdc,cdround","https://www.inaturalist.org/observations/215193800","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863605997","215193800",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",33.377407,130.211336,"ASIA","Saga",2023,3,18,"cdc,cdround","https://www.inaturalist.org/observations/151471723","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4067254171","151471723",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",33.750411,130.468925,"ASIA","Fukuoka",2023,4,10,"cdc,cdround","https://www.inaturalist.org/observations/154269217","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4080691495","154269217",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",33.750106,130.46787,"ASIA","Fukuoka",2023,4,10,"cdc,cdround","https://www.inaturalist.org/observations/154269376","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4080990490","154269376",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",33.482401,130.337767,"ASIA","Fukuoka",2023,6,2,"cdc,cdround","https://www.inaturalist.org/observations/165140738","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4129856618","165140738",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",33.728745,130.470096,"ASIA","Fukuoka",2023,6,26,"cdc,cdround","https://www.inaturalist.org/observations/171525420","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4153803981","171525420",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.128764,129.087235,"ASIA","Busan",2023,6,19,"cdc,cdround","https://www.inaturalist.org/observations/203577870","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4599815828","203577870",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.114459,128.96786,"ASIA","Busan",2022,8,26,"cdc,cdround","https://www.inaturalist.org/observations/132396455","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4028739973","132396455",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.111496,128.966602,"ASIA","Busan",2022,8,26,"cdc,cdround","https://www.inaturalist.org/observations/132422430","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4599710754","132422430",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",33.557026,130.391851,"ASIA","Fukuoka",2022,9,29,"cdc,cdround","https://www.inaturalist.org/observations/136911530","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3923551963","136911530",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",33.527713,130.746522,"ASIA","Fukuoka",2020,7,27,"cdc,cdround","https://www.inaturalist.org/observations/54618289","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2862579452","54618289",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",33.578614,130.335486,"ASIA","Fukuoka",2019,9,2,"cdc,cdround","https://www.inaturalist.org/observations/37024468","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2543032358","37024468",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.114436,128.966642,"ASIA","Busan",2019,10,19,"cdc,cdround","https://www.inaturalist.org/observations/169366273","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535614797","169366273",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.219608,129.074625,"ASIA","Busan",2018,10,9,"cdc","https://www.inaturalist.org/observations/66276747","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2999125940","66276747",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.048878,128.971888,"ASIA","Busan",2017,4,8,"cdc,cdround","https://www.inaturalist.org/observations/5778054","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500254619","5778054",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.114444,129.024167,"ASIA","Busan",2017,4,9,"cdc,cdround","https://www.inaturalist.org/observations/5778055","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500254617","5778055",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.086998,129.004464,"ASIA","Busan",2017,4,8,"cdc,cdround","https://www.inaturalist.org/observations/5778056","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500254645","5778056",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.048919,128.971694,"ASIA","Busan",2017,4,8,"cdc,cdround","https://www.inaturalist.org/observations/5778057","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500254684","5778057",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.048904,128.971683,"ASIA","Busan",2017,4,8,"cdc,cdround","https://www.inaturalist.org/observations/5778058","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500254622","5778058",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.048056,128.968056,"ASIA","Busan",2017,4,8,"cdc,cdround","https://www.inaturalist.org/observations/5778065","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500254651","5778065",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.048889,128.971944,"ASIA","Busan",2017,4,8,"cdc,cdround","https://www.inaturalist.org/observations/5778068","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500254598","5778068",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.203905,128.573714,"ASIA","Gyeongsangnam-do",2017,4,16,"cdc,cdround","https://www.inaturalist.org/observations/5778629","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500254731","5778629",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.203544,128.573711,"ASIA","Gyeongsangnam-do",2017,4,16,"cdc,cdround","https://www.inaturalist.org/observations/5778630","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500254808","5778630",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",34.787937,126.389903,"ASIA","Jeollanam-do",2017,4,15,"cdc,cdround","https://www.inaturalist.org/observations/5780238","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500255295","5780238",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",34.787913,126.389903,"ASIA","Jeollanam-do",2017,4,15,"cdc,cdround","https://www.inaturalist.org/observations/5780239","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500255309","5780239",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",34.791159,126.391128,"ASIA","Jeollanam-do",2017,4,15,"cdc,cdround","https://www.inaturalist.org/observations/5780240","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500255310","5780240",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",34.791582,126.39107,"ASIA","Jeollanam-do",2017,4,15,"cdc,cdround","https://www.inaturalist.org/observations/5780241","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500255291","5780241",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.106667,129.034167,"ASIA","Incheon",2017,4,19,"cdc,cdround","https://www.inaturalist.org/observations/5882840","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500289829","5882840",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",35.107577,129.025579,"ASIA","Busan",2017,4,20,"cdc,cdround","https://www.inaturalist.org/observations/5882841","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500289811","5882841",NA,NA
