"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",35.53501,127.947217,"ASIA","Gyeongsangnam-do",2024,4,6,"cdc,cdround","https://www.inaturalist.org/observations/205841049","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4607212247","205841049",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",35.220391,127.750687,"ASIA","Gyeongsangnam-do",2024,4,17,"cdc,cdround","https://www.inaturalist.org/observations/207922324","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4851933581","207922324",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",35.78814,128.074654,"ASIA","Gyeongsangnam-do",2024,5,1,"cdc,cdround","https://www.inaturalist.org/observations/212515743","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4855333245","212515743",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",35.838407,128.164654,"ASIA","Gyeongsangbuk-do",2024,5,7,"cdc,cdround","https://www.inaturalist.org/observations/214109594","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4854815847","214109594",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",36.793975,127.211478,"ASIA","Chungcheongnam-do",2024,5,14,"cdc,cdround","https://www.inaturalist.org/observations/215678657","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863430199","215678657",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",37.261112,127.942062,"ASIA","Gangwon-do",2024,5,19,"cdc,cdround","https://www.inaturalist.org/observations/216745179","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4868025253","216745179",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",35.10918,128.999369,"ASIA","Busan",2024,5,20,"cdc","https://www.inaturalist.org/observations/217168986","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4867830398","217168986",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",35.380608,127.773953,"ASIA","Jeollabuk-do",2024,5,22,"cdc,cdround","https://www.inaturalist.org/observations/217387877","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4872199925","217387877",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",35.329607,127.763541,"ASIA","Jeollabuk-do",2024,5,22,"cdc,cdround","https://www.inaturalist.org/observations/217387916","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4872487477","217387916",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",35.300337,127.794808,"ASIA","Jeollabuk-do",2024,5,22,"cdc,cdround","https://www.inaturalist.org/observations/217391225","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4872264659","217391225",NA,NA,NA,NA
