"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","preparations","locality","type","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",33.228168,126.254157,"ASIA","Jeju",2024,3,24,"cdc,cdround","https://www.inaturalist.org/observations/203701893","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4599805194","203701893",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",33.246478,126.557397,"ASIA","Jeju",2024,3,27,"cdc,cdround","https://www.inaturalist.org/observations/204107580","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4606659988","204107580",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",33.230113,126.305552,"ASIA","Jeju",2024,4,21,"cdc,cdround","https://www.inaturalist.org/observations/208423280","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4851867594","208423280",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",35.781679,128.492003,"ASIA","Daegu",2024,4,23,"cdc,cdround","https://www.inaturalist.org/observations/208848454","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852932497","208848454",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",35.834308,128.157358,"ASIA","Gyeongsangbuk-do",2024,5,7,"cdc,cdround","https://www.inaturalist.org/observations/214108596","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4855305941","214108596",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",33.506526,126.533628,"ASIA","Jeju",2024,5,6,"cdc,cdround","https://www.inaturalist.org/observations/214330890","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4891882592","214330890",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",33.506417,126.532898,"ASIA","Jeju",2024,5,9,"cdc,cdround","https://www.inaturalist.org/observations/214499148","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863857602","214499148",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",33.503237,126.890187,"ASIA","Jeju",2024,5,10,"cdc,cdround","https://www.inaturalist.org/observations/214727628","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863637117","214727628",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",36.682522,127.868342,"ASIA","Chungcheongbuk-do",2024,5,14,"cdc,cdround","https://www.inaturalist.org/observations/215668892","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863672123","215668892",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",36.724463,126.587877,"ASIA","Chungcheongnam-do",2024,5,18,"cdc,cdround","https://www.inaturalist.org/observations/216454793","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4867798106","216454793",NA,NA,NA,NA
