"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",37.86684,127.47378,"ASIA","Gyeonggi-do",2024,5,5,"cdc,cdround","https://www.inaturalist.org/observations/213662197","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4855535442","213662197",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",36.896422,126.276078,"ASIA","Chungcheongnam-do",2024,5,6,"cdc,cdround","https://www.inaturalist.org/observations/213943790","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4855507884","213943790",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",36.670274,127.860264,"ASIA","Chungcheongbuk-do",2024,5,14,"cdc,cdround","https://www.inaturalist.org/observations/215669047","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863359791","215669047",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",35.450713,127.700388,"ASIA","Gyeongsangnam-do",2024,5,21,"cdc,cdround","https://www.inaturalist.org/observations/217224855","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4868150101","217224855",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",36.724293,126.587988,"ASIA","Chungcheongnam-do",2024,5,18,"cdc,cdround","https://www.inaturalist.org/observations/217279009","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4868111543","217279009",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",37.768187,127.524241,"ASIA","Gyeonggi-do",2024,5,26,"cdc,cdround","https://www.inaturalist.org/observations/218626752","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4872410898","218626752",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",38.073277,127.784335,"ASIA","Gangwon-do",2024,6,4,"cdc,cdround","https://www.inaturalist.org/observations/220372307","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4875354751","220372307",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",38.132209,127.703463,"ASIA","Gangwon-do",2024,6,9,"cdc,cdround","https://www.inaturalist.org/observations/221477066","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901918804","221477066",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",36.333995,127.17678,"ASIA","Chungcheongnam-do",2024,6,16,"cdc","https://www.inaturalist.org/observations/223051618","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901878804","223051618",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",38.162631,127.74712,"ASIA","Gangwon-do",2024,6,23,"cdc,cdround","https://www.inaturalist.org/observations/224546086","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901311896","224546086",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",36.791363,127.076911,"ASIA","Chungcheongnam-do",2023,5,19,"cdc,cdround","https://www.inaturalist.org/observations/162468579","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4121246582","162468579",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",37.367378,127.289971,"ASIA","Gyeonggi-do",2023,6,4,"cdc,cdround","https://www.inaturalist.org/observations/165459885","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4130003831","165459885",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",36.79137,127.076453,"ASIA","Chungcheongnam-do",2023,6,13,"cdc,cdround","https://www.inaturalist.org/observations/167192450","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4133965205","167192450",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",34.33225,129.366333,"ASIA","Nagasaki",2023,6,17,"cdc,cdround","https://www.inaturalist.org/observations/167979676","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4138329457","167979676",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",36.775458,126.285033,"ASIA","Chungcheongnam-do",2023,6,18,"cdc,cdround","https://www.inaturalist.org/observations/168280962","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4137653286","168280962",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",34.97543,126.150957,"ASIA","Jeollanam-do",2023,7,27,"cdc,cdround","https://www.inaturalist.org/observations/175135157","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4171433985","175135157",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",36.011775,126.670417,"ASIA","Chungcheongnam-do",2023,7,29,"cdc,cdround","https://www.inaturalist.org/observations/175515650","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4413589774","175515650",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",35.68394,127.858077,"ASIA","Gyeongsangnam-do",2023,8,23,"cdc,cdround","https://www.inaturalist.org/observations/179791445","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4405111794","179791445",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",37.820749,127.5903,"ASIA","Gyeonggi-do",2023,9,5,"cdc,cdround","https://www.inaturalist.org/observations/181904393","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4407228909","181904393",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",38.017543,127.933578,"ASIA","Gangwon-do",2023,9,9,"cdc,cdround","https://www.inaturalist.org/observations/182431818","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4413657329","182431818",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",36.956611,128.007332,"ASIA","Chungcheongbuk-do",2023,9,10,"cdc,cdround","https://www.inaturalist.org/observations/182558561","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4413618269","182558561",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",35.857607,128.816869,"ASIA","Gyeongsangbuk-do",2023,9,14,"cdc,cdround","https://www.inaturalist.org/observations/187864676","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4430663170","187864676",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",36.796446,128.318575,"ASIA","Chungcheongbuk-do",2023,10,7,"cdc,cdround","https://www.inaturalist.org/observations/186524589","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4424451749","186524589",NA,NA,NA,NA
