"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",33.532258,126.403911,"ASIA","Jeju",2024,3,15,"cdc,cdround","https://www.inaturalist.org/observations/222364254","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901559612","222364254"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",33.408528,126.510166,"ASIA","Jeju",2023,4,19,"cdc,cdround","https://www.inaturalist.org/observations/190848300","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4440833542","190848300"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",37.834091,126.938353,"ASIA","Gyeonggi-do",2023,9,30,"cdc,cdround","https://www.inaturalist.org/observations/199506913","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4525153647","199506913"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",33.474204,126.449953,"ASIA","Jeju",2023,9,8,"cdc,cdround","https://www.inaturalist.org/observations/200816764","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535640691","200816764"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",33.411426,126.569539,"ASIA","Jeju",2022,3,30,"cdc,cdround","https://www.inaturalist.org/observations/112128162","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760237680","112128162"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",35.192356,128.82261,"ASIA","Busan",2022,9,12,"cdc,cdround","https://www.inaturalist.org/observations/134703515","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3903560109","134703515"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",33.501835,126.513947,"ASIA","Jeju",2022,9,9,"cdc,cdround","https://www.inaturalist.org/observations/137972353","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3925067187","137972353"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",37.447587,127.1536,"ASIA","Seoul",2021,4,25,"cdc,cdround","https://www.inaturalist.org/observations/200135470","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4847074331","200135470"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",36.791027,127.499636,"ASIA","Chungcheongbuk-do",2021,4,9,"cdc,cdround","https://www.inaturalist.org/observations/73369545","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3097171558","73369545"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",35.885353,128.509438,"ASIA","Daegu",2021,7,24,"cdc,cdround","https://www.inaturalist.org/observations/88371115","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3383886890","88371115"
