"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","elevation","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Orientocoluber spinalis",34.952752,126.11741,"ASIA","Jeollanam-do",2023,7,28,"cdc,cdround","https://www.inaturalist.org/observations/175296572","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4171966057","175296572",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Orientocoluber spinalis",35.600894,126.280158,"ASIA","Jeollabuk-do",2023,8,14,"cdc,cdround","https://www.inaturalist.org/observations/179655613","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4400027805","179655613",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Orientocoluber spinalis",33.481934,126.985478,"ASIA","Jeju",2023,8,29,"cdc,cdround","https://www.inaturalist.org/observations/180733241","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4405294070","180733241",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Orientocoluber spinalis",36.917486,128.050357,"ASIA","Chungcheongbuk-do",2023,9,10,"cdc,cdround","https://www.inaturalist.org/observations/182569438","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4414136402","182569438",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Orientocoluber spinalis",36.903763,128.078504,"ASIA","Chungcheongbuk-do",2023,9,10,"cdc,cdround","https://www.inaturalist.org/observations/182575110","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4413715024","182575110",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Orientocoluber spinalis",34.983347,126.135998,"ASIA","Jeollanam-do",2022,5,6,"cdc,cdround","https://www.inaturalist.org/observations/115671574","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772757655","115671574",NA,NA,NA,NA
"d8cd16ba-bb74-4420-821e-083f2bac17c2","PRESERVED_SPECIMEN","PRESENT","Orientocoluber spinalis",34.6,125.82,"ASIA",NA,2022,6,12,"cdc,gass84","https://www.ebi.ac.uk/ena/browser/view/OQ290836","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","4152740350","G04024OS","Ui-do",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Orientocoluber spinalis",33.426229,126.835945,"ASIA","Jeju",2022,8,25,"cdc,cdround","https://www.inaturalist.org/observations/182644553","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4414190461","182644553",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Orientocoluber spinalis",33.451504,126.870981,"ASIA","Jeju",2022,8,26,"cdc,cdround","https://www.inaturalist.org/observations/182645303","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4414067567","182645303",NA,NA,NA,NA
"d8cd16ba-bb74-4420-821e-083f2bac17c2","PRESERVED_SPECIMEN","PRESENT","Orientocoluber spinalis",33.5,126.96,"ASIA",NA,2022,9,23,"cdc,gass84","https://www.ebi.ac.uk/ena/browser/view/OQ290837","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","4152728570","G04189OS","U-do",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Orientocoluber spinalis",36.674687,126.077887,"ASIA","Chungcheongnam-do",2021,4,25,"cdc,cdround","https://www.inaturalist.org/observations/75403964","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3109256243","75403964",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Orientocoluber spinalis",36.675833,126.069378,"ASIA","Chungcheongnam-do",2021,4,25,"cdc,cdround","https://www.inaturalist.org/observations/75415938","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3109062219","75415938",NA,NA,NA,NA
"d8cd16ba-bb74-4420-821e-083f2bac17c2","PRESERVED_SPECIMEN","PRESENT","Orientocoluber spinalis",35.48,126.6,"ASIA",NA,2021,6,22,"cdc,gass84","https://www.ebi.ac.uk/ena/browser/view/OQ330873","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","4152793459","G01556OS","Woraksan",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Orientocoluber spinalis",33.363283,126.357029,"ASIA","Jeju",2021,7,18,"cdc,cdround","https://www.inaturalist.org/observations/87485824","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3330517889","87485824",NA,NA,NA,NA
"d8cd16ba-bb74-4420-821e-083f2bac17c2","PRESERVED_SPECIMEN","PRESENT","Orientocoluber spinalis",34.23,126.08,"ASIA",NA,2021,7,15,"cdc,gass84","https://www.ebi.ac.uk/ena/browser/view/OQ290830","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","4155152141","G01565OS","Oeyeon-do",NA,NA,NA
"d8cd16ba-bb74-4420-821e-083f2bac17c2","PRESERVED_SPECIMEN","PRESENT","Orientocoluber spinalis",33.36,126.35,"ASIA",NA,2021,7,18,"cdc,gass84","https://www.ebi.ac.uk/ena/browser/view/OQ330869","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","4152809477","G01617OS","Jeju-do",NA,NA,NA
"d8cd16ba-bb74-4420-821e-083f2bac17c2","PRESERVED_SPECIMEN","PRESENT","Orientocoluber spinalis",35.73,128.42,"ASIA",NA,2021,7,18,"cdc,gass84","https://www.ebi.ac.uk/ena/browser/view/OQ330875","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","4152778857","G01567OS","Oeyeon-do",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Orientocoluber spinalis",33.504329,126.956046,"ASIA","Jeju",2021,9,11,"cdc,cdround","https://www.inaturalist.org/observations/94409493","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384048381","94409493",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Orientocoluber spinalis",33.200233,126.269982,"ASIA","Jeju",2021,9,23,"cdc,cdround","https://www.inaturalist.org/observations/95837586","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384290978","95837586",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Orientocoluber spinalis",33.503893,126.956561,"ASIA","Jeju",2021,10,9,"cdc,cdround","https://www.inaturalist.org/observations/97616173","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3391682712","97616173",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Orientocoluber spinalis",33.503875,126.94795,"ASIA","Jeju",2021,10,9,"cdc,cdround","https://www.inaturalist.org/observations/97617729","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3391649705","97617729",NA,NA,NA,NA
