"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.618858,126.000041,"ASIA","Chungcheongnam-do",2024,2,27,"cdc,cdround","https://www.inaturalist.org/observations/200579178","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4607450851","200579178",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.744996,127.130851,"ASIA","Chungcheongnam-do",2024,4,16,"cdc,cdround","https://www.inaturalist.org/observations/207563297","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4847135847","207563297",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.603779,127.057792,"ASIA","Chungcheongnam-do",2024,4,15,"cdc,cdround","https://www.inaturalist.org/observations/207711246","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852821075","207711246",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",34.994344,127.654353,"ASIA","Jeollanam-do",2024,4,19,"cdc,cdround","https://www.inaturalist.org/observations/208074973","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852786876","208074973",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.609353,126.622502,"ASIA","Chungcheongnam-do",2024,4,20,"cdc,cdround","https://www.inaturalist.org/observations/208222896","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4851829084","208222896",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.619148,127.904138,"ASIA","Gyeongsangnam-do",2024,4,21,"cdc,cdround","https://www.inaturalist.org/observations/208408088","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852975329","208408088",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.992264,127.221652,"ASIA","Jeollabuk-do",2024,4,18,"cdc,cdround","https://www.inaturalist.org/observations/208448706","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852837132","208448706",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",37.272865,126.676288,"ASIA","Gyeonggi-do",2024,4,20,"cdc,cdround","https://www.inaturalist.org/observations/208478089","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852378831","208478089",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.661561,126.322049,"ASIA","Chungcheongnam-do",2024,4,21,"cdc,cdround","https://www.inaturalist.org/observations/208686041","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4851785597","208686041",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",37.259443,126.606358,"ASIA","Gyeonggi-do",2024,4,27,"cdc,cdround","https://www.inaturalist.org/observations/210289174","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4853132781","210289174",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.646469,126.23924,"ASIA","Chungcheongnam-do",2024,4,29,"cdc,cdround","https://www.inaturalist.org/observations/212104476","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852368772","212104476",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.666172,126.376852,"ASIA","Chungcheongnam-do",2024,5,8,"cdc,cdround","https://www.inaturalist.org/observations/214372945","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863800472","214372945",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.614651,128.431962,"ASIA","Gyeongsangbuk-do",2024,5,10,"cdc,cdround","https://www.inaturalist.org/observations/214778706","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4867701401","214778706",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.718973,128.562208,"ASIA","Gyeongsangbuk-do",2024,5,10,"cdc,cdround","https://www.inaturalist.org/observations/214784390","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863601153","214784390",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.711135,128.495855,"ASIA","Gyeongsangbuk-do",2024,5,10,"cdc,cdround","https://www.inaturalist.org/observations/214784427","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863944522","214784427",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.681598,128.553429,"ASIA","Gyeongsangbuk-do",2024,5,10,"cdc,cdround","https://www.inaturalist.org/observations/214784463","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863781266","214784463",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.70018,128.434874,"ASIA","Gyeongsangbuk-do",2024,5,10,"cdc,cdround","https://www.inaturalist.org/observations/214784694","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4867792626","214784694",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.631404,127.161219,"ASIA","Chungcheongnam-do",2024,5,12,"cdc,cdround","https://www.inaturalist.org/observations/215184543","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863376239","215184543",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",37.437487,126.911396,"ASIA","Seoul",2024,5,12,"cdc,cdround","https://www.inaturalist.org/observations/215239509","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863577645","215239509",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.630521,128.101343,"ASIA","Gyeongsangnam-do",2024,5,14,"cdc,cdround","https://www.inaturalist.org/observations/215646793","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863782558","215646793",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",37.847687,127.721069,"ASIA","Gangwon-do",2024,5,18,"cdc,cdround","https://www.inaturalist.org/observations/216471550","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4867741853","216471550",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.94497,127.154099,"ASIA","Jeollabuk-do",2024,5,16,"cdc,cdround","https://www.inaturalist.org/observations/217170483","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4868150315","217170483",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.060004,126.152294,"ASIA","Jeollanam-do",2024,5,23,"cdc,cdround","https://www.inaturalist.org/observations/217644561","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4872617432","217644561",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.944321,126.117249,"ASIA","Chungcheongnam-do",2024,5,25,"cdc,cdround","https://www.inaturalist.org/observations/218055189","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4872405141","218055189",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",33.48864,126.523599,"ASIA","Jeju",2024,5,23,"cdc,cdround","https://www.inaturalist.org/observations/222809238","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901604721","222809238",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.794496,128.184304,"ASIA","Gyeongsangnam-do",2024,6,1,"cdc,cdround","https://www.inaturalist.org/observations/219724152","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4875073216","219724152",NA,NA,NA,NA
