"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","type","preparations","elevation"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis tigrinus",35.799562,127.183053,"ASIA","Jeollabuk-do",2024,3,23,"cdc,cdround","https://www.inaturalist.org/observations/203563295","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4599803813","203563295",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis tigrinus",35.685472,127.892377,"ASIA","Gyeongsangnam-do",2024,4,10,"cdc,cdround","https://www.inaturalist.org/observations/206407405","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4607669834","206407405",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis tigrinus",35.684544,127.936392,"ASIA","Gyeongsangnam-do",2024,4,10,"cdc,cdround","https://www.inaturalist.org/observations/206408188","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4607027701","206408188",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis tigrinus",35.791741,128.494303,"ASIA","Daegu",2024,4,14,"cdc,cdround","https://www.inaturalist.org/observations/207112760","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4846960912","207112760",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis tigrinus",36.614046,127.46983,"ASIA","Chungcheongbuk-do",2024,4,14,"cdc,cdround","https://www.inaturalist.org/observations/207127527","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4846899745","207127527",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis tigrinus",37.241014,127.751856,"ASIA","Gyeonggi-do",2024,4,23,"cdc,cdround","https://www.inaturalist.org/observations/208822253","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852941727","208822253",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis tigrinus",38.058861,127.670913,"ASIA","Gangwon-do",2024,4,27,"cdc,cdround","https://www.inaturalist.org/observations/210021284","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4853099999","210021284",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis tigrinus",33.422994,126.668544,"ASIA","Jeju",2024,5,4,"cdc,cdround","https://www.inaturalist.org/observations/213380376","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4855192502","213380376",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis tigrinus",33.470214,126.493881,"ASIA","Jeju",2024,5,6,"cdc,cdround","https://www.inaturalist.org/observations/213939108","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4855305572","213939108",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis tigrinus",38.021586,127.728139,"ASIA","Gangwon-do",2024,5,8,"cdc,cdround","https://www.inaturalist.org/observations/214315123","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863430581","214315123",NA,NA,NA,NA,NA
