"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.227881,126.252268,"ASIA","Jeju",2024,2,28,"cdc,cdround","https://www.inaturalist.org/observations/200777104","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4596809756","200777104",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.459988,126.939353,"ASIA","Jeju",2024,3,27,"cdc,cdround","https://www.inaturalist.org/observations/204128691","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4606730384","204128691",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",36.203651,127.453036,"ASIA","Daejeon",2024,3,27,"cdc,cdround","https://www.inaturalist.org/observations/204149047","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4606750543","204149047",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.284492,126.284871,"ASIA","Jeju",2024,4,4,"cdc,cdround","https://www.inaturalist.org/observations/205348265","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4607636019","205348265",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",37.424648,127.093874,"ASIA","Gyeonggi-do",2024,4,5,"cdc,cdround","https://www.inaturalist.org/observations/205513146","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4607523201","205513146",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",36.62234,126.311583,"ASIA","Chungcheongnam-do",2024,4,9,"cdc,cdround","https://www.inaturalist.org/observations/206232529","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4606831384","206232529",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.452306,126.919044,"ASIA","Jeju",2024,4,9,"cdc,cdround","https://www.inaturalist.org/observations/206741884","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4847081264","206741884",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",36.190667,127.332876,"ASIA","Chungcheongnam-do",2024,4,20,"cdc,cdround","https://www.inaturalist.org/observations/208254341","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4851782423","208254341",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",37.661957,127.078302,"ASIA","Gyeonggi-do",2024,4,29,"cdc,cdround","https://www.inaturalist.org/observations/211433062","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4855330115","211433062",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",37.94535,127.084672,"ASIA","Gyeonggi-do",2024,4,28,"cdc,cdround","https://www.inaturalist.org/observations/214722060","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863759587","214722060",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.518626,126.546988,"ASIA","Jeju",2024,4,5,"cdc,cdround","https://www.inaturalist.org/observations/215121445","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863840486","215121445",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.283275,126.273767,"ASIA","Jeju",2024,4,30,"cdc,cdround","https://www.inaturalist.org/observations/215731042","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863738652","215731042",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",34.800186,128.672287,"ASIA","Gyeongsangnam-do",2024,4,8,"cdc,cdround","https://www.inaturalist.org/observations/216057341","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4867644834","216057341",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",34.704829,125.2056,"ASIA","Jeollanam-do",2024,5,9,"cdc,cdround","https://www.inaturalist.org/observations/217151343","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4867782370","217151343",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",34.790054,126.408395,"ASIA","Jeollanam-do",2024,5,6,"cdc","https://www.inaturalist.org/observations/217710714","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4872073341","217710714",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",37.902653,127.825396,"ASIA","Gangwon-do",2024,5,29,"cdc,cdround","https://www.inaturalist.org/observations/219021827","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4875503053","219021827",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.512897,126.718384,"ASIA","Jeju",2024,5,22,"cdc,cdround","https://www.inaturalist.org/observations/222809111","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901271867","222809111",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",36.201311,127.342224,"ASIA","Chungcheongnam-do",2023,3,31,"cdc,cdround","https://www.inaturalist.org/observations/152895089","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4076326235","152895089",NA,NA,NA
"7a0b9d7b-7c86-411b-ad93-3ab91d192028","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",36.66041,126.62234,"ASIA","Chungcheongnam-do",2023,3,25,"cdc,gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","4899900306","NSMK-OB-AR-220600007","Deoksan-myeon","Yesan-gun",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",36.20129,127.342919,"ASIA","Chungcheongnam-do",2023,4,3,"cdc,cdround","https://www.inaturalist.org/observations/153302611","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4076388739","153302611",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.507211,126.892361,"ASIA","Jeju",2023,4,11,"cdc,cdround","https://www.inaturalist.org/observations/154381361","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4129836524","154381361",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.520183,126.551909,"ASIA","Jeju",2023,4,10,"cdc,cdround","https://www.inaturalist.org/observations/189543133","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4438704316","189543133",NA,NA,NA
