"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sibynophis chinensis",33.516967,126.552699,"ASIA","Jeju",2024,5,14,"cdc,cdround","https://www.inaturalist.org/observations/220461148","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4875591319","220461148"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sibynophis chinensis",33.506649,126.891924,"ASIA","Jeju",2022,5,6,"cdc,cdround","https://www.inaturalist.org/observations/115665589","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773566914","115665589"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sibynophis chinensis",33.312945,126.188871,"ASIA","Jeju",2022,11,9,"cdc,cdround","https://www.inaturalist.org/observations/141508808","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4420850479","141508808"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sibynophis chinensis",33.474118,126.486568,"ASIA","Jeju",2021,7,25,"cdc,cdround","https://www.inaturalist.org/observations/88502196","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333064917","88502196"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sibynophis chinensis",33.290487,126.283292,"ASIA","Jeju",2021,7,27,"cdc,cdround","https://www.inaturalist.org/observations/90737306","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3337963288","90737306"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sibynophis chinensis",33.285869,126.285211,"ASIA","Jeju",2021,8,13,"cdc,cdround","https://www.inaturalist.org/observations/91360511","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3338082811","91360511"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sibynophis chinensis",33.471097,126.786816,"ASIA","Jeju",2019,7,5,"cdc,cdround","https://www.inaturalist.org/observations/28209475","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2447832191","28209475"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sibynophis chinensis",33.392466,126.652624,"ASIA","Jeju",2013,7,21,"cdc","https://www.inaturalist.org/observations/344286","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","891026277","344286"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sibynophis chinensis",33.365494,126.746521,"ASIA","Jeju",2013,7,27,"cdc","https://www.inaturalist.org/observations/355312","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1802609386","355312"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sibynophis chinensis",33.442615,126.762657,"ASIA","Jeju",2013,7,23,"cdc","https://www.inaturalist.org/observations/4639343","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1453243397","4639343"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sibynophis chinensis",33.439177,126.794243,"ASIA","Jeju",2013,7,23,"cdc","https://www.inaturalist.org/observations/4639353","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1453243330","4639353"
