"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","elevation","elevationAccuracy","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",36.203498,127.452512,"ASIA","Daejeon",2024,3,27,"cdc,cdround","https://www.inaturalist.org/observations/204147568","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4606699716","204147568",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",37.688725,127.255797,"ASIA","Gyeonggi-do",2024,4,11,"cdc,cdround","https://www.inaturalist.org/observations/206577311","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4846815723","206577311",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",37.341388,127.015133,"ASIA","Gyeonggi-do",2024,4,19,"cdc,cdround","https://www.inaturalist.org/observations/208030822","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4851866906","208030822",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",38.067087,127.810744,"ASIA","Gangwon-do",2024,5,10,"cdc,cdround","https://www.inaturalist.org/observations/214764873","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863470662","214764873",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",35.398471,127.680167,"ASIA","Jeollabuk-do",2024,5,21,"cdc,cdround","https://www.inaturalist.org/observations/217237512","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4867998852","217237512",NA,NA,NA,NA,NA,NA
"7c0a5579-c995-4daa-a75b-c96c696a599e","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",36.655464,126.618615,"ASIA","Chungcheongnam-do",2023,4,18,"cdc,gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","4526215308","NSMK-OB-AR-230500002","Deoksan-myeon","Yesan-gun",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",37.956174,128.577954,"ASIA","Gangwon-do",2023,6,2,"cdc,cdround","https://www.inaturalist.org/observations/165093442","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4129786889","165093442",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",36.840675,127.205833,"ASIA","Chungcheongnam-do",2023,7,8,"cdc,cdround","https://www.inaturalist.org/observations/171682076","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4154012868","171682076",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",35.880833,127.778333,"ASIA","Jeollabuk-do",2023,8,8,"cdc,cdround","https://www.inaturalist.org/observations/177669351","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4177112050","177669351",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",35.29376,127.532231,"ASIA","Jeollanam-do",2023,8,15,"cdc,cdround","https://www.inaturalist.org/observations/179143648","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4407201485","179143648",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",38.108625,128.462989,"ASIA","Gangwon-do",2023,8,23,"cdc,cdround","https://www.inaturalist.org/observations/179800757","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4405154063","179800757",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",35.909904,127.262374,"ASIA","Jeollabuk-do",2023,8,28,"cdc,cdround","https://www.inaturalist.org/observations/180649334","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4424215503","180649334",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",35.910156,127.262455,"ASIA","Jeollabuk-do",2023,8,31,"cdc,cdround","https://www.inaturalist.org/observations/181083801","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4424155686","181083801",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",35.306496,127.509791,"ASIA","Jeollanam-do",2023,9,5,"cdc,cdround","https://www.inaturalist.org/observations/183506246","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4414178895","183506246",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",35.932537,127.206613,"ASIA","Jeollabuk-do",2023,9,18,"cdc,cdround","https://www.inaturalist.org/observations/183806703","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4416906784","183806703",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",38.08052,128.434813,"ASIA","Gangwon-do",2023,10,1,"cdc,cdround","https://www.inaturalist.org/observations/185737522","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4424130848","185737522",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",38.163866,128.4864,"ASIA","Gangwon-do",2023,10,5,"cdc,cdround","https://www.inaturalist.org/observations/186885024","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4424489555","186885024",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",35.201765,129.207288,"ASIA","Busan",2023,10,24,"cdc,cdround","https://www.inaturalist.org/observations/188751405","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4465396245","188751405",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",36.569515,127.837226,"ASIA","Gyeongsangbuk-do",2022,5,21,"cdc,cdround","https://www.inaturalist.org/observations/118142212","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802276632","118142212",NA,NA,NA,NA,NA,NA
