"","scientific_name","lat","long","year","region","source"
"1","Takydromus wolteri",36.7346670007728,126.664167000465,"2014","충청남도","NES"
"2","Takydromus wolteri",35.7083360012578,128.384063999525,"2014","경상북도","NES"
"3","Takydromus wolteri",37.9696640012948,127.029116999628,"2014","경기도","NES"
"4","Takydromus wolteri",35.5282670004797,129.421175000235,"2014","울산광역시","NES"
"5","Takydromus wolteri",35.7224280012252,129.354314000496,"2014","경상북도","NES"
"6","Takydromus wolteri",36.7346670007728,126.664167000465,"2014","충청남도","NES"
"7","Takydromus wolteri",35.6961890008393,129.390050000173,"2014","경상북도","NES"
"8","Takydromus wolteri",35.660694000502,129.429055999711,"2014","경상북도","NES"
"9","Takydromus wolteri",35.5986390009631,129.43189400017,"2014","울산광역시","NES"
"10","Takydromus wolteri",37.8466670012293,127.574444000252,"2014","강원도","NES"
"11","Takydromus wolteri",36.7992890007089,126.154599999956,"2014","충청남도","NES"
"12","Takydromus wolteri",35.6330280009826,128.102111000243,"2014","경상남도","NES"
"13","Takydromus wolteri",37.9811670011337,126.965638999891,"2014","경기도","NES"
"14","Takydromus wolteri",35.4852780013429,128.344443999935,"2014","경상남도","NES"
"15","Takydromus wolteri",35.5307170004947,129.227925000531,"2014","울산광역시","NES"
"16","Takydromus wolteri",35.5744440008298,128.268888999921,"2014","경상남도","NES"
"17","Takydromus wolteri",37.9357220008336,127.661888999614,"2014","강원도","NES"
"18","Takydromus wolteri",35.4869440008254,128.099166999914,"2014","경상남도","NES"
"19","Takydromus wolteri",35.6712500006512,128.451778000155,"2014","대구광역시","NES"
"20","Takydromus wolteri",35.6773170009775,127.658942000437,"2014","경상남도","NES"
"21","Takydromus wolteri",35.7310330009175,129.432443999689,"2014","경상북도","NES"
"22","Takydromus wolteri",35.6083940007164,129.436913999483,"2014","울산광역시","NES"
"23","Takydromus wolteri",37.7563330006672,127.776999999824,"2014","강원도","NES"
"24","Takydromus wolteri",37.842500001267,127.729833000439,"2014","강원도","NES"
"25","Takydromus wolteri",35.6601670007012,128.431503000506,"2014","대구광역시","NES"
"26","Takydromus wolteri",35.5484330006536,129.396182999778,"2014","울산광역시","NES"
"27","Takydromus wolteri",35.519742001107,129.263093999978,"2014","울산광역시","NES"
"28","Takydromus wolteri",35.7156530005501,129.154902999548,"2014","울산광역시","NES"
"29","Takydromus wolteri",35.6797500013327,129.440471999851,"2014","경상북도","NES"
"30","Takydromus wolteri",35.5746220007761,129.302122000208,"2014","울산광역시","NES"
"31","Takydromus wolteri",35.6587250005328,129.267607999645,"2014","경상북도","NES"
"32","Takydromus wolteri",35.7036860004988,129.270803000141,"2014","경상북도","NES"
"33","Takydromus wolteri",35.512344001228,129.188486000096,"2014","울산광역시","NES"
"34","Takydromus wolteri",35.6053280008938,129.190364000016,"2014","울산광역시","NES"
"35","Takydromus wolteri",35.6330280009826,128.102111000243,"2014","경상남도","NES"
"36","Takydromus wolteri",37.5977500011162,127.376916999693,"2014","경기도","NES"
"37","Takydromus wolteri",37.9811780006414,126.965636000052,"2014","경기도","NES"
"38","Takydromus wolteri",37.9847280013557,127.02497199982,"2014","경기도","NES"
"39","Takydromus wolteri",36.7346670007728,126.664167000465,"2014","충청남도","NES"
"40","Takydromus wolteri",35.6432940011912,129.258219000515,"2014","울산광역시","NES"
"41","Takydromus wolteri",36.5382780012798,126.863971999732,"2014","충청남도","NES"
"42","Takydromus wolteri",35.5322420008544,128.702258000019,"2014","경상남도","NES"
"43","Takydromus wolteri",35.7741670006488,128.247055999478,"2014","경상북도","NES"
"44","Takydromus wolteri",35.5461110004673,128.148332999748,"2014","경상남도","NES"
"45","Takydromus wolteri",35.610353000872,129.169911000552,"2014","울산광역시","NES"
"46","Takydromus wolteri",36.7346670007728,126.664167000465,"2014","충청남도","NES"
"47","Takydromus wolteri",37.8179750009869,126.957418999843,"2014","경기도","NES"
"48","Takydromus wolteri",35.5169440007917,128.325832999483,"2014","경상남도","NES"
"49","Takydromus wolteri",35.5200000010533,128.358889000137,"2014","경상남도","NES"
"50","Takydromus wolteri",35.4741670013075,128.319166999665,"2014","경상남도","NES"
"51","Takydromus wolteri",35.5533330009704,128.364722000439,"2014","경상남도","NES"
"52","Takydromus wolteri",36.5382780012798,126.863971999732,"2014","충청남도","NES"
"53","Takydromus wolteri",37.7522220009208,127.618639000528,"2014","강원도","NES"
"54","Takydromus wolteri",37.9826390013263,127.613806000254,"2014","강원도","NES"
"55","Takydromus wolteri",36.5382780012798,126.863971999732,"2014","충청남도","NES"
"56","Takydromus wolteri",37.9494170012885,127.533667000435,"2014","경기도","NES"
"57","Takydromus wolteri",35.4050000010903,128.156944000414,"2014","경상남도","NES"
"58","Takydromus wolteri",37.8183420004982,127.076760999746,"2014","경기도","NES"
"59","Takydromus wolteri",37.8591500006087,126.883055999474,"2014","경기도","NES"
"60","Takydromus wolteri",35.6775140008847,128.674682999946,"2014","경상북도","NES"
"61","Takydromus wolteri",37.7702780011199,126.895971999513,"2014","경기도","NES"
"62","Takydromus wolteri",35.4422220009337,128.185277999664,"2014","경상남도","NES"
"63","Takydromus wolteri",37.0500560013458,126.425389000276,"2014","충청남도","NES"
"64","Takydromus wolteri",35.4933330007219,128.300555999919,"2014","경상남도","NES"
"65","Takydromus wolteri",37.7702780011199,126.895971999513,"2014","경기도","NES"
"66","Takydromus wolteri",37.8179750009869,126.957418999843,"2014","경기도","NES"
"67","Takydromus wolteri",37.9216080012647,126.991772000102,"2014","경기도","NES"
"68","Takydromus wolteri",36.7542220006737,129.049256000059,"2014","경상북도","NES"
"69","Takydromus wolteri",35.7224280012252,129.354314000496,"2014","경상북도","NES"
"70","Takydromus wolteri",35.6479580007201,129.282424999478,"2014","울산광역시","NES"
"71","Takydromus wolteri",36.7412330005389,126.202474999804,"2014","충청남도","NES"
"72","Takydromus wolteri",35.6989140009712,129.35094199987,"2014","경상북도","NES"
"73","Takydromus wolteri",36.8463890009258,128.537500000478,"2014","경상북도","NES"
"74","Takydromus wolteri",35.7156530005501,129.154902999548,"2014","울산광역시","NES"
"75","Takydromus wolteri",37.5192970011867,126.879244000256,"2014","서울특별시","NES"
"76","Takydromus wolteri",37.7895670009312,126.391382999828,"2014","인천광역시","NES"
"77","Takydromus wolteri",35.5561110009274,128.305556000427,"2014","경상남도","NES"
"78","Takydromus wolteri",35.5903210009433,128.366917999497,"2014","경상남도","NES"
"79","Takydromus wolteri",35.6479580007201,129.282424999478,"2014","울산광역시","NES"
"80","Takydromus wolteri",35.6587250005328,129.267607999645,"2014","경상북도","NES"
"81","Takydromus wolteri",35.613572001339,128.666710999654,"2014","경상북도","NES"
"82","Takydromus wolteri",35.6135420007313,129.139389000102,"2014","울산광역시","NES"
"83","Takydromus wolteri",37.5689330008449,127.153353000019,"2014","서울특별시","NES"
"84","Takydromus wolteri",35.5765030005469,129.154439000117,"2014","울산광역시","NES"
"85","Takydromus wolteri",37.8591500006087,126.883055999474,"2014","경기도","NES"
"86","Takydromus wolteri",37.5919170012733,127.38774999989,"2014","경기도","NES"
"87","Takydromus wolteri",37.7763030013266,126.923341999462,"2014","경기도","NES"
"88","Takydromus wolteri",36.6898890007056,126.639360999508,"2014","충청남도","NES"
"89","Takydromus wolteri",35.641056000701,128.031888999912,"2014","경상남도","NES"
"90","Takydromus wolteri",35.6770390005068,128.659782999722,"2014","경상북도","NES"
"91","Takydromus wolteri",35.524419000781,129.133585999616,"2014","울산광역시","NES"
"92","Takydromus wolteri",35.4786110008749,128.141944000061,"2014","경상남도","NES"
"93","Takydromus wolteri",35.5124890006153,127.851666999458,"2014","경상남도","NES"
"94","Takydromus wolteri",37.7763030013266,126.923341999462,"2014","경기도","NES"
"95","Takydromus wolteri",37.9524610009405,126.92053900021,"2014","경기도","NES"
"96","Takydromus wolteri",37.8278310005729,126.957419000414,"2014","경기도","NES"
"97","Takydromus wolteri",36.6898890007056,126.639360999508,"2014","충청남도","NES"
"98","Takydromus wolteri",36.7907860007382,126.354993999531,"2014","충청남도","NES"
"99","Takydromus wolteri",36.8059330013351,126.230803000127,"2014","충청남도","NES"
"100","Takydromus wolteri",35.6877640012562,129.390052999914,"2014","경상북도","NES"
"101","Takydromus wolteri",35.6055360007312,129.255549999675,"2014","울산광역시","NES"
"102","Takydromus wolteri",35.6989140009712,129.35094199987,"2014","경상북도","NES"
"103","Takydromus wolteri",35.7036860004988,129.270803000141,"2014","경상북도","NES"
"104","Takydromus wolteri",35.6056220005526,129.300266999616,"2014","울산광역시","NES"
"105","Takydromus wolteri",35.6582360004747,127.985855999489,"2014","경상남도","NES"
"106","Takydromus wolteri",37.5747750010685,126.87541099963,"2014","서울특별시","NES"
"107","Takydromus wolteri",35.5130690006258,127.895171999638,"2014","경상남도","NES"
"108","Takydromus wolteri",35.6418530008558,128.52313599997,"2014","경상남도","NES"
"109","Takydromus wolteri",35.5180830004657,127.79946899956,"2014","경상남도","NES"
"110","Takydromus wolteri",35.6511440010113,128.842981000095,"2014","경상북도","NES"
"111","Takydromus wolteri",35.7357500012329,129.15148899972,"2014","경상북도","NES"
"112","Takydromus wolteri",37.9911670011758,127.712556000409,"2014","강원도","NES"
"113","Takydromus wolteri",35.6163890009483,129.077499999513,"2014","울산광역시","NES"
"114","Takydromus wolteri",35.5986220006697,129.262293999575,"2014","울산광역시","NES"
"115","Takydromus wolteri",35.7357500012329,129.15148899972,"2014","경상북도","NES"
"116","Takydromus wolteri",36.6898890007056,126.639360999508,"2014","충청남도","NES"
"117","Takydromus wolteri",37.9216080012647,126.991772000102,"2014","경기도","NES"
"118","Takydromus wolteri",36.6898890007056,126.639360999508,"2014","충청남도","NES"
"119","Takydromus wolteri",37.8278310005729,126.957419000414,"2014","경기도","NES"
"120","Takydromus wolteri",35.4550000005323,128.100555999584,"2014","경상남도","NES"
"121","Takydromus wolteri",35.6711750005394,128.651692000507,"2014","경상북도","NES"
"122","Takydromus wolteri",35.6432940011912,129.258219000515,"2014","울산광역시","NES"
"123","Takydromus wolteri",35.5975000004811,128.868889000012,"2014","경상남도","NES"
"124","Takydromus wolteri",36.5382780012798,126.863971999732,"2014","충청남도","NES"
"125","Takydromus wolteri",37.7992190010356,127.071874999625,"2014","경기도","NES"
"126","Takydromus wolteri",37.9404440011904,126.886222000372,"2014","경기도","NES"
"127","Takydromus wolteri",35.6115310005957,129.177066999969,"2014","울산광역시","NES"
"128","Takydromus wolteri",37.5155190011783,126.527097000375,"2015","인천광역시","NES"
"129","Takydromus wolteri",37.6444690008603,126.246247000138,"2015","인천광역시","NES"
"130","Takydromus wolteri",36.1853610013432,127.219305999927,"2015","충청남도","NES"
"131","Takydromus wolteri",35.265233000938,128.271405999873,"2015","경상남도","NES"
"132","Takydromus wolteri",34.7831390005218,126.490999999814,"2015","전라남도","NES"
"133","Takydromus wolteri",35.1198330005079,126.617639000528,"2015","전라남도","NES"
"134","Takydromus wolteri",38.0127470007173,127.177168999894,"2015","경기도","NES"
